,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
195,196,27-03-2020,Andaman and Nicobar Islands,1,1,0.0,0.0
196,197,28-03-2020,Andaman and Nicobar Islands,6,6,0.0,0.0
197,198,29-03-2020,Andaman and Nicobar Islands,9,9,0.0,0.0
198,199,30-03-2020,Andaman and Nicobar Islands,9,9,0.0,0.0
199,200,31-03-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
200,201,01-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
201,202,02-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
202,203,03-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
203,204,04-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
204,205,05-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
205,206,06-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
206,207,07-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
207,208,08-04-2020,Andaman and Nicobar Islands,10,10,0.0,0.0
208,209,09-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0
209,210,10-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0
210,211,11-04-2020,Andaman and Nicobar Islands,11,11,0.0,0.0
211,212,12-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
212,213,13-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
213,214,14-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
214,215,15-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
215,216,16-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
216,217,17-04-2020,Andaman and Nicobar Islands,11,1,10.0,0.0
217,218,18-04-2020,Andaman and Nicobar Islands,12,1,11.0,0.0
218,219,19-04-2020,Andaman and Nicobar Islands,14,3,11.0,0.0
219,220,20-04-2020,Andaman and Nicobar Islands,15,4,11.0,0.0
220,221,21-04-2020,Andaman and Nicobar Islands,16,5,11.0,0.0
221,222,22-04-2020,Andaman and Nicobar Islands,16,5,11.0,0.0
222,223,23-04-2020,Andaman and Nicobar Islands,18,7,11.0,0.0
