,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
375,376,12-03-2020,Andhra Pradesh,1,1,0.0,0.0
376,377,13-03-2020,Andhra Pradesh,1,1,0.0,0.0
377,378,14-03-2020,Andhra Pradesh,1,1,0.0,0.0
378,379,15-03-2020,Andhra Pradesh,1,1,0.0,0.0
379,380,16-03-2020,Andhra Pradesh,1,1,0.0,0.0
380,381,17-03-2020,Andhra Pradesh,1,1,0.0,0.0
381,382,18-03-2020,Andhra Pradesh,1,1,0.0,0.0
382,383,19-03-2020,Andhra Pradesh,1,1,0.0,0.0
383,384,20-03-2020,Andhra Pradesh,2,2,0.0,0.0
384,385,21-03-2020,Andhra Pradesh,3,3,0.0,0.0
385,386,22-03-2020,Andhra Pradesh,5,5,0.0,0.0
386,387,23-03-2020,Andhra Pradesh,7,7,0.0,0.0
387,388,24-03-2020,Andhra Pradesh,7,7,0.0,0.0
388,389,25-03-2020,Andhra Pradesh,8,8,0.0,0.0
389,390,26-03-2020,Andhra Pradesh,11,10,1.0,0.0
390,391,27-03-2020,Andhra Pradesh,12,11,1.0,0.0
391,392,28-03-2020,Andhra Pradesh,14,13,1.0,0.0
392,393,29-03-2020,Andhra Pradesh,14,13,1.0,0.0
393,394,30-03-2020,Andhra Pradesh,19,18,1.0,0.0
394,395,31-03-2020,Andhra Pradesh,40,39,1.0,0.0
395,396,01-04-2020,Andhra Pradesh,83,82,1.0,0.0
396,397,02-04-2020,Andhra Pradesh,86,84,1.0,1.0
397,398,03-04-2020,Andhra Pradesh,132,130,1.0,1.0
398,399,04-04-2020,Andhra Pradesh,161,159,1.0,1.0
399,400,05-04-2020,Andhra Pradesh,161,159,1.0,1.0
400,401,06-04-2020,Andhra Pradesh,226,222,1.0,3.0
401,402,07-04-2020,Andhra Pradesh,266,262,1.0,3.0
402,403,08-04-2020,Andhra Pradesh,305,300,1.0,4.0
403,404,09-04-2020,Andhra Pradesh,348,338,6.0,4.0
404,405,10-04-2020,Andhra Pradesh,348,338,6.0,4.0
405,406,11-04-2020,Andhra Pradesh,363,350,7.0,6.0
406,407,12-04-2020,Andhra Pradesh,381,364,11.0,6.0
407,408,13-04-2020,Andhra Pradesh,427,409,11.0,7.0
408,409,14-04-2020,Andhra Pradesh,432,414,11.0,7.0
409,410,15-04-2020,Andhra Pradesh,483,458,16.0,9.0
410,411,16-04-2020,Andhra Pradesh,525,491,20.0,14.0
411,412,17-04-2020,Andhra Pradesh,534,500,20.0,14.0
412,413,18-04-2020,Andhra Pradesh,572,522,36.0,14.0
413,414,19-04-2020,Andhra Pradesh,603,546,42.0,15.0
414,415,20-04-2020,Andhra Pradesh,646,589,42.0,15.0
415,416,21-04-2020,Andhra Pradesh,722,610,92.0,20.0
416,417,22-04-2020,Andhra Pradesh,757,639,96.0,22.0
417,418,23-04-2020,Andhra Pradesh,813,669,120.0,24.0
418,419,24-04-2020,Andhra Pradesh,895,727,141.0,27.0
419,420,25-04-2020,Andhra Pradesh,955,781,145.0,29.0
420,421,26-04-2020,Andhra Pradesh,1061,859,171.0,31.0
421,422,27-04-2020,Andhra Pradesh,1097,835,231.0,31.0
422,423,28-04-2020,Andhra Pradesh,1183,917,235.0,31.0
423,424,29-04-2020,Andhra Pradesh,1259,970,258.0,31.0
424,425,30-04-2020,Andhra Pradesh,1332,1014,287.0,31.0
425,426,01-05-2020,Andhra Pradesh,1403,1051,321.0,31.0
426,427,02-05-2020,Andhra Pradesh,1463,1027,403.0,33.0
427,428,03-05-2020,Andhra Pradesh,1525,1051,441.0,33.0
428,429,04-05-2020,Andhra Pradesh,1583,1062,488.0,33.0
429,430,05-05-2020,Andhra Pradesh,1650,1090,524.0,36.0
430,431,06-05-2020,Andhra Pradesh,1717,1092,589.0,36.0
431,432,07-05-2020,Andhra Pradesh,1777,1012,729.0,36.0
432,433,08-05-2020,Andhra Pradesh,1847,1029,780.0,38.0
433,434,09-05-2020,Andhra Pradesh,1887,1004,842.0,41.0
434,435,10-05-2020,Andhra Pradesh,1930,999,887.0,44.0
435,436,11-05-2020,Andhra Pradesh,1980,1010,925.0,45.0
436,437,12-05-2020,Andhra Pradesh,2018,998,975.0,45.0
437,438,13-05-2020,Andhra Pradesh,2090,988,1056.0,46.0
438,439,14-05-2020,Andhra Pradesh,2137,948,1142.0,47.0
439,440,15-05-2020,Andhra Pradesh,2205,965,1192.0,48.0
440,441,16-05-2020,Andhra Pradesh,2307,1007,1252.0,48.0
441,442,17-05-2020,Andhra Pradesh,2355,953,1353.0,49.0
442,443,18-05-2020,Andhra Pradesh,2407,901,1456.0,50.0
443,444,19-05-2020,Andhra Pradesh,2474,872,1552.0,50.0
444,445,20-05-2020,Andhra Pradesh,2532,859,1621.0,52.0
445,446,21-05-2020,Andhra Pradesh,2602,909,1640.0,53.0
446,447,22-05-2020,Andhra Pradesh,2647,885,1709.0,53.0
447,448,23-05-2020,Andhra Pradesh,2709,891,1763.0,55.0
448,449,24-05-2020,Andhra Pradesh,2757,892,1809.0,56.0
449,450,25-05-2020,Andhra Pradesh,2823,911,1856.0,56.0
450,451,26-05-2020,Andhra Pradesh,3110,1158,1896.0,56.0
451,452,27-05-2020,Andhra Pradesh,3171,1105,2009.0,57.0
452,453,28-05-2020,Andhra Pradesh,3171,1056,2057.0,58.0
453,454,29-05-2020,Andhra Pradesh,3251,1067,2125.0,59.0
454,455,30-05-2020,Andhra Pradesh,3436,1150,2226.0,60.0
455,456,31-05-2020,Andhra Pradesh,3569,1220,2289.0,60.0
456,457,01-06-2020,Andhra Pradesh,3679,1268,2349.0,62.0
457,458,02-06-2020,Andhra Pradesh,3783,1341,2378.0,64.0
458,459,03-06-2020,Andhra Pradesh,3898,1413,2421.0,64.0
459,460,04-06-2020,Andhra Pradesh,4080,1546,2466.0,68.0
460,461,05-06-2020,Andhra Pradesh,4223,1613,2539.0,71.0
461,462,06-06-2020,Andhra Pradesh,4303,1654,2576.0,73.0
462,463,07-06-2020,Andhra Pradesh,4510,1817,2620.0,73.0
463,464,08-06-2020,Andhra Pradesh,4708,1951,2682.0,75.0
464,465,09-06-2020,Andhra Pradesh,4851,2031,2745.0,75.0
465,466,10-06-2020,Andhra Pradesh,5070,2191,2802.0,77.0
466,467,11-06-2020,Andhra Pradesh,5269,2292,2899.0,78.0
467,468,12-06-2020,Andhra Pradesh,5429,2301,3048.0,80.0
468,469,13-06-2020,Andhra Pradesh,5680,2495,3105.0,80.0
469,470,14-06-2020,Andhra Pradesh,5965,2688,3195.0,82.0
470,471,15-06-2020,Andhra Pradesh,6163,2765,3314.0,84.0
471,472,16-06-2020,Andhra Pradesh,6456,3052,3316.0,88.0
472,473,17-06-2020,Andhra Pradesh,6841,3244,3509.0,88.0
473,474,18-06-2020,Andhra Pradesh,7071,3340,3641.0,90.0
474,475,19-06-2020,Andhra Pradesh,7518,3637,3789.0,92.0
475,476,20-06-2020,Andhra Pradesh,7961,3948,3917.0,96.0
476,477,21-06-2020,Andhra Pradesh,8452,4240,4111.0,101.0
477,478,22-06-2020,Andhra Pradesh,8999,4562,4331.0,106.0
478,479,23-06-2020,Andhra Pradesh,9372,4766,4495.0,111.0
479,480,24-06-2020,Andhra Pradesh,10002,5284,4599.0,119.0
480,481,25-06-2020,Andhra Pradesh,10331,5428,4779.0,124.0
481,482,26-06-2020,Andhra Pradesh,10884,5760,4988.0,136.0
482,483,27-06-2020,Andhra Pradesh,11489,6145,5196.0,148.0
483,484,28-06-2020,Andhra Pradesh,12285,6648,5480.0,157.0
484,485,29-06-2020,Andhra Pradesh,13241,7164,5908.0,169.0
485,486,30-06-2020,Andhra Pradesh,13891,7479,6232.0,180.0
486,487,01-07-2020,Andhra Pradesh,14595,7897,6511.0,187.0
487,488,02-07-2020,Andhra Pradesh,15252,8071,6988.0,193.0
488,489,03-07-2020,Andhra Pradesh,16097,8586,7313.0,198.0
489,490,04-07-2020,Andhra Pradesh,16934,9096,7632.0,206.0
490,491,05-07-2020,Andhra Pradesh,17699,9473,8008.0,218.0
491,492,06-07-2020,Andhra Pradesh,18697,10043,8422.0,232.0
492,493,07-07-2020,Andhra Pradesh,20019,10860,8920.0,239.0
493,494,08-07-2020,Andhra Pradesh,21197,11200,9745.0,252.0
494,495,09-07-2020,Andhra Pradesh,22259,10894,11101.0,264.0
495,496,10-07-2020,Andhra Pradesh,23814,11383,12154.0,277.0
496,497,11-07-2020,Andhra Pradesh,25422,11936,13194.0,292.0
497,498,12-07-2020,Andhra Pradesh,27235,12533,14393.0,309.0
498,499,13-07-2020,Andhra Pradesh,29168,13428,15412.0,328.0
499,500,14-07-2020,Andhra Pradesh,31103,14274,16464.0,365.0
500,501,15-07-2020,Andhra Pradesh,33019,15144,17467.0,408.0
501,502,16-07-2020,Andhra Pradesh,35451,16621,18378.0,452.0
502,503,17-07-2020,Andhra Pradesh,38044,18159,19393.0,492.0
503,504,18-07-2020,Andhra Pradesh,40646,19814,20298.0,534.0
504,505,19-07-2020,Andhra Pradesh,44609,22260,21763.0,586.0
505,506,20-07-2020,Andhra Pradesh,49650,26118,22890.0,642.0
506,507,21-07-2020,Andhra Pradesh,53724,28800,24228.0,696.0
507,508,22-07-2020,Andhra Pradesh,58668,32336,25574.0,758.0
508,509,23-07-2020,Andhra Pradesh,64713,31763,32127.0,823.0
509,510,24-07-2020,Andhra Pradesh,72711,34272,37555.0,884.0
510,511,25-07-2020,Andhra Pradesh,80858,39990,39935.0,933.0
511,512,26-07-2020,Andhra Pradesh,88671,44431,43255.0,985.0
512,513,27-07-2020,Andhra Pradesh,96298,48956,46301.0,1041.0
513,514,28-07-2020,Andhra Pradesh,102349,51701,49558.0,1090.0
514,515,29-07-2020,Andhra Pradesh,110297,56527,52622.0,1148.0
515,516,30-07-2020,Andhra Pradesh,120390,63771,55406.0,1213.0
516,517,31-07-2020,Andhra Pradesh,130557,69252,60024.0,1281.0
517,518,01-08-2020,Andhra Pradesh,140933,75720,63864.0,1349.0
518,519,02-08-2020,Andhra Pradesh,150209,72188,76614.0,1407.0
519,520,03-08-2020,Andhra Pradesh,158764,74404,82886.0,1474.0
520,521,04-08-2020,Andhra Pradesh,166586,76377,88672.0,1537.0
521,522,05-08-2020,Andhra Pradesh,176333,79104,95625.0,1604.0
522,523,06-08-2020,Andhra Pradesh,186461,80426,104354.0,1681.0
523,524,07-08-2020,Andhra Pradesh,196789,82166,112870.0,1753.0
524,525,08-08-2020,Andhra Pradesh,206960,84654,120464.0,1842.0
525,526,09-08-2020,Andhra Pradesh,217040,85486,129615.0,1939.0
526,527,10-08-2020,Andhra Pradesh,227860,87112,138712.0,2036.0
527,528,11-08-2020,Andhra Pradesh,235525,87773,145636.0,2116.0
528,529,12-08-2020,Andhra Pradesh,244549,87597,154749.0,2203.0
529,530,13-08-2020,Andhra Pradesh,254146,90425,161425.0,2296.0
530,531,14-08-2020,Andhra Pradesh,264142,90780,170984.0,2378.0
531,532,15-08-2020,Andhra Pradesh,273085,89907,180703.0,2475.0
532,533,16-08-2020,Andhra Pradesh,281817,88138,191117.0,2562.0
533,534,17-08-2020,Andhra Pradesh,289829,85945,201234.0,2650.0
534,535,18-08-2020,Andhra Pradesh,296609,84777,209100.0,2732.0
535,536,19-08-2020,Andhra Pradesh,306261,85130,218311.0,2820.0
536,537,20-08-2020,Andhra Pradesh,316003,86725,226372.0,2906.0
537,538,21-08-2020,Andhra Pradesh,325396,87177,235218.0,3001.0
538,539,22-08-2020,Andhra Pradesh,334940,87803,244045.0,3092.0
539,540,23-08-2020,Andhra Pradesh,345216,89389,252638.0,3189.0
540,541,24-08-2020,Andhra Pradesh,353111,89742,260087.0,3282.0
541,542,25-08-2020,Andhra Pradesh,361712,89516,268828.0,3368.0
542,543,26-08-2020,Andhra Pradesh,371639,89932,278247.0,3460.0
543,544,27-08-2020,Andhra Pradesh,382469,92208,286720.0,3541.0
544,545,28-08-2020,Andhra Pradesh,393090,94209,295248.0,3633.0
545,546,29-08-2020,Andhra Pradesh,403616,96191,303711.0,3714.0
546,547,30-08-2020,Andhra Pradesh,414164,97681,312687.0,3796.0
547,548,31-08-2020,Andhra Pradesh,424767,99129,321754.0,3884.0
548,549,01-09-2020,Andhra Pradesh,434771,100276,330526.0,3969.0
549,550,02-09-2020,Andhra Pradesh,445139,101210,339876.0,4053.0
550,551,03-09-2020,Andhra Pradesh,455531,103076,348330.0,4125.0
551,552,04-09-2020,Andhra Pradesh,465730,103521,358009.0,4200.0
552,553,05-09-2020,Andhra Pradesh,476506,102067,370163.0,4276.0
553,554,06-09-2020,Andhra Pradesh,487331,100880,382104.0,4347.0
554,555,07-09-2020,Andhra Pradesh,498125,99689,394019.0,4417.0
555,556,08-09-2020,Andhra Pradesh,506493,97932,404074.0,4487.0
556,557,09-09-2020,Andhra Pradesh,517094,96769,415765.0,4560.0
557,558,10-09-2020,Andhra Pradesh,527512,97271,425607.0,4634.0
558,559,11-09-2020,Andhra Pradesh,537687,97338,435647.0,4702.0
559,560,12-09-2020,Andhra Pradesh,547686,96191,446716.0,4779.0
560,561,13-09-2020,Andhra Pradesh,557587,95733,457008.0,4846.0
561,562,14-09-2020,Andhra Pradesh,567123,95072,467139.0,4912.0
562,563,15-09-2020,Andhra Pradesh,575079,93204,476903.0,4972.0
563,564,16-09-2020,Andhra Pradesh,583925,92353,486531.0,5041.0
564,565,17-09-2020,Andhra Pradesh,592760,90279,497376.0,5105.0
565,566,18-09-2020,Andhra Pradesh,601462,88197,508088.0,5177.0
566,567,19-09-2020,Andhra Pradesh,609558,84423,519891.0,5244.0
567,568,20-09-2020,Andhra Pradesh,617776,81763,530711.0,5302.0
568,569,21-09-2020,Andhra Pradesh,625514,78836,541319.0,5359.0
569,570,22-09-2020,Andhra Pradesh,631749,74518,551821.0,5410.0
