,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
570,571,03-04-2020,Arunachal Pradesh,1,1,0.0,0.0
571,572,04-04-2020,Arunachal Pradesh,1,1,0.0,0.0
572,573,05-04-2020,Arunachal Pradesh,1,1,0.0,0.0
573,574,06-04-2020,Arunachal Pradesh,1,1,0.0,0.0
574,575,07-04-2020,Arunachal Pradesh,1,1,0.0,0.0
575,576,08-04-2020,Arunachal Pradesh,1,1,0.0,0.0
576,577,09-04-2020,Arunachal Pradesh,1,1,0.0,0.0
577,578,10-04-2020,Arunachal Pradesh,1,1,0.0,0.0
578,579,11-04-2020,Arunachal Pradesh,1,1,0.0,0.0
579,580,12-04-2020,Arunachal Pradesh,1,1,0.0,0.0
580,581,13-04-2020,Arunachal Pradesh,1,1,0.0,0.0
581,582,14-04-2020,Arunachal Pradesh,1,1,0.0,0.0
582,583,15-04-2020,Arunachal Pradesh,1,1,0.0,0.0
583,584,16-04-2020,Arunachal Pradesh,1,1,0.0,0.0
584,585,17-04-2020,Arunachal Pradesh,1,1,0.0,0.0
585,586,18-04-2020,Arunachal Pradesh,1,1,0.0,0.0
586,587,19-04-2020,Arunachal Pradesh,1,1,0.0,0.0
587,588,20-04-2020,Arunachal Pradesh,1,1,0.0,0.0
588,589,21-04-2020,Arunachal Pradesh,1,1,0.0,0.0
589,590,22-04-2020,Arunachal Pradesh,1,0,1.0,0.0
590,591,23-04-2020,Arunachal Pradesh,1,0,1.0,0.0
591,592,24-04-2020,Arunachal Pradesh,1,0,1.0,0.0
592,593,25-04-2020,Arunachal Pradesh,1,0,1.0,0.0
593,594,26-04-2020,Arunachal Pradesh,1,0,1.0,0.0
594,595,27-04-2020,Arunachal Pradesh,1,0,1.0,0.0
595,596,28-04-2020,Arunachal Pradesh,1,0,1.0,0.0
596,597,29-04-2020,Arunachal Pradesh,1,0,1.0,0.0
597,598,30-04-2020,Arunachal Pradesh,1,0,1.0,0.0
598,599,01-05-2020,Arunachal Pradesh,1,0,1.0,0.0
599,600,02-05-2020,Arunachal Pradesh,1,0,1.0,0.0
600,601,03-05-2020,Arunachal Pradesh,1,0,1.0,0.0
601,602,04-05-2020,Arunachal Pradesh,1,0,1.0,0.0
602,603,05-05-2020,Arunachal Pradesh,1,0,1.0,0.0
603,604,06-05-2020,Arunachal Pradesh,1,0,1.0,0.0
604,605,07-05-2020,Arunachal Pradesh,1,0,1.0,0.0
605,606,08-05-2020,Arunachal Pradesh,1,0,1.0,0.0
606,607,09-05-2020,Arunachal Pradesh,1,0,1.0,0.0
607,608,10-05-2020,Arunachal Pradesh,1,0,1.0,0.0
608,609,11-05-2020,Arunachal Pradesh,1,0,1.0,0.0
609,610,12-05-2020,Arunachal Pradesh,1,0,1.0,0.0
610,611,13-05-2020,Arunachal Pradesh,1,0,1.0,0.0
611,612,14-05-2020,Arunachal Pradesh,1,0,1.0,0.0
612,613,15-05-2020,Arunachal Pradesh,1,0,1.0,0.0
613,614,16-05-2020,Arunachal Pradesh,1,0,1.0,0.0
614,615,17-05-2020,Arunachal Pradesh,1,0,1.0,0.0
615,616,18-05-2020,Arunachal Pradesh,1,0,1.0,0.0
616,617,19-05-2020,Arunachal Pradesh,1,0,1.0,0.0
617,618,20-05-2020,Arunachal Pradesh,1,0,1.0,0.0
618,619,21-05-2020,Arunachal Pradesh,1,0,1.0,0.0
619,620,22-05-2020,Arunachal Pradesh,1,0,1.0,0.0
620,621,23-05-2020,Arunachal Pradesh,1,0,1.0,0.0
621,622,24-05-2020,Arunachal Pradesh,1,0,1.0,0.0
622,623,25-05-2020,Arunachal Pradesh,1,0,1.0,0.0
623,624,26-05-2020,Arunachal Pradesh,2,1,1.0,0.0
624,625,27-05-2020,Arunachal Pradesh,2,1,1.0,0.0
625,626,28-05-2020,Arunachal Pradesh,2,1,1.0,0.0
626,627,29-05-2020,Arunachal Pradesh,3,2,1.0,0.0
627,628,30-05-2020,Arunachal Pradesh,3,2,1.0,0.0
628,629,31-05-2020,Arunachal Pradesh,4,3,1.0,0.0
629,630,01-06-2020,Arunachal Pradesh,4,3,1.0,0.0
630,631,02-06-2020,Arunachal Pradesh,22,21,1.0,0.0
631,632,03-06-2020,Arunachal Pradesh,22,21,1.0,0.0
632,633,04-06-2020,Arunachal Pradesh,38,37,1.0,0.0
633,634,05-06-2020,Arunachal Pradesh,42,41,1.0,0.0
634,635,06-06-2020,Arunachal Pradesh,45,44,1.0,0.0
635,636,07-06-2020,Arunachal Pradesh,47,46,1.0,0.0
636,637,08-06-2020,Arunachal Pradesh,51,50,1.0,0.0
637,638,09-06-2020,Arunachal Pradesh,51,50,1.0,0.0
638,639,10-06-2020,Arunachal Pradesh,57,56,1.0,0.0
639,640,11-06-2020,Arunachal Pradesh,57,55,2.0,0.0
640,641,12-06-2020,Arunachal Pradesh,61,57,4.0,0.0
641,642,13-06-2020,Arunachal Pradesh,67,63,4.0,0.0
642,643,14-06-2020,Arunachal Pradesh,87,83,4.0,0.0
643,644,15-06-2020,Arunachal Pradesh,91,84,7.0,0.0
644,645,16-06-2020,Arunachal Pradesh,91,84,7.0,0.0
645,646,17-06-2020,Arunachal Pradesh,95,88,7.0,0.0
646,647,18-06-2020,Arunachal Pradesh,99,92,7.0,0.0
647,648,19-06-2020,Arunachal Pradesh,103,93,10.0,0.0
648,649,20-06-2020,Arunachal Pradesh,103,92,11.0,0.0
649,650,21-06-2020,Arunachal Pradesh,135,121,14.0,0.0
650,651,22-06-2020,Arunachal Pradesh,135,120,15.0,0.0
651,652,23-06-2020,Arunachal Pradesh,139,118,21.0,0.0
652,653,24-06-2020,Arunachal Pradesh,148,126,22.0,0.0
653,654,25-06-2020,Arunachal Pradesh,158,120,38.0,0.0
654,655,26-06-2020,Arunachal Pradesh,160,121,38.0,1.0
655,656,27-06-2020,Arunachal Pradesh,172,129,42.0,1.0
656,657,28-06-2020,Arunachal Pradesh,177,122,54.0,1.0
657,658,29-06-2020,Arunachal Pradesh,182,121,60.0,1.0
658,659,30-06-2020,Arunachal Pradesh,187,125,61.0,1.0
659,660,01-07-2020,Arunachal Pradesh,191,128,62.0,1.0
660,661,02-07-2020,Arunachal Pradesh,195,128,66.0,1.0
661,662,03-07-2020,Arunachal Pradesh,195,128,66.0,1.0
662,663,04-07-2020,Arunachal Pradesh,252,176,75.0,1.0
663,664,05-07-2020,Arunachal Pradesh,259,182,76.0,1.0
664,665,06-07-2020,Arunachal Pradesh,269,190,78.0,1.0
665,666,07-07-2020,Arunachal Pradesh,270,176,92.0,2.0
666,667,08-07-2020,Arunachal Pradesh,276,169,105.0,2.0
667,668,09-07-2020,Arunachal Pradesh,287,176,109.0,2.0
668,669,10-07-2020,Arunachal Pradesh,302,180,120.0,2.0
669,670,11-07-2020,Arunachal Pradesh,335,213,120.0,2.0
670,671,12-07-2020,Arunachal Pradesh,341,214,125.0,2.0
671,672,13-07-2020,Arunachal Pradesh,359,219,138.0,2.0
672,673,14-07-2020,Arunachal Pradesh,387,240,145.0,2.0
673,674,15-07-2020,Arunachal Pradesh,462,306,153.0,3.0
674,675,16-07-2020,Arunachal Pradesh,462,306,153.0,3.0
675,676,17-07-2020,Arunachal Pradesh,543,387,153.0,3.0
676,677,18-07-2020,Arunachal Pradesh,609,431,175.0,3.0
677,678,19-07-2020,Arunachal Pradesh,650,373,274.0,3.0
678,679,20-07-2020,Arunachal Pradesh,740,455,282.0,3.0
679,680,21-07-2020,Arunachal Pradesh,790,502,285.0,3.0
680,681,22-07-2020,Arunachal Pradesh,858,552,303.0,3.0
681,682,23-07-2020,Arunachal Pradesh,949,632,314.0,3.0
682,683,24-07-2020,Arunachal Pradesh,991,654,334.0,3.0
683,684,25-07-2020,Arunachal Pradesh,1056,661,392.0,3.0
684,685,26-07-2020,Arunachal Pradesh,1126,695,428.0,3.0
685,686,27-07-2020,Arunachal Pradesh,1158,650,505.0,3.0
686,687,28-07-2020,Arunachal Pradesh,1239,662,574.0,3.0
687,688,29-07-2020,Arunachal Pradesh,1330,710,617.0,3.0
688,689,30-07-2020,Arunachal Pradesh,1410,730,677.0,3.0
689,690,31-07-2020,Arunachal Pradesh,1484,654,827.0,3.0
690,691,01-08-2020,Arunachal Pradesh,1591,670,918.0,3.0
691,692,02-08-2020,Arunachal Pradesh,1673,701,969.0,3.0
692,693,03-08-2020,Arunachal Pradesh,1698,699,996.0,3.0
693,694,04-08-2020,Arunachal Pradesh,1758,692,1063.0,3.0
694,695,05-08-2020,Arunachal Pradesh,1790,682,1105.0,3.0
695,696,06-08-2020,Arunachal Pradesh,1855,642,1210.0,3.0
696,697,07-08-2020,Arunachal Pradesh,1948,700,1245.0,3.0
697,698,08-08-2020,Arunachal Pradesh,2049,720,1326.0,3.0
698,699,09-08-2020,Arunachal Pradesh,2117,684,1430.0,3.0
699,700,10-08-2020,Arunachal Pradesh,2155,670,1482.0,3.0
