,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
743,744,02-04-2020,Assam,1,1,0.0,0.0
744,745,03-04-2020,Assam,16,16,0.0,0.0
745,746,04-04-2020,Assam,24,24,0.0,0.0
746,747,05-04-2020,Assam,24,24,0.0,0.0
747,748,06-04-2020,Assam,26,26,0.0,0.0
748,749,07-04-2020,Assam,26,26,0.0,0.0
749,750,08-04-2020,Assam,27,27,0.0,0.0
750,751,09-04-2020,Assam,28,28,0.0,0.0
751,752,10-04-2020,Assam,29,29,0.0,0.0
752,753,11-04-2020,Assam,29,28,0.0,1.0
753,754,12-04-2020,Assam,29,28,0.0,1.0
754,755,13-04-2020,Assam,29,28,0.0,1.0
755,756,14-04-2020,Assam,31,30,0.0,1.0
756,757,15-04-2020,Assam,32,31,0.0,1.0
757,758,16-04-2020,Assam,33,32,0.0,1.0
758,759,17-04-2020,Assam,35,29,5.0,1.0
759,760,18-04-2020,Assam,35,29,5.0,1.0
760,761,19-04-2020,Assam,35,22,12.0,1.0
761,762,20-04-2020,Assam,35,17,17.0,1.0
762,763,21-04-2020,Assam,35,15,19.0,1.0
763,764,22-04-2020,Assam,35,15,19.0,1.0
764,765,23-04-2020,Assam,35,15,19.0,1.0
765,766,24-04-2020,Assam,36,16,19.0,1.0
766,767,25-04-2020,Assam,36,16,19.0,1.0
767,768,26-04-2020,Assam,36,16,19.0,1.0
768,769,27-04-2020,Assam,36,8,27.0,1.0
769,770,28-04-2020,Assam,36,8,27.0,1.0
770,771,29-04-2020,Assam,38,10,27.0,1.0
771,772,30-04-2020,Assam,38,8,29.0,1.0
772,773,01-05-2020,Assam,42,12,29.0,1.0
773,774,02-05-2020,Assam,43,10,32.0,1.0
774,775,03-05-2020,Assam,43,10,32.0,1.0
775,776,04-05-2020,Assam,43,10,32.0,1.0
776,777,05-05-2020,Assam,43,10,32.0,1.0
777,778,06-05-2020,Assam,43,10,32.0,1.0
778,779,07-05-2020,Assam,45,12,32.0,1.0
