,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
917,918,22-03-2020,Bihar,2,1,0.0,1.0
918,919,23-03-2020,Bihar,2,1,0.0,1.0
919,920,24-03-2020,Bihar,2,1,0.0,1.0
920,921,25-03-2020,Bihar,3,2,0.0,1.0
921,922,26-03-2020,Bihar,3,2,0.0,1.0
922,923,27-03-2020,Bihar,6,5,0.0,1.0
923,924,28-03-2020,Bihar,9,8,0.0,1.0
924,925,29-03-2020,Bihar,9,8,0.0,1.0
925,926,30-03-2020,Bihar,11,10,0.0,1.0
926,927,31-03-2020,Bihar,15,14,0.0,1.0
927,928,01-04-2020,Bihar,23,22,0.0,1.0
928,929,02-04-2020,Bihar,23,22,0.0,1.0
929,930,03-04-2020,Bihar,24,23,0.0,1.0
930,931,04-04-2020,Bihar,29,28,0.0,1.0
931,932,05-04-2020,Bihar,30,29,0.0,1.0
932,933,06-04-2020,Bihar,30,29,0.0,1.0
933,934,07-04-2020,Bihar,32,31,0.0,1.0
934,935,08-04-2020,Bihar,38,37,0.0,1.0
935,936,09-04-2020,Bihar,38,37,0.0,1.0
936,937,10-04-2020,Bihar,39,38,0.0,1.0
937,938,11-04-2020,Bihar,60,59,0.0,1.0
938,939,12-04-2020,Bihar,63,62,0.0,1.0
939,940,13-04-2020,Bihar,64,44,19.0,1.0
940,941,14-04-2020,Bihar,65,38,26.0,1.0
941,942,15-04-2020,Bihar,66,36,29.0,1.0
942,943,16-04-2020,Bihar,70,40,29.0,1.0
943,944,17-04-2020,Bihar,80,42,37.0,1.0
944,945,18-04-2020,Bihar,83,44,37.0,2.0
945,946,19-04-2020,Bihar,86,47,37.0,2.0
946,947,20-04-2020,Bihar,93,49,42.0,2.0
947,948,21-04-2020,Bihar,113,69,42.0,2.0
948,949,22-04-2020,Bihar,126,82,42.0,2.0
949,950,23-04-2020,Bihar,143,95,46.0,2.0
950,951,24-04-2020,Bihar,153,105,46.0,2.0
951,952,25-04-2020,Bihar,223,175,46.0,2.0
952,953,26-04-2020,Bihar,243,195,46.0,2.0
953,954,27-04-2020,Bihar,274,216,56.0,2.0
954,955,28-04-2020,Bihar,345,286,57.0,2.0
955,956,29-04-2020,Bihar,366,300,64.0,2.0
956,957,30-04-2020,Bihar,392,325,65.0,2.0
957,958,01-05-2020,Bihar,418,334,82.0,2.0
958,959,02-05-2020,Bihar,471,370,98.0,3.0
959,960,03-05-2020,Bihar,481,370,107.0,4.0
960,961,04-05-2020,Bihar,503,374,125.0,4.0
961,962,05-05-2020,Bihar,528,394,130.0,4.0
962,963,06-05-2020,Bihar,536,390,142.0,4.0
963,964,07-05-2020,Bihar,542,350,188.0,4.0
964,965,08-05-2020,Bihar,550,299,246.0,5.0
965,966,09-05-2020,Bihar,571,269,297.0,5.0
966,967,10-05-2020,Bihar,591,264,322.0,5.0
967,968,11-05-2020,Bihar,696,325,365.0,6.0
968,969,12-05-2020,Bihar,747,364,377.0,6.0
969,970,13-05-2020,Bihar,831,442,383.0,6.0
970,971,14-05-2020,Bihar,940,545,388.0,7.0
971,972,15-05-2020,Bihar,994,576,411.0,7.0
972,973,16-05-2020,Bihar,1018,573,438.0,7.0
973,974,17-05-2020,Bihar,1179,719,453.0,7.0
974,975,18-05-2020,Bihar,1262,779,475.0,8.0
975,976,19-05-2020,Bihar,1391,888,494.0,9.0
976,977,20-05-2020,Bihar,1498,955,534.0,9.0
977,978,21-05-2020,Bihar,1674,1093,571.0,10.0
978,979,22-05-2020,Bihar,1982,1378,593.0,11.0
979,980,23-05-2020,Bihar,2177,1537,629.0,11.0
980,981,24-05-2020,Bihar,2380,1716,653.0,11.0
981,982,25-05-2020,Bihar,2587,1872,702.0,13.0
982,983,26-05-2020,Bihar,2730,1968,749.0,13.0
983,984,27-05-2020,Bihar,2983,2070,900.0,13.0
984,985,28-05-2020,Bihar,3061,1963,1083.0,15.0
985,986,29-05-2020,Bihar,3296,2070,1211.0,15.0
986,987,30-05-2020,Bihar,3376,2150,1211.0,15.0
987,988,31-05-2020,Bihar,3636,1998,1618.0,20.0
988,989,01-06-2020,Bihar,3815,2084,1710.0,21.0
989,990,02-06-2020,Bihar,3926,2002,1900.0,24.0
990,991,03-06-2020,Bihar,4155,2185,1946.0,24.0
991,992,04-06-2020,Bihar,4390,2288,2077.0,25.0
992,993,05-06-2020,Bihar,4493,2254,2210.0,29.0
993,994,06-06-2020,Bihar,4596,2342,2225.0,29.0
994,995,07-06-2020,Bihar,4915,2460,2425.0,30.0
995,996,08-06-2020,Bihar,5088,2578,2480.0,30.0
996,997,09-06-2020,Bihar,5202,2672,2499.0,31.0
997,998,10-06-2020,Bihar,5459,2563,2864.0,32.0
998,999,11-06-2020,Bihar,5710,2606,3071.0,33.0
999,1000,12-06-2020,Bihar,5983,2681,3266.0,36.0
1000,1001,13-06-2020,Bihar,6103,2480,3587.0,36.0
1001,1002,14-06-2020,Bihar,6290,2295,3956.0,39.0
1002,1003,15-06-2020,Bihar,6470,2261,4170.0,39.0
1003,1004,16-06-2020,Bihar,6650,2201,4409.0,40.0
1004,1005,17-06-2020,Bihar,6778,2093,4644.0,41.0
1005,1006,18-06-2020,Bihar,6942,1972,4926.0,44.0
1006,1007,19-06-2020,Bihar,7025,1925,5056.0,44.0
1007,1008,20-06-2020,Bihar,7181,2033,5098.0,50.0
1008,1009,21-06-2020,Bihar,7533,1952,5529.0,52.0
1009,1010,22-06-2020,Bihar,7612,1979,5580.0,53.0
1010,1011,23-06-2020,Bihar,7825,1989,5781.0,55.0
1011,1012,24-06-2020,Bihar,8153,1993,6104.0,56.0
1012,1013,25-06-2020,Bihar,8209,2039,6113.0,57.0
1013,1014,26-06-2020,Bihar,8473,1975,6441.0,57.0
1014,1015,27-06-2020,Bihar,8716,1896,6762.0,58.0
1015,1016,28-06-2020,Bihar,8931,2029,6843.0,59.0
1016,1017,29-06-2020,Bihar,9212,2034,7118.0,60.0
1017,1018,30-06-2020,Bihar,9640,2188,7390.0,62.0
1018,1019,01-07-2020,Bihar,10043,2289,7687.0,67.0
1019,1020,02-07-2020,Bihar,10249,2233,7946.0,70.0
1020,1021,03-07-2020,Bihar,10471,2374,8020.0,77.0
1021,1022,04-07-2020,Bihar,10954,2660,8214.0,80.0
1022,1023,05-07-2020,Bihar,11700,2925,8686.0,89.0
1023,1024,06-07-2020,Bihar,11876,3016,8765.0,95.0
1024,1025,07-07-2020,Bihar,12125,3031,8997.0,97.0
1025,1026,08-07-2020,Bihar,12570,3182,9284.0,104.0
1026,1027,09-07-2020,Bihar,13189,3528,9554.0,107.0
1027,1028,10-07-2020,Bihar,13944,4013,9816.0,115.0
