,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1102,1103,19-03-2020,Chandigarh,1,1,0.0,0.0
1103,1104,20-03-2020,Chandigarh,1,1,0.0,0.0
1104,1105,21-03-2020,Chandigarh,1,1,0.0,0.0
1105,1106,22-03-2020,Chandigarh,5,5,0.0,0.0
1106,1107,23-03-2020,Chandigarh,6,6,0.0,0.0
1107,1108,24-03-2020,Chandigarh,6,6,0.0,0.0
1108,1109,25-03-2020,Chandigarh,7,7,0.0,0.0
1109,1110,26-03-2020,Chandigarh,7,7,0.0,0.0
1110,1111,27-03-2020,Chandigarh,7,7,0.0,0.0
1111,1112,28-03-2020,Chandigarh,8,8,0.0,0.0
1112,1113,29-03-2020,Chandigarh,8,8,0.0,0.0
1113,1114,30-03-2020,Chandigarh,8,8,0.0,0.0
1114,1115,31-03-2020,Chandigarh,13,13,0.0,0.0
1115,1116,01-04-2020,Chandigarh,13,13,0.0,0.0
1116,1117,02-04-2020,Chandigarh,16,16,0.0,0.0
1117,1118,03-04-2020,Chandigarh,18,18,0.0,0.0
1118,1119,04-04-2020,Chandigarh,18,18,0.0,0.0
1119,1120,05-04-2020,Chandigarh,18,18,0.0,0.0
1120,1121,06-04-2020,Chandigarh,18,18,0.0,0.0
1121,1122,07-04-2020,Chandigarh,18,18,0.0,0.0
1122,1123,08-04-2020,Chandigarh,18,11,7.0,0.0
1123,1124,09-04-2020,Chandigarh,18,11,7.0,0.0
1124,1125,10-04-2020,Chandigarh,18,11,7.0,0.0
1125,1126,11-04-2020,Chandigarh,18,11,7.0,0.0
1126,1127,12-04-2020,Chandigarh,19,12,7.0,0.0
1127,1128,13-04-2020,Chandigarh,21,14,7.0,0.0
1128,1129,14-04-2020,Chandigarh,21,14,7.0,0.0
1129,1130,15-04-2020,Chandigarh,21,14,7.0,0.0
1130,1131,16-04-2020,Chandigarh,21,14,7.0,0.0
1131,1132,17-04-2020,Chandigarh,21,12,9.0,0.0
1132,1133,18-04-2020,Chandigarh,21,12,9.0,0.0
1133,1134,19-04-2020,Chandigarh,23,13,10.0,0.0
1134,1135,20-04-2020,Chandigarh,26,13,13.0,0.0
1135,1136,21-04-2020,Chandigarh,26,13,13.0,0.0
1136,1137,22-04-2020,Chandigarh,27,13,14.0,0.0
1137,1138,23-04-2020,Chandigarh,27,13,14.0,0.0
1138,1139,24-04-2020,Chandigarh,27,13,14.0,0.0
1139,1140,25-04-2020,Chandigarh,27,13,14.0,0.0
1140,1141,26-04-2020,Chandigarh,28,13,15.0,0.0
1141,1142,27-04-2020,Chandigarh,30,13,17.0,0.0
1142,1143,28-04-2020,Chandigarh,40,23,17.0,0.0
1143,1144,29-04-2020,Chandigarh,56,39,17.0,0.0
1144,1145,30-04-2020,Chandigarh,56,39,17.0,0.0
