,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1290,1291,20-03-2020,Chhattisgarh,1,1,0.0,0.0
1291,1292,21-03-2020,Chhattisgarh,1,1,0.0,0.0
1292,1293,22-03-2020,Chhattisgarh,1,1,0.0,0.0
1293,1294,23-03-2020,Chhattisgarh,1,1,0.0,0.0
1294,1295,24-03-2020,Chhattisgarh,1,1,0.0,0.0
1295,1296,25-03-2020,Chhattisgarh,1,1,0.0,0.0
1296,1297,26-03-2020,Chhattisgarh,3,3,0.0,0.0
1297,1298,27-03-2020,Chhattisgarh,6,6,0.0,0.0
1298,1299,28-03-2020,Chhattisgarh,6,6,0.0,0.0
1299,1300,29-03-2020,Chhattisgarh,6,6,0.0,0.0
1300,1301,30-03-2020,Chhattisgarh,7,7,0.0,0.0
1301,1302,31-03-2020,Chhattisgarh,8,8,0.0,0.0
1302,1303,01-04-2020,Chhattisgarh,9,9,0.0,0.0
1303,1304,02-04-2020,Chhattisgarh,9,7,2.0,0.0
1304,1305,03-04-2020,Chhattisgarh,9,7,2.0,0.0
1305,1306,04-04-2020,Chhattisgarh,9,6,3.0,0.0
1306,1307,05-04-2020,Chhattisgarh,9,6,3.0,0.0
1307,1308,06-04-2020,Chhattisgarh,9,6,3.0,0.0
1308,1309,07-04-2020,Chhattisgarh,10,2,8.0,0.0
1309,1310,08-04-2020,Chhattisgarh,10,1,9.0,0.0
1310,1311,09-04-2020,Chhattisgarh,10,1,9.0,0.0
1311,1312,10-04-2020,Chhattisgarh,10,1,9.0,0.0
1312,1313,11-04-2020,Chhattisgarh,18,9,9.0,0.0
1313,1314,12-04-2020,Chhattisgarh,18,9,9.0,0.0
1314,1315,13-04-2020,Chhattisgarh,31,21,10.0,0.0
1315,1316,14-04-2020,Chhattisgarh,31,21,10.0,0.0
1316,1317,15-04-2020,Chhattisgarh,33,20,13.0,0.0
1317,1318,16-04-2020,Chhattisgarh,33,16,17.0,0.0
1318,1319,17-04-2020,Chhattisgarh,33,10,23.0,0.0
1319,1320,18-04-2020,Chhattisgarh,36,12,24.0,0.0
1320,1321,19-04-2020,Chhattisgarh,36,12,24.0,0.0
1321,1322,20-04-2020,Chhattisgarh,36,11,25.0,0.0
1322,1323,21-04-2020,Chhattisgarh,36,11,25.0,0.0
1323,1324,22-04-2020,Chhattisgarh,36,10,26.0,0.0
1324,1325,23-04-2020,Chhattisgarh,36,10,26.0,0.0
1325,1326,24-04-2020,Chhattisgarh,36,8,28.0,0.0
1326,1327,25-04-2020,Chhattisgarh,36,6,30.0,0.0
1327,1328,26-04-2020,Chhattisgarh,37,5,32.0,0.0
1328,1329,27-04-2020,Chhattisgarh,37,5,32.0,0.0
1329,1330,28-04-2020,Chhattisgarh,37,5,32.0,0.0
1330,1331,29-04-2020,Chhattisgarh,38,4,34.0,0.0
1331,1332,30-04-2020,Chhattisgarh,38,4,34.0,0.0
1332,1333,01-05-2020,Chhattisgarh,40,4,36.0,0.0
1333,1334,02-05-2020,Chhattisgarh,43,7,36.0,0.0
1334,1335,03-05-2020,Chhattisgarh,43,7,36.0,0.0
1335,1336,04-05-2020,Chhattisgarh,57,21,36.0,0.0
