,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1477,1478,09-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1478,1479,10-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1479,1480,11-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1480,1481,12-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1481,1482,13-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1482,1483,14-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1483,1484,15-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1484,1485,16-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1485,1486,17-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1486,1487,18-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1487,1488,19-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1488,1489,20-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1489,1490,21-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1490,1491,22-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1491,1492,23-05-2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0.0,0.0
1492,1493,24-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1493,1494,25-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1494,1495,26-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1495,1496,27-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1496,1497,28-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1497,1498,29-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1498,1499,30-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1499,1500,31-05-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1500,1501,01-06-2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0.0,0.0
1501,1502,02-06-2020,Dadra and Nagar Haveli and Daman and Diu,3,2,1.0,0.0
1502,1503,03-06-2020,Dadra and Nagar Haveli and Daman and Diu,4,3,1.0,0.0
1503,1504,04-06-2020,Dadra and Nagar Haveli and Daman and Diu,8,7,1.0,0.0
1504,1505,05-06-2020,Dadra and Nagar Haveli and Daman and Diu,12,11,1.0,0.0
1505,1506,06-06-2020,Dadra and Nagar Haveli and Daman and Diu,14,13,1.0,0.0
1506,1507,07-06-2020,Dadra and Nagar Haveli and Daman and Diu,19,18,1.0,0.0
1507,1508,08-06-2020,Dadra and Nagar Haveli and Daman and Diu,20,18,2.0,0.0
1508,1509,09-06-2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2.0,0.0
1509,1510,10-06-2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2.0,0.0
1510,1511,11-06-2020,Dadra and Nagar Haveli and Daman and Diu,28,26,2.0,0.0
1511,1512,12-06-2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2.0,0.0
1512,1513,13-06-2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2.0,0.0
1513,1514,14-06-2020,Dadra and Nagar Haveli and Daman and Diu,35,33,2.0,0.0
1514,1515,15-06-2020,Dadra and Nagar Haveli and Daman and Diu,36,34,2.0,0.0
1515,1516,16-06-2020,Dadra and Nagar Haveli and Daman and Diu,36,31,5.0,0.0
1516,1517,17-06-2020,Dadra and Nagar Haveli and Daman and Diu,45,36,9.0,0.0
1517,1518,18-06-2020,Dadra and Nagar Haveli and Daman and Diu,57,45,12.0,0.0
1518,1519,19-06-2020,Dadra and Nagar Haveli and Daman and Diu,58,45,13.0,0.0
1519,1520,20-06-2020,Dadra and Nagar Haveli and Daman and Diu,62,48,14.0,0.0
1520,1521,21-06-2020,Dadra and Nagar Haveli and Daman and Diu,68,42,26.0,0.0
1521,1522,22-06-2020,Dadra and Nagar Haveli and Daman and Diu,88,62,26.0,0.0
1522,1523,23-06-2020,Dadra and Nagar Haveli and Daman and Diu,91,64,27.0,0.0
1523,1524,24-06-2020,Dadra and Nagar Haveli and Daman and Diu,120,91,29.0,0.0
1524,1525,25-06-2020,Dadra and Nagar Haveli and Daman and Diu,120,90,30.0,0.0
1525,1526,26-06-2020,Dadra and Nagar Haveli and Daman and Diu,155,123,32.0,0.0
1526,1527,27-06-2020,Dadra and Nagar Haveli and Daman and Diu,163,122,41.0,0.0
1527,1528,28-06-2020,Dadra and Nagar Haveli and Daman and Diu,177,122,55.0,0.0
1528,1529,29-06-2020,Dadra and Nagar Haveli and Daman and Diu,178,118,60.0,0.0
1529,1530,30-06-2020,Dadra and Nagar Haveli and Daman and Diu,203,126,77.0,0.0
1530,1531,01-07-2020,Dadra and Nagar Haveli and Daman and Diu,213,131,82.0,0.0
1531,1532,02-07-2020,Dadra and Nagar Haveli and Daman and Diu,215,129,86.0,0.0
1532,1533,03-07-2020,Dadra and Nagar Haveli and Daman and Diu,230,141,89.0,0.0
1533,1534,04-07-2020,Dadra and Nagar Haveli and Daman and Diu,257,161,96.0,0.0
1534,1535,05-07-2020,Dadra and Nagar Haveli and Daman and Diu,271,175,96.0,0.0
1535,1536,06-07-2020,Dadra and Nagar Haveli and Daman and Diu,271,165,106.0,0.0
1536,1537,07-07-2020,Dadra and Nagar Haveli and Daman and Diu,297,183,114.0,0.0
1537,1538,08-07-2020,Dadra and Nagar Haveli and Daman and Diu,405,222,183.0,0.0
