,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1614,1615,12-03-2020,Delhi,6,6,0.0,0.0
1615,1616,13-03-2020,Delhi,6,6,0.0,0.0
1616,1617,14-03-2020,Delhi,7,5,1.0,1.0
1617,1618,15-03-2020,Delhi,7,4,2.0,1.0
1618,1619,16-03-2020,Delhi,7,4,2.0,1.0
1619,1620,17-03-2020,Delhi,8,5,2.0,1.0
1620,1621,18-03-2020,Delhi,10,7,2.0,1.0
1621,1622,19-03-2020,Delhi,12,9,2.0,1.0
1622,1623,20-03-2020,Delhi,17,13,3.0,1.0
1623,1624,21-03-2020,Delhi,26,20,5.0,1.0
1624,1625,22-03-2020,Delhi,29,23,5.0,1.0
1625,1626,23-03-2020,Delhi,29,23,5.0,1.0
1626,1627,24-03-2020,Delhi,31,24,6.0,1.0
1627,1628,25-03-2020,Delhi,30,22,6.0,2.0
1628,1629,26-03-2020,Delhi,35,28,6.0,1.0
1629,1630,27-03-2020,Delhi,36,29,6.0,1.0
1630,1631,28-03-2020,Delhi,39,32,6.0,1.0
1631,1632,29-03-2020,Delhi,39,31,6.0,2.0
1632,1633,30-03-2020,Delhi,53,45,6.0,2.0
1633,1634,31-03-2020,Delhi,97,89,6.0,2.0
1634,1635,01-04-2020,Delhi,120,112,6.0,2.0
1635,1636,02-04-2020,Delhi,152,144,6.0,2.0
1636,1637,03-04-2020,Delhi,219,207,8.0,4.0
1637,1638,04-04-2020,Delhi,386,372,8.0,6.0
1638,1639,05-04-2020,Delhi,445,424,15.0,6.0
1639,1640,06-04-2020,Delhi,503,478,18.0,7.0
1640,1641,07-04-2020,Delhi,523,497,19.0,7.0
1641,1642,08-04-2020,Delhi,576,546,21.0,9.0
1642,1643,09-04-2020,Delhi,669,639,21.0,9.0
1643,1644,10-04-2020,Delhi,720,683,25.0,12.0
1644,1645,11-04-2020,Delhi,903,865,25.0,13.0
1645,1646,12-04-2020,Delhi,1069,1025,25.0,19.0
1646,1647,13-04-2020,Delhi,1154,1103,27.0,24.0
1647,1648,14-04-2020,Delhi,1510,1452,30.0,28.0
1648,1649,15-04-2020,Delhi,1561,1501,30.0,30.0
1649,1650,16-04-2020,Delhi,1578,1506,40.0,32.0
1650,1651,17-04-2020,Delhi,1640,1551,51.0,38.0
1651,1652,18-04-2020,Delhi,1707,1593,72.0,42.0
1652,1653,19-04-2020,Delhi,1893,1779,72.0,42.0
1653,1654,20-04-2020,Delhi,2003,1886,72.0,45.0
1654,1655,21-04-2020,Delhi,2081,1603,431.0,47.0
1655,1656,22-04-2020,Delhi,2156,1498,611.0,47.0
1656,1657,23-04-2020,Delhi,2248,1476,724.0,48.0
1657,1658,24-04-2020,Delhi,2376,1518,808.0,50.0
1658,1659,25-04-2020,Delhi,2514,1604,857.0,53.0
1659,1660,26-04-2020,Delhi,2625,1702,869.0,54.0
1660,1661,27-04-2020,Delhi,2918,1987,877.0,54.0
1661,1662,28-04-2020,Delhi,3108,2177,877.0,54.0
1662,1663,29-04-2020,Delhi,3314,2182,1078.0,54.0
1663,1664,30-04-2020,Delhi,3439,2291,1092.0,56.0
1664,1665,01-05-2020,Delhi,3515,2362,1094.0,59.0
1665,1666,02-05-2020,Delhi,3738,2510,1167.0,61.0
1666,1667,03-05-2020,Delhi,4122,2802,1256.0,64.0
1667,1668,04-05-2020,Delhi,4549,3123,1362.0,64.0
1668,1669,05-05-2020,Delhi,4898,3403,1431.0,64.0
1669,1670,06-05-2020,Delhi,5104,3572,1468.0,64.0
1670,1671,07-05-2020,Delhi,5532,3925,1542.0,65.0
1671,1672,08-05-2020,Delhi,5980,3983,1931.0,66.0
1672,1673,09-05-2020,Delhi,6318,4230,2020.0,68.0
1673,1674,10-05-2020,Delhi,6542,4449,2020.0,73.0
1674,1675,11-05-2020,Delhi,6923,4781,2069.0,73.0
1675,1676,12-05-2020,Delhi,7233,5031,2129.0,73.0
1676,1677,13-05-2020,Delhi,7639,5041,2512.0,86.0
1677,1678,14-05-2020,Delhi,7998,5034,2858.0,106.0
1678,1679,15-05-2020,Delhi,8470,5310,3045.0,115.0
1679,1680,16-05-2020,Delhi,8895,5254,3518.0,123.0
1680,1681,17-05-2020,Delhi,9333,5278,3926.0,129.0
1681,1682,18-05-2020,Delhi,10054,5409,4485.0,160.0
1682,1683,19-05-2020,Delhi,10054,5401,4485.0,168.0
1683,1684,20-05-2020,Delhi,10554,5636,4750.0,168.0
1684,1685,21-05-2020,Delhi,11088,5720,5192.0,176.0
1685,1686,22-05-2020,Delhi,11659,5898,5567.0,194.0
1686,1687,23-05-2020,Delhi,12319,6214,5897.0,208.0
1687,1688,24-05-2020,Delhi,12910,6412,6267.0,231.0
1688,1689,25-05-2020,Delhi,13418,6617,6540.0,261.0
1689,1690,26-05-2020,Delhi,14053,7006,6771.0,276.0
1690,1691,27-05-2020,Delhi,14465,6954,7223.0,288.0
1691,1692,28-05-2020,Delhi,15257,7690,7264.0,303.0
1692,1693,29-05-2020,Delhi,16281,8470,7495.0,316.0
1693,1694,30-05-2020,Delhi,17386,9142,7846.0,398.0
1694,1695,31-05-2020,Delhi,18549,10058,8075.0,416.0
1695,1696,01-06-2020,Delhi,19844,10893,8478.0,473.0
1696,1697,02-06-2020,Delhi,20834,11565,8746.0,523.0
1697,1698,03-06-2020,Delhi,22132,12333,9243.0,556.0
1698,1699,04-06-2020,Delhi,23645,13497,9542.0,606.0
1699,1700,05-06-2020,Delhi,25004,14456,9898.0,650.0
1700,1701,06-06-2020,Delhi,26334,15311,10315.0,708.0
1701,1702,07-06-2020,Delhi,27654,16229,10664.0,761.0
1702,1703,08-06-2020,Delhi,27654,16229,10664.0,761.0
1703,1704,09-06-2020,Delhi,29943,17712,11357.0,874.0
1704,1705,10-06-2020,Delhi,31309,18543,11861.0,905.0
1705,1706,11-06-2020,Delhi,32810,19581,12245.0,984.0
1706,1707,12-06-2020,Delhi,34687,20871,12731.0,1085.0
1707,1708,13-06-2020,Delhi,36824,22212,13398.0,1214.0
1708,1709,14-06-2020,Delhi,38958,22742,14945.0,1271.0
1709,1710,15-06-2020,Delhi,41182,24032,15823.0,1327.0
1710,1711,16-06-2020,Delhi,42829,25002,16427.0,1400.0
1711,1712,17-06-2020,Delhi,44688,26351,16500.0,1837.0
1712,1713,18-06-2020,Delhi,47102,27741,17457.0,1904.0
1713,1714,19-06-2020,Delhi,49979,26669,21341.0,1969.0
1714,1715,20-06-2020,Delhi,53116,27512,23569.0,2035.0
1715,1716,21-06-2020,Delhi,56746,23340,31294.0,2112.0
1716,1717,22-06-2020,Delhi,59746,24558,33013.0,2175.0
1717,1718,23-06-2020,Delhi,62655,23820,36602.0,2233.0
1718,1719,24-06-2020,Delhi,66602,24988,39313.0,2301.0
1719,1720,25-06-2020,Delhi,70390,26588,41437.0,2365.0
1720,1721,26-06-2020,Delhi,73780,26586,44765.0,2429.0
1721,1722,27-06-2020,Delhi,77240,27657,47091.0,2492.0
1722,1723,28-06-2020,Delhi,80188,28329,49301.0,2558.0
1723,1724,29-06-2020,Delhi,83077,27847,52607.0,2623.0
1724,1725,30-06-2020,Delhi,85161,26246,56235.0,2680.0
1725,1726,01-07-2020,Delhi,87360,26270,58348.0,2742.0
1726,1727,02-07-2020,Delhi,89802,27007,59992.0,2803.0
1727,1728,03-07-2020,Delhi,92175,26304,63007.0,2864.0
1728,1729,04-07-2020,Delhi,94695,26148,65624.0,2923.0
1729,1730,05-07-2020,Delhi,97200,25940,68256.0,3004.0
1730,1731,06-07-2020,Delhi,99444,25038,71339.0,3067.0
1731,1732,07-07-2020,Delhi,100823,25620,72088.0,3115.0
1732,1733,08-07-2020,Delhi,102831,25449,74217.0,3165.0
