,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1809,1810,26-03-2020,Goa,3,3,0.0,0.0
1810,1811,27-03-2020,Goa,3,3,0.0,0.0
1811,1812,28-03-2020,Goa,3,3,0.0,0.0
1812,1813,29-03-2020,Goa,3,3,0.0,0.0
1813,1814,30-03-2020,Goa,5,5,0.0,0.0
1814,1815,31-03-2020,Goa,5,5,0.0,0.0
1815,1816,01-04-2020,Goa,5,5,0.0,0.0
1816,1817,02-04-2020,Goa,5,5,0.0,0.0
1817,1818,03-04-2020,Goa,6,6,0.0,0.0
1818,1819,04-04-2020,Goa,6,6,0.0,0.0
1819,1820,05-04-2020,Goa,7,7,0.0,0.0
1820,1821,06-04-2020,Goa,7,7,0.0,0.0
1821,1822,07-04-2020,Goa,7,7,0.0,0.0
1822,1823,08-04-2020,Goa,7,7,0.0,0.0
1823,1824,09-04-2020,Goa,7,7,0.0,0.0
1824,1825,10-04-2020,Goa,7,7,0.0,0.0
1825,1826,11-04-2020,Goa,7,6,1.0,0.0
1826,1827,12-04-2020,Goa,7,2,5.0,0.0
1827,1828,13-04-2020,Goa,7,2,5.0,0.0
1828,1829,14-04-2020,Goa,7,2,5.0,0.0
1829,1830,15-04-2020,Goa,7,2,5.0,0.0
1830,1831,16-04-2020,Goa,7,2,5.0,0.0
1831,1832,17-04-2020,Goa,7,1,6.0,0.0
1832,1833,18-04-2020,Goa,7,1,6.0,0.0
1833,1834,19-04-2020,Goa,7,1,6.0,0.0
1834,1835,20-04-2020,Goa,7,0,7.0,0.0
1835,1836,21-04-2020,Goa,7,0,7.0,0.0
1836,1837,22-04-2020,Goa,7,0,7.0,0.0
1837,1838,23-04-2020,Goa,7,0,7.0,0.0
1838,1839,24-04-2020,Goa,7,0,7.0,0.0
1839,1840,25-04-2020,Goa,7,0,7.0,0.0
1840,1841,26-04-2020,Goa,7,0,7.0,0.0
1841,1842,27-04-2020,Goa,7,0,7.0,0.0
1842,1843,28-04-2020,Goa,7,0,7.0,0.0
1843,1844,29-04-2020,Goa,7,0,7.0,0.0
1844,1845,30-04-2020,Goa,7,0,7.0,0.0
