,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1990,1991,20-03-2020,Gujarat,2,2,0.0,0.0
1991,1992,21-03-2020,Gujarat,7,7,0.0,0.0
1992,1993,22-03-2020,Gujarat,18,17,0.0,1.0
1993,1994,23-03-2020,Gujarat,29,28,0.0,1.0
1994,1995,24-03-2020,Gujarat,29,28,0.0,1.0
1995,1996,25-03-2020,Gujarat,33,32,0.0,1.0
1996,1997,26-03-2020,Gujarat,38,36,0.0,2.0
1997,1998,27-03-2020,Gujarat,43,40,0.0,3.0
1998,1999,28-03-2020,Gujarat,45,42,0.0,3.0
1999,2000,29-03-2020,Gujarat,53,49,0.0,4.0
2000,2001,30-03-2020,Gujarat,58,52,1.0,5.0
2001,2002,31-03-2020,Gujarat,73,64,3.0,6.0
2002,2003,01-04-2020,Gujarat,74,63,5.0,6.0
2003,2004,02-04-2020,Gujarat,82,71,5.0,6.0
2004,2005,03-04-2020,Gujarat,87,72,8.0,7.0
2005,2006,04-04-2020,Gujarat,95,76,10.0,9.0
2006,2007,05-04-2020,Gujarat,105,81,14.0,10.0
2007,2008,06-04-2020,Gujarat,122,93,18.0,11.0
2008,2009,07-04-2020,Gujarat,144,110,22.0,12.0
2009,2010,08-04-2020,Gujarat,165,127,25.0,13.0
2010,2011,09-04-2020,Gujarat,179,138,25.0,16.0
2011,2012,10-04-2020,Gujarat,241,198,26.0,17.0
2012,2013,11-04-2020,Gujarat,308,258,31.0,19.0
2013,2014,12-04-2020,Gujarat,432,366,44.0,22.0
2014,2015,13-04-2020,Gujarat,516,447,44.0,25.0
2015,2016,14-04-2020,Gujarat,539,459,54.0,26.0
2016,2017,15-04-2020,Gujarat,650,563,59.0,28.0
2017,2018,16-04-2020,Gujarat,766,669,64.0,33.0
2018,2019,17-04-2020,Gujarat,930,821,73.0,36.0
2019,2020,18-04-2020,Gujarat,1099,972,86.0,41.0
2020,2021,19-04-2020,Gujarat,1376,1230,93.0,53.0
2021,2022,20-04-2020,Gujarat,1743,1575,105.0,63.0
2022,2023,21-04-2020,Gujarat,1939,1737,131.0,71.0
2023,2024,22-04-2020,Gujarat,2178,1949,139.0,90.0
2024,2025,23-04-2020,Gujarat,2407,2125,179.0,103.0
2025,2026,24-04-2020,Gujarat,2624,2254,258.0,112.0
2026,2027,25-04-2020,Gujarat,2815,2423,265.0,127.0
2027,2028,26-04-2020,Gujarat,3071,2656,282.0,133.0
2028,2029,27-04-2020,Gujarat,3301,2837,313.0,151.0
2029,2030,28-04-2020,Gujarat,3548,2992,394.0,162.0
2030,2031,29-04-2020,Gujarat,3744,3129,434.0,181.0
2031,2032,30-04-2020,Gujarat,4082,3358,527.0,197.0
2032,2033,01-05-2020,Gujarat,4395,3568,613.0,214.0
2033,2034,02-05-2020,Gujarat,4721,3750,735.0,236.0
2034,2035,03-05-2020,Gujarat,5054,3896,896.0,262.0
2035,2036,04-05-2020,Gujarat,5428,4096,1042.0,290.0
2036,2037,05-05-2020,Gujarat,5804,4290,1195.0,319.0
2037,2038,06-05-2020,Gujarat,6245,4496,1381.0,368.0
2038,2039,07-05-2020,Gujarat,6625,4729,1500.0,396.0
2039,2040,08-05-2020,Gujarat,7012,4878,1709.0,425.0
2040,2041,09-05-2020,Gujarat,7402,5081,1872.0,449.0
2041,2042,10-05-2020,Gujarat,7796,5233,2091.0,472.0
2042,2043,11-05-2020,Gujarat,8194,5156,2545.0,493.0
2043,2044,12-05-2020,Gujarat,8541,5248,2780.0,513.0
2044,2045,13-05-2020,Gujarat,8903,5120,3246.0,537.0
2045,2046,14-05-2020,Gujarat,9267,5139,3562.0,566.0
2046,2047,15-05-2020,Gujarat,9591,5252,3753.0,586.0
2047,2048,16-05-2020,Gujarat,9931,5290,4035.0,606.0
2048,2049,17-05-2020,Gujarat,10988,6055,4308.0,625.0
2049,2050,18-05-2020,Gujarat,11379,6221,4499.0,659.0
2050,2051,19-05-2020,Gujarat,11745,6247,4804.0,694.0
2051,2052,20-05-2020,Gujarat,12140,6378,5043.0,719.0
2052,2053,21-05-2020,Gujarat,12537,6569,5219.0,749.0
2053,2054,22-05-2020,Gujarat,12905,6644,5488.0,773.0
2054,2055,23-05-2020,Gujarat,13268,6586,5880.0,802.0
2055,2056,24-05-2020,Gujarat,13664,6666,6169.0,829.0
