,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2177,2178,12-03-2020,Haryana,14,14,0.0,0.0
2178,2179,13-03-2020,Haryana,14,14,0.0,0.0
2179,2180,14-03-2020,Haryana,14,14,0.0,0.0
2180,2181,15-03-2020,Haryana,14,14,0.0,0.0
2181,2182,16-03-2020,Haryana,14,14,0.0,0.0
2182,2183,17-03-2020,Haryana,15,15,0.0,0.0
2183,2184,18-03-2020,Haryana,16,16,0.0,0.0
2184,2185,19-03-2020,Haryana,17,17,0.0,0.0
2185,2186,20-03-2020,Haryana,17,17,0.0,0.0
2186,2187,21-03-2020,Haryana,17,17,0.0,0.0
2187,2188,22-03-2020,Haryana,21,21,0.0,0.0
2188,2189,23-03-2020,Haryana,26,26,0.0,0.0
2189,2190,24-03-2020,Haryana,26,15,11.0,0.0
2190,2191,25-03-2020,Haryana,28,17,11.0,0.0
2191,2192,26-03-2020,Haryana,30,19,11.0,0.0
2192,2193,27-03-2020,Haryana,30,19,11.0,0.0
2193,2194,28-03-2020,Haryana,33,21,12.0,0.0
2194,2195,29-03-2020,Haryana,33,21,12.0,0.0
2195,2196,30-03-2020,Haryana,33,16,17.0,0.0
2196,2197,31-03-2020,Haryana,40,19,21.0,0.0
2197,2198,01-04-2020,Haryana,43,22,21.0,0.0
2198,2199,02-04-2020,Haryana,43,22,21.0,0.0
2199,2200,03-04-2020,Haryana,43,22,21.0,0.0
2200,2201,04-04-2020,Haryana,49,25,24.0,0.0
2201,2202,05-04-2020,Haryana,49,25,24.0,0.0
2202,2203,06-04-2020,Haryana,84,58,25.0,1.0
2203,2204,07-04-2020,Haryana,90,64,25.0,1.0
2204,2205,08-04-2020,Haryana,147,116,28.0,3.0
2205,2206,09-04-2020,Haryana,147,116,28.0,3.0
2206,2207,10-04-2020,Haryana,169,137,29.0,3.0
2207,2208,11-04-2020,Haryana,177,145,29.0,3.0
2208,2209,12-04-2020,Haryana,177,145,29.0,3.0
2209,2210,13-04-2020,Haryana,185,153,29.0,3.0
2210,2211,14-04-2020,Haryana,185,153,29.0,3.0
2211,2212,15-04-2020,Haryana,199,162,34.0,3.0
2212,2213,16-04-2020,Haryana,205,159,43.0,3.0
2213,2214,17-04-2020,Haryana,205,159,43.0,3.0
2214,2215,18-04-2020,Haryana,225,179,43.0,3.0
2215,2216,19-04-2020,Haryana,225,179,43.0,3.0
2216,2217,20-04-2020,Haryana,233,143,87.0,3.0
2217,2218,21-04-2020,Haryana,254,124,127.0,3.0
2218,2219,22-04-2020,Haryana,254,124,127.0,3.0
2219,2220,23-04-2020,Haryana,262,119,140.0,3.0
2220,2221,24-04-2020,Haryana,272,113,156.0,3.0
2221,2222,25-04-2020,Haryana,272,113,156.0,3.0
2222,2223,26-04-2020,Haryana,289,110,176.0,3.0
2223,2224,27-04-2020,Haryana,289,110,176.0,3.0
2224,2225,28-04-2020,Haryana,296,110,183.0,3.0
2225,2226,29-04-2020,Haryana,310,98,209.0,3.0
2226,2227,30-04-2020,Haryana,310,98,209.0,3.0
2227,2228,01-05-2020,Haryana,313,101,209.0,3.0
2228,2229,02-05-2020,Haryana,360,129,227.0,4.0
2229,2230,03-05-2020,Haryana,360,129,227.0,4.0
2230,2231,04-05-2020,Haryana,442,192,245.0,5.0
2231,2232,05-05-2020,Haryana,517,257,254.0,6.0
2232,2233,06-05-2020,Haryana,548,286,256.0,6.0
2233,2234,07-05-2020,Haryana,594,327,260.0,7.0
2234,2235,08-05-2020,Haryana,625,358,260.0,7.0
2235,2236,09-05-2020,Haryana,647,360,279.0,8.0
2236,2237,10-05-2020,Haryana,675,376,290.0,9.0
2237,2238,11-05-2020,Haryana,703,393,300.0,10.0
2238,2239,12-05-2020,Haryana,730,382,337.0,11.0
2239,2240,13-05-2020,Haryana,780,427,342.0,11.0
2240,2241,14-05-2020,Haryana,793,364,418.0,11.0
2241,2242,15-05-2020,Haryana,818,368,439.0,11.0
2242,2243,16-05-2020,Haryana,818,368,439.0,11.0
2243,2244,17-05-2020,Haryana,887,360,514.0,13.0
2244,2245,18-05-2020,Haryana,910,334,562.0,14.0
2245,2246,19-05-2020,Haryana,928,316,598.0,14.0
2246,2247,20-05-2020,Haryana,964,323,627.0,14.0
2247,2248,21-05-2020,Haryana,993,331,648.0,14.0
2248,2249,22-05-2020,Haryana,1031,335,681.0,15.0
2249,2250,23-05-2020,Haryana,1067,345,706.0,16.0
2250,2251,24-05-2020,Haryana,1131,365,750.0,16.0
2251,2252,25-05-2020,Haryana,1184,403,765.0,16.0
2252,2253,26-05-2020,Haryana,1184,403,765.0,16.0
2253,2254,27-05-2020,Haryana,1305,464,824.0,17.0
2254,2255,28-05-2020,Haryana,1381,525,838.0,18.0
2255,2256,29-05-2020,Haryana,1504,604,881.0,19.0
2256,2257,30-05-2020,Haryana,1721,762,940.0,19.0
2257,2258,31-05-2020,Haryana,1923,932,971.0,20.0
2258,2259,01-06-2020,Haryana,2091,1023,1048.0,20.0
2259,2260,02-06-2020,Haryana,2356,1280,1055.0,21.0
2260,2261,03-06-2020,Haryana,2652,1560,1069.0,23.0
2261,2262,04-06-2020,Haryana,2954,1842,1089.0,23.0
2262,2263,05-06-2020,Haryana,3281,1123,2134.0,24.0
2263,2264,06-06-2020,Haryana,3597,1439,2134.0,24.0
2264,2265,07-06-2020,Haryana,3952,1794,2134.0,24.0
2265,2266,08-06-2020,Haryana,4448,2286,2134.0,28.0
2266,2267,09-06-2020,Haryana,4854,2681,2134.0,39.0
2267,2268,10-06-2020,Haryana,5209,3030,2134.0,45.0
2268,2269,11-06-2020,Haryana,5579,3339,2188.0,52.0
2269,2270,12-06-2020,Haryana,5968,3644,2260.0,64.0
2270,2271,13-06-2020,Haryana,6334,3789,2475.0,70.0
2271,2272,14-06-2020,Haryana,6749,3868,2803.0,78.0
2272,2273,15-06-2020,Haryana,7208,4117,3003.0,88.0
2273,2274,16-06-2020,Haryana,7722,4057,3565.0,100.0
2274,2275,17-06-2020,Haryana,8272,4406,3748.0,118.0
2275,2276,18-06-2020,Haryana,8832,4750,3952.0,130.0
2276,2277,19-06-2020,Haryana,9218,4528,4556.0,134.0
2277,2278,20-06-2020,Haryana,9743,4710,4889.0,144.0
2278,2279,21-06-2020,Haryana,10223,4946,5128.0,149.0
2279,2280,22-06-2020,Haryana,10635,4918,5557.0,160.0
2280,2281,23-06-2020,Haryana,11025,4940,5916.0,169.0
2281,2282,24-06-2020,Haryana,11520,4844,6498.0,178.0
2282,2283,25-06-2020,Haryana,12010,4897,6925.0,188.0
2283,2284,26-06-2020,Haryana,12463,4885,7380.0,198.0
2284,2285,27-06-2020,Haryana,12884,4657,8016.0,211.0
2285,2286,28-06-2020,Haryana,13427,4737,8472.0,218.0
2286,2287,29-06-2020,Haryana,13829,4689,8917.0,223.0
2287,2288,30-06-2020,Haryana,14210,4476,9502.0,232.0
2288,2289,01-07-2020,Haryana,14548,4340,9972.0,236.0
2289,2290,02-07-2020,Haryana,14941,4202,10499.0,240.0
2290,2291,03-07-2020,Haryana,15509,4239,11019.0,251.0
2291,2292,04-07-2020,Haryana,16003,4057,11691.0,255.0
2292,2293,05-07-2020,Haryana,16548,4031,12257.0,260.0
2293,2294,06-07-2020,Haryana,17005,3796,12944.0,265.0
2294,2295,07-07-2020,Haryana,17504,3893,13335.0,276.0
2295,2296,08-07-2020,Haryana,17999,4075,13645.0,279.0
2296,2297,09-07-2020,Haryana,18690,4302,14106.0,282.0
2297,2298,10-07-2020,Haryana,19369,4572,14510.0,287.0
2298,2299,11-07-2020,Haryana,19934,4740,14904.0,290.0
2299,2300,12-07-2020,Haryana,20582,4891,15394.0,297.0
2300,2301,13-07-2020,Haryana,21240,4956,15983.0,301.0
2301,2302,14-07-2020,Haryana,21894,4984,16602.0,308.0
2302,2303,15-07-2020,Haryana,22628,5226,17090.0,312.0
2303,2304,16-07-2020,Haryana,23306,5320,17667.0,319.0
2304,2305,17-07-2020,Haryana,24002,5495,18185.0,322.0
2305,2306,18-07-2020,Haryana,24797,5752,18718.0,327.0
2306,2307,19-07-2020,Haryana,25547,5885,19318.0,344.0
2307,2308,20-07-2020,Haryana,26164,6022,19793.0,349.0
2308,2309,21-07-2020,Haryana,26858,6277,20226.0,355.0
2309,2310,22-07-2020,Haryana,27462,6146,20952.0,364.0
2310,2311,23-07-2020,Haryana,28186,6117,21697.0,372.0
2311,2312,24-07-2020,Haryana,28975,6348,22249.0,378.0
2312,2313,25-07-2020,Haryana,29755,6420,22953.0,382.0
2313,2314,26-07-2020,Haryana,30538,6495,23654.0,389.0
2314,2315,27-07-2020,Haryana,31332,6556,24384.0,392.0
2315,2316,28-07-2020,Haryana,32127,6684,25046.0,397.0
2316,2317,29-07-2020,Haryana,32876,6712,25758.0,406.0
2317,2318,30-07-2020,Haryana,33631,6798,26420.0,413.0
2318,2319,31-07-2020,Haryana,34254,6497,27340.0,417.0
2319,2320,01-08-2020,Haryana,34965,6317,28227.0,421.0
2320,2321,02-08-2020,Haryana,35758,6250,29080.0,428.0
2321,2322,03-08-2020,Haryana,36519,6396,29690.0,433.0
2322,2323,04-08-2020,Haryana,37173,6263,30470.0,440.0
2323,2324,05-08-2020,Haryana,37796,6122,31226.0,448.0
2324,2325,06-08-2020,Haryana,38548,6133,31960.0,455.0
2325,2326,07-08-2020,Haryana,39303,6205,32640.0,458.0
2326,2327,08-08-2020,Haryana,40054,6143,33444.0,467.0
2327,2328,09-08-2020,Haryana,40843,6338,34031.0,474.0
2328,2329,10-08-2020,Haryana,41635,6371,34781.0,483.0
2329,2330,11-08-2020,Haryana,42429,6448,35492.0,489.0
2330,2331,12-08-2020,Haryana,43227,6645,36082.0,500.0
2331,2332,13-08-2020,Haryana,44024,6827,36694.0,503.0
2332,2333,14-08-2020,Haryana,44817,6820,37486.0,511.0
2333,2334,15-08-2020,Haryana,45614,6748,38348.0,518.0
2334,2335,16-08-2020,Haryana,46410,6943,38939.0,528.0
2335,2336,17-08-2020,Haryana,47153,7014,39601.0,538.0
2336,2337,18-08-2020,Haryana,48040,6880,40610.0,550.0
2337,2338,19-08-2020,Haryana,48936,7081,41298.0,557.0
2338,2339,20-08-2020,Haryana,49930,7307,42056.0,567.0
2339,2340,21-08-2020,Haryana,50926,7555,42793.0,578.0
2340,2341,22-08-2020,Haryana,52129,8131,43413.0,585.0
2341,2342,23-08-2020,Haryana,53290,8680,44013.0,597.0
2342,2343,24-08-2020,Haryana,54386,8961,44822.0,603.0
2343,2344,25-08-2020,Haryana,55460,9442,45405.0,613.0
2344,2345,26-08-2020,Haryana,56608,9489,46496.0,623.0
2345,2346,27-08-2020,Haryana,58005,9758,47613.0,634.0
2346,2347,28-08-2020,Haryana,59298,9962,48690.0,646.0
2347,2348,29-08-2020,Haryana,60596,10225,49710.0,661.0
2348,2349,30-08-2020,Haryana,61987,10606,50711.0,670.0
2349,2350,31-08-2020,Haryana,63282,10980,51620.0,682.0
2350,2351,01-09-2020,Haryana,64732,11371,52672.0,689.0
2351,2352,02-09-2020,Haryana,66426,11885,53835.0,706.0
2352,2353,03-09-2020,Haryana,68218,12622,54875.0,721.0
2353,2354,04-09-2020,Haryana,70099,13470,55889.0,740.0
2354,2355,05-09-2020,Haryana,71983,14053,57171.0,759.0
2355,2356,06-09-2020,Haryana,74272,14911,58580.0,781.0
2356,2357,07-09-2020,Haryana,76549,15692,60051.0,806.0
2357,2358,08-09-2020,Haryana,78773,16333,61611.0,829.0
2358,2359,09-09-2020,Haryana,81059,16890,63315.0,854.0
2359,2360,10-09-2020,Haryana,83353,17328,65143.0,882.0
2360,2361,11-09-2020,Haryana,85944,18332,66705.0,907.0
2361,2362,12-09-2020,Haryana,88332,18875,68525.0,932.0
2362,2363,13-09-2020,Haryana,91115,19446,70713.0,956.0
2363,2364,14-09-2020,Haryana,93641,20079,72587.0,975.0
2364,2365,15-09-2020,Haryana,96129,20417,74712.0,1000.0
2365,2366,16-09-2020,Haryana,98622,20430,77166.0,1026.0
2366,2367,17-09-2020,Haryana,101316,21334,78937.0,1045.0
2367,2368,18-09-2020,Haryana,103773,21014,81690.0,1069.0
2368,2369,19-09-2020,Haryana,106261,21291,83878.0,1092.0
2369,2370,20-09-2020,Haryana,108952,21682,86150.0,1120.0
2370,2371,21-09-2020,Haryana,111257,21411,88697.0,1149.0
2371,2372,22-09-2020,Haryana,113075,21014,90884.0,1177.0
