,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2372,2373,21-03-2020,Himachal Pradesh,2,2,0.0,0.0
2373,2374,22-03-2020,Himachal Pradesh,2,2,0.0,0.0
2374,2375,23-03-2020,Himachal Pradesh,2,2,0.0,0.0
2375,2376,24-03-2020,Himachal Pradesh,3,2,0.0,1.0
2376,2377,25-03-2020,Himachal Pradesh,3,2,0.0,1.0
2377,2378,26-03-2020,Himachal Pradesh,3,2,0.0,1.0
2378,2379,27-03-2020,Himachal Pradesh,3,2,0.0,1.0
2379,2380,28-03-2020,Himachal Pradesh,3,2,0.0,1.0
2380,2381,29-03-2020,Himachal Pradesh,3,2,0.0,1.0
2381,2382,30-03-2020,Himachal Pradesh,3,2,0.0,1.0
2382,2383,31-03-2020,Himachal Pradesh,3,2,0.0,1.0
2383,2384,01-04-2020,Himachal Pradesh,3,2,0.0,1.0
2384,2385,02-04-2020,Himachal Pradesh,3,1,1.0,1.0
2385,2386,03-04-2020,Himachal Pradesh,6,4,1.0,1.0
2386,2387,04-04-2020,Himachal Pradesh,6,4,1.0,1.0
2387,2388,05-04-2020,Himachal Pradesh,6,4,1.0,1.0
2388,2389,06-04-2020,Himachal Pradesh,13,11,1.0,1.0
2389,2390,07-04-2020,Himachal Pradesh,13,10,2.0,1.0
2390,2391,08-04-2020,Himachal Pradesh,18,15,2.0,1.0
2391,2392,09-04-2020,Himachal Pradesh,18,15,2.0,1.0
2392,2393,10-04-2020,Himachal Pradesh,18,15,2.0,1.0
2393,2394,11-04-2020,Himachal Pradesh,28,21,6.0,1.0
2394,2395,12-04-2020,Himachal Pradesh,32,25,6.0,1.0
2395,2396,13-04-2020,Himachal Pradesh,32,18,13.0,1.0
2396,2397,14-04-2020,Himachal Pradesh,32,18,13.0,1.0
2397,2398,15-04-2020,Himachal Pradesh,33,19,13.0,1.0
2398,2399,16-04-2020,Himachal Pradesh,35,18,16.0,1.0
2399,2400,17-04-2020,Himachal Pradesh,35,18,16.0,1.0
2400,2401,18-04-2020,Himachal Pradesh,36,19,16.0,1.0
