,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
0,1,12-03-2020,India,74,71,3.0,0.0
1,2,13-03-2020,India,75,71,3.0,1.0
2,3,14-03-2020,India,84,72,10.0,2.0
3,4,15-03-2020,India,107,95,10.0,2.0
4,5,16-03-2020,India,114,99,13.0,2.0
5,6,17-03-2020,India,137,120,14.0,3.0
6,7,18-03-2020,India,146,129,14.0,3.0
7,8,19-03-2020,India,166,148,15.0,3.0
8,9,20-03-2020,India,195,171,20.0,4.0
9,10,21-03-2020,India,258,231,23.0,4.0
10,11,22-03-2020,India,360,329,24.0,7.0
11,12,23-03-2020,India,433,402,24.0,7.0
12,13,24-03-2020,India,492,446,37.0,9.0
13,14,25-03-2020,India,519,469,40.0,10.0
14,15,26-03-2020,India,649,593,43.0,13.0
15,16,27-03-2020,India,724,640,67.0,17.0
16,17,28-03-2020,India,909,810,80.0,19.0
17,18,29-03-2020,India,979,867,87.0,25.0
18,19,30-03-2020,India,1071,942,100.0,29.0
19,20,31-03-2020,India,1397,1238,124.0,35.0
20,21,01-04-2020,India,1637,1466,133.0,38.0
21,22,02-04-2020,India,1965,1764,151.0,50.0
22,23,03-04-2020,India,2301,2088,157.0,56.0
23,24,04-04-2020,India,2902,2650,184.0,68.0
24,25,05-04-2020,India,3374,3030,267.0,77.0
25,26,06-04-2020,India,4067,3666,292.0,109.0
26,27,07-04-2020,India,4421,3981,326.0,114.0
27,28,08-04-2020,India,5194,4643,402.0,149.0
28,29,09-04-2020,India,5734,5095,473.0,166.0
29,30,10-04-2020,India,6412,5709,504.0,199.0
30,31,11-04-2020,India,7447,6565,643.0,239.0
31,32,12-04-2020,India,8356,7367,716.0,273.0
32,33,13-04-2020,India,9152,7987,857.0,308.0
33,34,14-04-2020,India,10363,8988,1036.0,339.0
34,35,15-04-2020,India,11439,9756,1306.0,377.0
35,36,16-04-2020,India,12380,10477,1489.0,414.0
36,37,17-04-2020,India,13387,11201,1749.0,437.0
37,38,18-04-2020,India,14378,11906,1992.0,480.0
38,39,19-04-2020,India,15712,12974,2231.0,507.0
39,40,20-04-2020,India,17265,14175,2547.0,543.0
40,41,21-04-2020,India,18601,14759,3252.0,590.0
41,42,22-04-2020,India,19984,15474,3870.0,640.0
42,43,23-04-2020,India,21393,16454,4258.0,681.0
43,44,24-04-2020,India,23077,17610,4749.0,718.0
44,45,25-04-2020,India,24506,18668,5063.0,775.0
45,46,26-04-2020,India,26496,19868,5804.0,824.0
