,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2558,2559,12-03-2020,Jammu and Kashmir,1,1,0.0,0.0
2559,2560,13-03-2020,Jammu and Kashmir,1,1,0.0,0.0
2560,2561,14-03-2020,Jammu and Kashmir,2,2,0.0,0.0
2561,2562,15-03-2020,Jammu and Kashmir,2,2,0.0,0.0
2562,2563,16-03-2020,Jammu and Kashmir,3,3,0.0,0.0
2563,2564,17-03-2020,Jammu and Kashmir,3,3,0.0,0.0
2564,2565,18-03-2020,Jammu and Kashmir,3,3,0.0,0.0
2565,2566,19-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2566,2567,20-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2567,2568,21-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2568,2569,22-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2569,2570,23-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2570,2571,24-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2571,2572,25-03-2020,Jammu and Kashmir,4,4,0.0,0.0
2572,2573,26-03-2020,Jammu and Kashmir,11,10,1.0,0.0
2573,2574,27-03-2020,Jammu and Kashmir,13,11,1.0,1.0
2574,2575,28-03-2020,Jammu and Kashmir,20,18,1.0,1.0
2575,2576,29-03-2020,Jammu and Kashmir,31,29,1.0,1.0
2576,2577,30-03-2020,Jammu and Kashmir,31,28,1.0,2.0
2577,2578,31-03-2020,Jammu and Kashmir,54,50,2.0,2.0
2578,2579,01-04-2020,Jammu and Kashmir,55,51,2.0,2.0
2579,2580,02-04-2020,Jammu and Kashmir,62,58,2.0,2.0
2580,2581,03-04-2020,Jammu and Kashmir,70,65,3.0,2.0
2581,2582,04-04-2020,Jammu and Kashmir,75,70,3.0,2.0
2582,2583,05-04-2020,Jammu and Kashmir,92,86,4.0,2.0
2583,2584,06-04-2020,Jammu and Kashmir,106,100,4.0,2.0
2584,2585,07-04-2020,Jammu and Kashmir,109,103,4.0,2.0
2585,2586,08-04-2020,Jammu and Kashmir,116,110,4.0,2.0
2586,2587,09-04-2020,Jammu and Kashmir,158,150,4.0,4.0
2587,2588,10-04-2020,Jammu and Kashmir,158,150,4.0,4.0
2588,2589,11-04-2020,Jammu and Kashmir,207,197,6.0,4.0
2589,2590,12-04-2020,Jammu and Kashmir,207,197,6.0,4.0
2590,2591,13-04-2020,Jammu and Kashmir,245,235,6.0,4.0
2591,2592,14-04-2020,Jammu and Kashmir,270,250,16.0,4.0
2592,2593,15-04-2020,Jammu and Kashmir,278,244,30.0,4.0
2593,2594,16-04-2020,Jammu and Kashmir,300,260,36.0,4.0
2594,2595,17-04-2020,Jammu and Kashmir,314,272,38.0,4.0
