,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2753,2754,02-04-2020,Jharkhand,1,1,0.0,0.0
2754,2755,03-04-2020,Jharkhand,2,2,0.0,0.0
2755,2756,04-04-2020,Jharkhand,2,2,0.0,0.0
2756,2757,05-04-2020,Jharkhand,2,2,0.0,0.0
2757,2758,06-04-2020,Jharkhand,3,3,0.0,0.0
2758,2759,07-04-2020,Jharkhand,4,4,0.0,0.0
2759,2760,08-04-2020,Jharkhand,4,4,0.0,0.0
2760,2761,09-04-2020,Jharkhand,4,4,0.0,0.0
2761,2762,10-04-2020,Jharkhand,13,12,0.0,1.0
2762,2763,11-04-2020,Jharkhand,14,13,0.0,1.0
2763,2764,12-04-2020,Jharkhand,17,16,0.0,1.0
2764,2765,13-04-2020,Jharkhand,19,17,0.0,2.0
2765,2766,14-04-2020,Jharkhand,24,22,0.0,2.0
2766,2767,15-04-2020,Jharkhand,27,25,0.0,2.0
2767,2768,16-04-2020,Jharkhand,28,26,0.0,2.0
2768,2769,17-04-2020,Jharkhand,28,26,0.0,2.0
2769,2770,18-04-2020,Jharkhand,33,31,0.0,2.0
2770,2771,19-04-2020,Jharkhand,34,32,0.0,2.0
2771,2772,20-04-2020,Jharkhand,42,40,0.0,2.0
2772,2773,21-04-2020,Jharkhand,46,44,0.0,2.0
2773,2774,22-04-2020,Jharkhand,45,42,0.0,3.0
2774,2775,23-04-2020,Jharkhand,49,38,8.0,3.0
2775,2776,24-04-2020,Jharkhand,53,42,8.0,3.0
2776,2777,25-04-2020,Jharkhand,57,46,8.0,3.0
2777,2778,26-04-2020,Jharkhand,67,51,13.0,3.0
2778,2779,27-04-2020,Jharkhand,82,66,13.0,3.0
2779,2780,28-04-2020,Jharkhand,82,66,13.0,3.0
2780,2781,29-04-2020,Jharkhand,103,83,17.0,3.0
2781,2782,30-04-2020,Jharkhand,107,85,19.0,3.0
2782,2783,01-05-2020,Jharkhand,109,86,20.0,3.0
2783,2784,02-05-2020,Jharkhand,111,88,20.0,3.0
2784,2785,03-05-2020,Jharkhand,115,90,22.0,3.0
2785,2786,04-05-2020,Jharkhand,115,90,22.0,3.0
2786,2787,05-05-2020,Jharkhand,115,85,27.0,3.0
2787,2788,06-05-2020,Jharkhand,125,89,33.0,3.0
2788,2789,07-05-2020,Jharkhand,127,87,37.0,3.0
2789,2790,08-05-2020,Jharkhand,132,88,41.0,3.0
2790,2791,09-05-2020,Jharkhand,132,77,52.0,3.0
2791,2792,10-05-2020,Jharkhand,156,75,78.0,3.0
2792,2793,11-05-2020,Jharkhand,157,76,78.0,3.0
2793,2794,12-05-2020,Jharkhand,160,79,78.0,3.0
2794,2795,13-05-2020,Jharkhand,172,90,79.0,3.0
2795,2796,14-05-2020,Jharkhand,173,91,79.0,3.0
2796,2797,15-05-2020,Jharkhand,197,107,87.0,3.0
2797,2798,16-05-2020,Jharkhand,203,113,87.0,3.0
2798,2799,17-05-2020,Jharkhand,217,101,113.0,3.0
2799,2800,18-05-2020,Jharkhand,223,107,113.0,3.0
2800,2801,19-05-2020,Jharkhand,223,107,113.0,3.0
2801,2802,20-05-2020,Jharkhand,231,101,127.0,3.0
2802,2803,21-05-2020,Jharkhand,231,101,127.0,3.0
2803,2804,22-05-2020,Jharkhand,290,158,129.0,3.0
2804,2805,23-05-2020,Jharkhand,308,169,136.0,3.0
2805,2806,24-05-2020,Jharkhand,350,205,141.0,4.0
2806,2807,25-05-2020,Jharkhand,370,218,148.0,4.0
2807,2808,26-05-2020,Jharkhand,377,225,148.0,4.0
2808,2809,27-05-2020,Jharkhand,426,247,175.0,4.0
2809,2810,28-05-2020,Jharkhand,448,259,185.0,4.0
2810,2811,29-05-2020,Jharkhand,469,253,212.0,4.0
2811,2812,30-05-2020,Jharkhand,511,290,216.0,5.0
2812,2813,31-05-2020,Jharkhand,563,302,256.0,5.0
2813,2814,01-06-2020,Jharkhand,610,349,256.0,5.0
2814,2815,02-06-2020,Jharkhand,659,358,296.0,5.0
2815,2816,03-06-2020,Jharkhand,712,387,320.0,5.0
2816,2817,04-06-2020,Jharkhand,752,426,321.0,5.0
2817,2818,05-06-2020,Jharkhand,793,433,354.0,6.0
2818,2819,06-06-2020,Jharkhand,881,464,410.0,7.0
