,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
2927,2928,12-03-2020,Karnataka,4,4,0.0,0.0
2928,2929,13-03-2020,Karnataka,5,4,0.0,1.0
2929,2930,14-03-2020,Karnataka,6,5,0.0,1.0
2930,2931,15-03-2020,Karnataka,6,5,0.0,1.0
2931,2932,16-03-2020,Karnataka,6,5,0.0,1.0
2932,2933,17-03-2020,Karnataka,11,10,0.0,1.0
2933,2934,18-03-2020,Karnataka,11,10,0.0,1.0
2934,2935,19-03-2020,Karnataka,14,13,0.0,1.0
2935,2936,20-03-2020,Karnataka,15,14,0.0,1.0
2936,2937,21-03-2020,Karnataka,15,13,1.0,1.0
2937,2938,22-03-2020,Karnataka,26,23,2.0,1.0
2938,2939,23-03-2020,Karnataka,33,30,2.0,1.0
2939,2940,24-03-2020,Karnataka,37,34,2.0,1.0
2940,2941,25-03-2020,Karnataka,37,33,3.0,1.0
2941,2942,26-03-2020,Karnataka,41,37,3.0,1.0
2942,2943,27-03-2020,Karnataka,55,50,3.0,2.0
2943,2944,28-03-2020,Karnataka,55,50,3.0,2.0
2944,2945,29-03-2020,Karnataka,76,68,5.0,3.0
2945,2946,30-03-2020,Karnataka,80,72,5.0,3.0
2946,2947,31-03-2020,Karnataka,83,75,5.0,3.0
2947,2948,01-04-2020,Karnataka,101,90,8.0,3.0
2948,2949,02-04-2020,Karnataka,110,98,9.0,3.0
2949,2950,03-04-2020,Karnataka,124,111,10.0,3.0
2950,2951,04-04-2020,Karnataka,128,113,12.0,3.0
2951,2952,05-04-2020,Karnataka,144,128,12.0,4.0
2952,2953,06-04-2020,Karnataka,151,135,12.0,4.0
2953,2954,07-04-2020,Karnataka,151,135,12.0,4.0
2954,2955,08-04-2020,Karnataka,175,146,25.0,4.0
2955,2956,09-04-2020,Karnataka,181,148,28.0,5.0
2956,2957,10-04-2020,Karnataka,181,148,28.0,5.0
2957,2958,11-04-2020,Karnataka,207,170,31.0,6.0
2958,2959,12-04-2020,Karnataka,214,171,37.0,6.0
2959,2960,13-04-2020,Karnataka,232,169,57.0,6.0
2960,2961,14-04-2020,Karnataka,247,182,59.0,6.0
2961,2962,15-04-2020,Karnataka,260,179,71.0,10.0
2962,2963,16-04-2020,Karnataka,279,187,80.0,12.0
2963,2964,17-04-2020,Karnataka,315,220,82.0,13.0
2964,2965,18-04-2020,Karnataka,359,257,89.0,13.0
2965,2966,19-04-2020,Karnataka,384,266,104.0,14.0
2966,2967,20-04-2020,Karnataka,390,263,111.0,16.0
2967,2968,21-04-2020,Karnataka,408,280,112.0,16.0
2968,2969,22-04-2020,Karnataka,418,272,129.0,17.0
2969,2970,23-04-2020,Karnataka,427,279,131.0,17.0
2970,2971,24-04-2020,Karnataka,445,283,145.0,17.0
2971,2972,25-04-2020,Karnataka,474,304,152.0,18.0
2972,2973,26-04-2020,Karnataka,500,324,158.0,18.0
2973,2974,27-04-2020,Karnataka,503,302,182.0,19.0
2974,2975,28-04-2020,Karnataka,512,299,193.0,20.0
2975,2976,29-04-2020,Karnataka,523,296,207.0,20.0
2976,2977,30-04-2020,Karnataka,535,298,216.0,21.0
2977,2978,01-05-2020,Karnataka,565,315,229.0,21.0
2978,2979,02-05-2020,Karnataka,589,316,251.0,22.0
2979,2980,03-05-2020,Karnataka,601,305,271.0,25.0
2980,2981,04-05-2020,Karnataka,614,296,293.0,25.0
2981,2982,05-05-2020,Karnataka,651,303,321.0,27.0
