,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3122,3123,12-03-2020,Kerala,17,14,3.0,0.0
3123,3124,13-03-2020,Kerala,17,14,3.0,0.0
3124,3125,14-03-2020,Kerala,19,16,3.0,0.0
3125,3126,15-03-2020,Kerala,22,19,3.0,0.0
3126,3127,16-03-2020,Kerala,23,20,3.0,0.0
3127,3128,17-03-2020,Kerala,26,23,3.0,0.0
3128,3129,18-03-2020,Kerala,27,24,3.0,0.0
3129,3130,19-03-2020,Kerala,27,24,3.0,0.0
3130,3131,20-03-2020,Kerala,28,25,3.0,0.0
3131,3132,21-03-2020,Kerala,40,37,3.0,0.0
3132,3133,22-03-2020,Kerala,52,49,3.0,0.0
3133,3134,23-03-2020,Kerala,67,64,3.0,0.0
3134,3135,24-03-2020,Kerala,95,91,4.0,0.0
3135,3136,25-03-2020,Kerala,95,91,4.0,0.0
3136,3137,26-03-2020,Kerala,118,114,4.0,0.0
3137,3138,27-03-2020,Kerala,137,126,11.0,0.0
3138,3139,28-03-2020,Kerala,176,165,11.0,0.0
3139,3140,29-03-2020,Kerala,182,166,15.0,1.0
3140,3141,30-03-2020,Kerala,194,174,19.0,1.0
3141,3142,31-03-2020,Kerala,234,214,19.0,1.0
3142,3143,01-04-2020,Kerala,241,216,23.0,2.0
3143,3144,02-04-2020,Kerala,265,238,25.0,2.0
3144,3145,03-04-2020,Kerala,286,257,27.0,2.0
3145,3146,04-04-2020,Kerala,295,252,41.0,2.0
3146,3147,05-04-2020,Kerala,306,255,49.0,2.0
3147,3148,06-04-2020,Kerala,314,257,55.0,2.0
3148,3149,07-04-2020,Kerala,327,267,58.0,2.0
3149,3150,08-04-2020,Kerala,336,264,70.0,2.0
3150,3151,09-04-2020,Kerala,345,260,83.0,2.0
3151,3152,10-04-2020,Kerala,357,259,96.0,2.0
3152,3153,11-04-2020,Kerala,364,239,123.0,2.0
3153,3154,12-04-2020,Kerala,364,239,123.0,2.0
3154,3155,13-04-2020,Kerala,376,195,179.0,2.0
3155,3156,14-04-2020,Kerala,379,178,198.0,3.0
3156,3157,15-04-2020,Kerala,387,173,211.0,3.0
3157,3158,16-04-2020,Kerala,388,167,218.0,3.0
3158,3159,17-04-2020,Kerala,395,147,245.0,3.0
3159,3160,18-04-2020,Kerala,396,138,255.0,3.0
3160,3161,19-04-2020,Kerala,400,140,257.0,3.0
3161,3162,20-04-2020,Kerala,402,129,270.0,3.0
3162,3163,21-04-2020,Kerala,408,114,291.0,3.0
3163,3164,22-04-2020,Kerala,427,117,307.0,3.0
3164,3165,23-04-2020,Kerala,438,112,323.0,3.0
3165,3166,24-04-2020,Kerala,447,120,324.0,3.0
3166,3167,25-04-2020,Kerala,450,116,331.0,3.0
3167,3168,26-04-2020,Kerala,457,115,338.0,4.0
3168,3169,27-04-2020,Kerala,458,116,338.0,4.0
3169,3170,28-04-2020,Kerala,481,122,355.0,4.0
3170,3171,29-04-2020,Kerala,485,122,359.0,4.0
3171,3172,30-04-2020,Kerala,495,122,369.0,4.0
3172,3173,01-05-2020,Kerala,497,110,383.0,4.0
3173,3174,02-05-2020,Kerala,497,101,392.0,4.0
3174,3175,03-05-2020,Kerala,499,95,400.0,4.0
3175,3176,04-05-2020,Kerala,500,95,401.0,4.0
3176,3177,05-05-2020,Kerala,500,34,462.0,4.0
3177,3178,06-05-2020,Kerala,502,36,462.0,4.0
3178,3179,07-05-2020,Kerala,503,30,469.0,4.0
3179,3180,08-05-2020,Kerala,503,25,474.0,4.0
3180,3181,09-05-2020,Kerala,503,15,484.0,4.0
3181,3182,10-05-2020,Kerala,505,16,485.0,4.0
3182,3183,11-05-2020,Kerala,512,19,489.0,4.0
3183,3184,12-05-2020,Kerala,519,26,489.0,4.0
3184,3185,13-05-2020,Kerala,524,31,489.0,4.0
3185,3186,14-05-2020,Kerala,534,40,490.0,4.0
3186,3187,15-05-2020,Kerala,560,65,491.0,4.0
3187,3188,16-05-2020,Kerala,576,80,492.0,4.0
3188,3189,17-05-2020,Kerala,587,88,495.0,4.0
3189,3190,18-05-2020,Kerala,601,100,497.0,4.0
3190,3191,19-05-2020,Kerala,630,129,497.0,4.0
3191,3192,20-05-2020,Kerala,642,141,497.0,4.0
3192,3193,21-05-2020,Kerala,666,160,502.0,4.0
3193,3194,22-05-2020,Kerala,690,176,510.0,4.0
3194,3195,23-05-2020,Kerala,732,216,512.0,4.0
3195,3196,24-05-2020,Kerala,795,276,515.0,4.0
