,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3317,3318,12-03-2020,Ladakh,3,3,0.0,0.0
3318,3319,13-03-2020,Ladakh,3,3,0.0,0.0
3319,3320,14-03-2020,Ladakh,3,3,0.0,0.0
3320,3321,15-03-2020,Ladakh,3,3,0.0,0.0
3321,3322,16-03-2020,Ladakh,4,4,0.0,0.0
3322,3323,17-03-2020,Ladakh,6,6,0.0,0.0
3323,3324,18-03-2020,Ladakh,8,8,0.0,0.0
3324,3325,19-03-2020,Ladakh,8,8,0.0,0.0
3325,3326,20-03-2020,Ladakh,10,10,0.0,0.0
3326,3327,21-03-2020,Ladakh,13,13,0.0,0.0
3327,3328,22-03-2020,Ladakh,13,13,0.0,0.0
3328,3329,23-03-2020,Ladakh,13,13,0.0,0.0
3329,3330,24-03-2020,Ladakh,13,13,0.0,0.0
3330,3331,25-03-2020,Ladakh,13,13,0.0,0.0
3331,3332,26-03-2020,Ladakh,13,13,0.0,0.0
3332,3333,27-03-2020,Ladakh,13,10,3.0,0.0
3333,3334,28-03-2020,Ladakh,13,10,3.0,0.0
3334,3335,29-03-2020,Ladakh,13,10,3.0,0.0
3335,3336,30-03-2020,Ladakh,13,10,3.0,0.0
3336,3337,31-03-2020,Ladakh,13,10,3.0,0.0
3337,3338,01-04-2020,Ladakh,13,10,3.0,0.0
3338,3339,02-04-2020,Ladakh,13,10,3.0,0.0
3339,3340,03-04-2020,Ladakh,14,11,3.0,0.0
3340,3341,04-04-2020,Ladakh,14,11,3.0,0.0
3341,3342,05-04-2020,Ladakh,14,4,10.0,0.0
3342,3343,06-04-2020,Ladakh,14,4,10.0,0.0
3343,3344,07-04-2020,Ladakh,14,4,10.0,0.0
3344,3345,08-04-2020,Ladakh,14,4,10.0,0.0
3345,3346,09-04-2020,Ladakh,14,4,10.0,0.0
3346,3347,10-04-2020,Ladakh,15,5,10.0,0.0
3347,3348,11-04-2020,Ladakh,15,5,10.0,0.0
3348,3349,12-04-2020,Ladakh,15,5,10.0,0.0
3349,3350,13-04-2020,Ladakh,15,5,10.0,0.0
3350,3351,14-04-2020,Ladakh,15,5,10.0,0.0
3351,3352,15-04-2020,Ladakh,17,7,10.0,0.0
3352,3353,16-04-2020,Ladakh,17,7,10.0,0.0
3353,3354,17-04-2020,Ladakh,18,4,14.0,0.0
3354,3355,18-04-2020,Ladakh,18,4,14.0,0.0
3355,3356,19-04-2020,Ladakh,18,4,14.0,0.0
3356,3357,20-04-2020,Ladakh,18,4,14.0,0.0
3357,3358,21-04-2020,Ladakh,18,4,14.0,0.0
3358,3359,22-04-2020,Ladakh,18,4,14.0,0.0
3359,3360,23-04-2020,Ladakh,18,4,14.0,0.0
3360,3361,24-04-2020,Ladakh,18,4,14.0,0.0
3361,3362,25-04-2020,Ladakh,20,6,14.0,0.0
3362,3363,26-04-2020,Ladakh,20,6,14.0,0.0
3363,3364,27-04-2020,Ladakh,20,6,14.0,0.0
3364,3365,28-04-2020,Ladakh,20,6,14.0,0.0
3365,3366,29-04-2020,Ladakh,22,6,16.0,0.0
3366,3367,30-04-2020,Ladakh,22,6,16.0,0.0
3367,3368,01-05-2020,Ladakh,22,6,16.0,0.0
3368,3369,02-05-2020,Ladakh,22,5,17.0,0.0
3369,3370,03-05-2020,Ladakh,22,5,17.0,0.0
3370,3371,04-05-2020,Ladakh,41,24,17.0,0.0
3371,3372,05-05-2020,Ladakh,41,24,17.0,0.0
3372,3373,06-05-2020,Ladakh,41,24,17.0,0.0
3373,3374,07-05-2020,Ladakh,41,24,17.0,0.0
3374,3375,08-05-2020,Ladakh,42,25,17.0,0.0
3375,3376,09-05-2020,Ladakh,42,25,17.0,0.0
