,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3512,3513,30-07-2020,Lakshadweep,0,0,0.0,0.0
3513,3514,31-07-2020,Lakshadweep,0,0,0.0,0.0
3514,3515,01-08-2020,Lakshadweep,0,0,0.0,0.0
3515,3516,02-08-2020,Lakshadweep,0,0,0.0,0.0
3516,3517,03-08-2020,Lakshadweep,0,0,0.0,0.0
3517,3518,04-08-2020,Lakshadweep,0,0,0.0,0.0
3518,3519,05-08-2020,Lakshadweep,0,0,0.0,0.0
3519,3520,06-08-2020,Lakshadweep,0,0,0.0,0.0
3520,3521,07-08-2020,Lakshadweep,0,0,0.0,0.0
3521,3522,08-08-2020,Lakshadweep,0,0,0.0,0.0
3522,3523,09-08-2020,Lakshadweep,0,0,0.0,0.0
3523,3524,10-08-2020,Lakshadweep,0,0,0.0,0.0
3524,3525,11-08-2020,Lakshadweep,0,0,0.0,0.0
3525,3526,12-08-2020,Lakshadweep,0,0,0.0,0.0
3526,3527,13-08-2020,Lakshadweep,0,0,0.0,0.0
3527,3528,14-08-2020,Lakshadweep,0,0,0.0,0.0
3528,3529,15-08-2020,Lakshadweep,0,0,0.0,0.0
3529,3530,16-08-2020,Lakshadweep,0,0,0.0,0.0
3530,3531,17-08-2020,Lakshadweep,0,0,0.0,0.0
3531,3532,18-08-2020,Lakshadweep,0,0,0.0,0.0
3532,3533,19-08-2020,Lakshadweep,0,0,0.0,0.0
3533,3534,20-08-2020,Lakshadweep,0,0,0.0,0.0
3534,3535,21-08-2020,Lakshadweep,0,0,0.0,0.0
3535,3536,22-08-2020,Lakshadweep,0,0,0.0,0.0
3536,3537,23-08-2020,Lakshadweep,0,0,0.0,0.0
3537,3538,24-08-2020,Lakshadweep,0,0,0.0,0.0
3538,3539,25-08-2020,Lakshadweep,0,0,0.0,0.0
3539,3540,26-08-2020,Lakshadweep,0,0,0.0,0.0
3540,3541,27-08-2020,Lakshadweep,0,0,0.0,0.0
3541,3542,28-08-2020,Lakshadweep,0,0,0.0,0.0
3542,3543,29-08-2020,Lakshadweep,0,0,0.0,0.0
3543,3544,30-08-2020,Lakshadweep,0,0,0.0,0.0
3544,3545,31-08-2020,Lakshadweep,0,0,0.0,0.0
3545,3546,01-09-2020,Lakshadweep,0,0,0.0,0.0
3546,3547,02-09-2020,Lakshadweep,0,0,0.0,0.0
3547,3548,03-09-2020,Lakshadweep,0,0,0.0,0.0
3548,3549,04-09-2020,Lakshadweep,0,0,0.0,0.0
3549,3550,05-09-2020,Lakshadweep,0,0,0.0,0.0
3550,3551,06-09-2020,Lakshadweep,0,0,0.0,0.0
3551,3552,07-09-2020,Lakshadweep,0,0,0.0,0.0
3552,3553,08-09-2020,Lakshadweep,0,0,0.0,0.0
3553,3554,09-09-2020,Lakshadweep,0,0,0.0,0.0
3554,3555,10-09-2020,Lakshadweep,0,0,0.0,0.0
3555,3556,11-09-2020,Lakshadweep,0,0,0.0,0.0
3556,3557,12-09-2020,Lakshadweep,0,0,0.0,0.0
3557,3558,13-09-2020,Lakshadweep,0,0,0.0,0.0
3558,3559,14-09-2020,Lakshadweep,0,0,0.0,0.0
3559,3560,15-09-2020,Lakshadweep,0,0,0.0,0.0
3560,3561,16-09-2020,Lakshadweep,0,0,0.0,0.0
3561,3562,17-09-2020,Lakshadweep,0,0,0.0,0.0
3562,3563,18-09-2020,Lakshadweep,0,0,0.0,0.0
3563,3564,19-09-2020,Lakshadweep,0,0,0.0,0.0
3564,3565,20-09-2020,Lakshadweep,0,0,0.0,0.0
3565,3566,21-09-2020,Lakshadweep,0,0,0.0,0.0
3566,3567,22-09-2020,Lakshadweep,0,0,0.0,0.0
