,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3567,3568,21-03-2020,Madhya Pradesh,4,4,0.0,0.0
3568,3569,22-03-2020,Madhya Pradesh,4,4,0.0,0.0
3569,3570,23-03-2020,Madhya Pradesh,6,6,0.0,0.0
3570,3571,24-03-2020,Madhya Pradesh,7,7,0.0,0.0
3571,3572,25-03-2020,Madhya Pradesh,7,7,0.0,0.0
3572,3573,26-03-2020,Madhya Pradesh,15,14,0.0,1.0
3573,3574,27-03-2020,Madhya Pradesh,20,19,0.0,1.0
3574,3575,28-03-2020,Madhya Pradesh,30,28,0.0,2.0
3575,3576,29-03-2020,Madhya Pradesh,30,28,0.0,2.0
3576,3577,30-03-2020,Madhya Pradesh,33,31,0.0,2.0
3577,3578,31-03-2020,Madhya Pradesh,47,44,0.0,3.0
3578,3579,01-04-2020,Madhya Pradesh,47,44,0.0,3.0
3579,3580,02-04-2020,Madhya Pradesh,99,93,0.0,6.0
3580,3581,03-04-2020,Madhya Pradesh,99,93,0.0,6.0
3581,3582,04-04-2020,Madhya Pradesh,104,98,0.0,6.0
3582,3583,05-04-2020,Madhya Pradesh,104,98,0.0,6.0
3583,3584,06-04-2020,Madhya Pradesh,165,156,0.0,9.0
3584,3585,07-04-2020,Madhya Pradesh,165,156,0.0,9.0
3585,3586,08-04-2020,Madhya Pradesh,229,216,0.0,13.0
3586,3587,09-04-2020,Madhya Pradesh,229,216,0.0,13.0
3587,3588,10-04-2020,Madhya Pradesh,259,243,0.0,16.0
3588,3589,11-04-2020,Madhya Pradesh,435,402,0.0,33.0
3589,3590,12-04-2020,Madhya Pradesh,532,496,0.0,36.0
3590,3591,13-04-2020,Madhya Pradesh,564,528,0.0,36.0
3591,3592,14-04-2020,Madhya Pradesh,604,517,44.0,43.0
3592,3593,15-04-2020,Madhya Pradesh,730,629,51.0,50.0
3593,3594,16-04-2020,Madhya Pradesh,987,870,64.0,53.0
3594,3595,17-04-2020,Madhya Pradesh,1120,1003,64.0,53.0
3595,3596,18-04-2020,Madhya Pradesh,1310,1172,69.0,69.0
3596,3597,19-04-2020,Madhya Pradesh,1407,1210,127.0,70.0
3597,3598,20-04-2020,Madhya Pradesh,1407,1210,127.0,70.0
3598,3599,21-04-2020,Madhya Pradesh,1485,1284,127.0,74.0
3599,3600,22-04-2020,Madhya Pradesh,1552,1328,148.0,76.0
3600,3601,23-04-2020,Madhya Pradesh,1592,1364,148.0,80.0
3601,3602,24-04-2020,Madhya Pradesh,1699,1413,203.0,83.0
3602,3603,25-04-2020,Madhya Pradesh,1852,1550,210.0,92.0
3603,3604,26-04-2020,Madhya Pradesh,2096,1787,210.0,99.0
3604,3605,27-04-2020,Madhya Pradesh,2096,1691,302.0,103.0
3605,3606,28-04-2020,Madhya Pradesh,2168,1756,302.0,110.0
3606,3607,29-04-2020,Madhya Pradesh,2387,1890,377.0,120.0
3607,3608,30-04-2020,Madhya Pradesh,2561,1971,461.0,129.0
3608,3609,01-05-2020,Madhya Pradesh,2660,2041,482.0,137.0
3609,3610,02-05-2020,Madhya Pradesh,2719,2050,524.0,145.0
3610,3611,03-05-2020,Madhya Pradesh,2846,2071,624.0,151.0
3611,3612,04-05-2020,Madhya Pradesh,2846,1892,798.0,156.0
3612,3613,05-05-2020,Madhya Pradesh,2942,1979,798.0,165.0
3613,3614,06-05-2020,Madhya Pradesh,3049,1873,1000.0,176.0
3614,3615,07-05-2020,Madhya Pradesh,3138,1854,1099.0,185.0
3615,3616,08-05-2020,Madhya Pradesh,3252,1828,1231.0,193.0
3616,3617,09-05-2020,Madhya Pradesh,3341,1792,1349.0,200.0
3617,3618,10-05-2020,Madhya Pradesh,3614,1723,1676.0,215.0
3618,3619,11-05-2020,Madhya Pradesh,3614,1723,1676.0,215.0
3619,3620,12-05-2020,Madhya Pradesh,3785,1817,1747.0,221.0
3620,3621,13-05-2020,Madhya Pradesh,3986,1901,1860.0,225.0
3621,3622,14-05-2020,Madhya Pradesh,4173,1937,2004.0,232.0
3622,3623,15-05-2020,Madhya Pradesh,4426,2018,2171.0,237.0
3623,3624,16-05-2020,Madhya Pradesh,4595,2073,2283.0,239.0
