,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3753,3754,12-03-2020,Maharashtra,11,11,0.0,0.0
3754,3755,13-03-2020,Maharashtra,11,11,0.0,0.0
3755,3756,14-03-2020,Maharashtra,14,14,0.0,0.0
3756,3757,15-03-2020,Maharashtra,31,31,0.0,0.0
3757,3758,16-03-2020,Maharashtra,32,32,0.0,0.0
3758,3759,17-03-2020,Maharashtra,39,38,0.0,1.0
3759,3760,18-03-2020,Maharashtra,41,40,0.0,1.0
3760,3761,19-03-2020,Maharashtra,45,44,0.0,1.0
3761,3762,20-03-2020,Maharashtra,47,46,0.0,1.0
3762,3763,21-03-2020,Maharashtra,52,51,0.0,1.0
3763,3764,22-03-2020,Maharashtra,67,65,0.0,2.0
3764,3765,23-03-2020,Maharashtra,74,72,0.0,2.0
3765,3766,24-03-2020,Maharashtra,87,85,0.0,2.0
3766,3767,25-03-2020,Maharashtra,89,87,0.0,2.0
3767,3768,26-03-2020,Maharashtra,124,120,1.0,3.0
3768,3769,27-03-2020,Maharashtra,130,111,15.0,4.0
3769,3770,28-03-2020,Maharashtra,180,150,25.0,5.0
3770,3771,29-03-2020,Maharashtra,186,155,25.0,6.0
3771,3772,30-03-2020,Maharashtra,193,160,25.0,8.0
3772,3773,31-03-2020,Maharashtra,216,168,39.0,9.0
3773,3774,01-04-2020,Maharashtra,302,254,39.0,9.0
3774,3775,02-04-2020,Maharashtra,335,280,42.0,13.0
3775,3776,03-04-2020,Maharashtra,335,277,42.0,16.0
3776,3777,04-04-2020,Maharashtra,423,362,42.0,19.0
3777,3778,05-04-2020,Maharashtra,490,424,42.0,24.0
3778,3779,06-04-2020,Maharashtra,690,603,42.0,45.0
3779,3780,07-04-2020,Maharashtra,748,647,56.0,45.0
3780,3781,08-04-2020,Maharashtra,1018,875,79.0,64.0
3781,3782,09-04-2020,Maharashtra,1135,946,117.0,72.0
3782,3783,10-04-2020,Maharashtra,1364,1142,125.0,97.0
3783,3784,11-04-2020,Maharashtra,1574,1276,188.0,110.0
3784,3785,12-04-2020,Maharashtra,1761,1426,208.0,127.0
3785,3786,13-04-2020,Maharashtra,1985,1619,217.0,149.0
3786,3787,14-04-2020,Maharashtra,2334,1957,217.0,160.0
3787,3788,15-04-2020,Maharashtra,2687,2250,259.0,178.0
3788,3789,16-04-2020,Maharashtra,2916,2434,295.0,187.0
3789,3790,17-04-2020,Maharashtra,3205,2711,300.0,194.0
3790,3791,18-04-2020,Maharashtra,3323,2791,331.0,201.0
3791,3792,19-04-2020,Maharashtra,3651,3075,365.0,211.0
3792,3793,20-04-2020,Maharashtra,4203,3473,507.0,223.0
3793,3794,21-04-2020,Maharashtra,4666,3862,572.0,232.0
3794,3795,22-04-2020,Maharashtra,5218,4245,722.0,251.0
3795,3796,23-04-2020,Maharashtra,5652,4594,789.0,269.0
3796,3797,24-04-2020,Maharashtra,6430,5307,840.0,283.0
3797,3798,25-04-2020,Maharashtra,6817,5676,840.0,301.0
3798,3799,26-04-2020,Maharashtra,7628,6229,1076.0,323.0
3799,3800,27-04-2020,Maharashtra,8068,6650,1076.0,342.0
3800,3801,28-04-2020,Maharashtra,8590,6939,1282.0,369.0
3801,3802,29-04-2020,Maharashtra,9318,7530,1388.0,400.0
3802,3803,30-04-2020,Maharashtra,9915,7890,1593.0,432.0
3803,3804,01-05-2020,Maharashtra,10498,8266,1773.0,459.0
3804,3805,02-05-2020,Maharashtra,11506,9142,1879.0,485.0
3805,3806,03-05-2020,Maharashtra,12296,9775,2000.0,521.0
3806,3807,04-05-2020,Maharashtra,12974,10311,2115.0,548.0
3807,3808,05-05-2020,Maharashtra,14541,11493,2465.0,583.0
3808,3809,06-05-2020,Maharashtra,15525,12089,2819.0,617.0
3809,3810,07-05-2020,Maharashtra,16758,13013,3094.0,651.0
3810,3811,08-05-2020,Maharashtra,17974,13979,3301.0,694.0
3811,3812,09-05-2020,Maharashtra,19063,14862,3470.0,731.0
3812,3813,10-05-2020,Maharashtra,20228,15649,3800.0,779.0
3813,3814,11-05-2020,Maharashtra,22171,17140,4199.0,832.0
3814,3815,12-05-2020,Maharashtra,23401,17747,4786.0,868.0
3815,3816,13-05-2020,Maharashtra,24427,18381,5125.0,921.0
3816,3817,14-05-2020,Maharashtra,25922,19400,5547.0,975.0
3817,3818,15-05-2020,Maharashtra,27524,20446,6059.0,1019.0
3818,3819,16-05-2020,Maharashtra,29100,21468,6564.0,1068.0
3819,3820,17-05-2020,Maharashtra,30706,22483,7088.0,1135.0
3820,3821,18-05-2020,Maharashtra,33053,24167,7688.0,1198.0
3821,3822,19-05-2020,Maharashtra,35058,25372,8437.0,1249.0
3822,3823,20-05-2020,Maharashtra,37136,26172,9639.0,1325.0
3823,3824,21-05-2020,Maharashtra,39297,27589,10318.0,1390.0
3824,3825,22-05-2020,Maharashtra,41642,28462,11726.0,1454.0
3825,3826,23-05-2020,Maharashtra,44582,30482,12583.0,1517.0
3826,3827,24-05-2020,Maharashtra,47190,32209,13404.0,1577.0
3827,3828,25-05-2020,Maharashtra,50231,33996,14600.0,1635.0
3828,3829,26-05-2020,Maharashtra,52667,35186,15786.0,1695.0
3829,3830,27-05-2020,Maharashtra,54758,36012,16954.0,1792.0
3830,3831,28-05-2020,Maharashtra,56948,37133,17918.0,1897.0
3831,3832,29-05-2020,Maharashtra,59546,38948,18616.0,1982.0
3832,3833,30-05-2020,Maharashtra,62228,33133,26997.0,2098.0
3833,3834,31-05-2020,Maharashtra,65168,34890,28081.0,2197.0
3834,3835,01-06-2020,Maharashtra,67655,36040,29329.0,2286.0
3835,3836,02-06-2020,Maharashtra,70013,37543,30108.0,2362.0
3836,3837,03-06-2020,Maharashtra,72300,38502,31333.0,2465.0
3837,3838,04-06-2020,Maharashtra,74860,39944,32329.0,2587.0
3838,3839,05-06-2020,Maharashtra,77793,41402,33681.0,2710.0
3839,3840,06-06-2020,Maharashtra,80229,42224,35156.0,2849.0
3840,3841,07-06-2020,Maharashtra,82968,42609,37390.0,2969.0
3841,3842,08-06-2020,Maharashtra,85975,43601,39314.0,3060.0
3842,3843,09-06-2020,Maharashtra,88528,44384,40975.0,3169.0
3843,3844,10-06-2020,Maharashtra,90787,44860,42638.0,3289.0
3844,3845,11-06-2020,Maharashtra,94041,46086,44517.0,3438.0
3845,3846,12-06-2020,Maharashtra,97648,47980,46078.0,3590.0
3846,3847,13-06-2020,Maharashtra,101141,49628,47796.0,3717.0
3847,3848,14-06-2020,Maharashtra,104568,51392,49346.0,3830.0
3848,3849,15-06-2020,Maharashtra,107958,53030,50978.0,3950.0
3849,3850,16-06-2020,Maharashtra,110744,50567,56049.0,4128.0
3850,3851,17-06-2020,Maharashtra,113445,50057,57851.0,5537.0
3851,3852,18-06-2020,Maharashtra,116752,51935,59166.0,5651.0
3852,3853,19-06-2020,Maharashtra,120504,53915,60838.0,5751.0
3853,3854,20-06-2020,Maharashtra,124331,55665,62773.0,5893.0
3854,3855,21-06-2020,Maharashtra,128205,58068,64153.0,5984.0
3855,3856,22-06-2020,Maharashtra,132075,60161,65744.0,6170.0
3856,3857,23-06-2020,Maharashtra,135796,61807,67706.0,6283.0
3857,3858,24-06-2020,Maharashtra,139010,62848,69631.0,6531.0
3858,3859,25-06-2020,Maharashtra,142900,62369,73792.0,6739.0
3859,3860,26-06-2020,Maharashtra,147741,63357,77453.0,6931.0
3860,3861,27-06-2020,Maharashtra,152765,65844,79815.0,7106.0
3861,3862,28-06-2020,Maharashtra,159133,67615,84245.0,7273.0
3862,3863,29-06-2020,Maharashtra,164626,70622,86575.0,7429.0
3863,3864,30-06-2020,Maharashtra,169883,73313,88960.0,7610.0
