,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3948,3949,25-03-2020,Manipur,1,1,0.0,0.0
3949,3950,26-03-2020,Manipur,1,1,0.0,0.0
3950,3951,27-03-2020,Manipur,1,1,0.0,0.0
3951,3952,28-03-2020,Manipur,1,1,0.0,0.0
3952,3953,29-03-2020,Manipur,1,1,0.0,0.0
3953,3954,30-03-2020,Manipur,1,1,0.0,0.0
3954,3955,31-03-2020,Manipur,1,1,0.0,0.0
3955,3956,01-04-2020,Manipur,1,1,0.0,0.0
3956,3957,02-04-2020,Manipur,1,1,0.0,0.0
3957,3958,03-04-2020,Manipur,2,2,0.0,0.0
3958,3959,04-04-2020,Manipur,2,2,0.0,0.0
3959,3960,05-04-2020,Manipur,2,2,0.0,0.0
3960,3961,06-04-2020,Manipur,2,2,0.0,0.0
3961,3962,07-04-2020,Manipur,2,2,0.0,0.0
3962,3963,08-04-2020,Manipur,2,2,0.0,0.0
3963,3964,09-04-2020,Manipur,1,0,1.0,0.0
3964,3965,10-04-2020,Manipur,2,1,1.0,0.0
3965,3966,11-04-2020,Manipur,2,1,1.0,0.0
3966,3967,12-04-2020,Manipur,2,1,1.0,0.0
3967,3968,13-04-2020,Manipur,2,1,1.0,0.0
3968,3969,14-04-2020,Manipur,2,1,1.0,0.0
3969,3970,15-04-2020,Manipur,2,1,1.0,0.0
3970,3971,16-04-2020,Manipur,2,1,1.0,0.0
3971,3972,17-04-2020,Manipur,2,1,1.0,0.0
3972,3973,18-04-2020,Manipur,2,1,1.0,0.0
3973,3974,19-04-2020,Manipur,2,1,1.0,0.0
3974,3975,20-04-2020,Manipur,2,1,1.0,0.0
3975,3976,21-04-2020,Manipur,2,0,2.0,0.0
3976,3977,22-04-2020,Manipur,2,0,2.0,0.0
3977,3978,23-04-2020,Manipur,2,0,2.0,0.0
3978,3979,24-04-2020,Manipur,2,0,2.0,0.0
3979,3980,25-04-2020,Manipur,2,0,2.0,0.0
3980,3981,26-04-2020,Manipur,2,0,2.0,0.0
3981,3982,27-04-2020,Manipur,2,0,2.0,0.0
3982,3983,28-04-2020,Manipur,2,0,2.0,0.0
3983,3984,29-04-2020,Manipur,2,0,2.0,0.0
3984,3985,30-04-2020,Manipur,2,0,2.0,0.0
3985,3986,01-05-2020,Manipur,2,0,2.0,0.0
3986,3987,02-05-2020,Manipur,2,0,2.0,0.0
3987,3988,03-05-2020,Manipur,2,0,2.0,0.0
3988,3989,04-05-2020,Manipur,2,0,2.0,0.0
3989,3990,05-05-2020,Manipur,2,0,2.0,0.0
3990,3991,06-05-2020,Manipur,2,0,2.0,0.0
