,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4130,4131,15-04-2020,Meghalaya,1,1,0.0,0.0
4131,4132,16-04-2020,Meghalaya,7,6,0.0,1.0
4132,4133,17-04-2020,Meghalaya,7,6,0.0,1.0
4133,4134,18-04-2020,Meghalaya,9,8,0.0,1.0
4134,4135,19-04-2020,Meghalaya,11,10,0.0,1.0
4135,4136,20-04-2020,Meghalaya,11,10,0.0,1.0
4136,4137,21-04-2020,Meghalaya,11,10,0.0,1.0
4137,4138,22-04-2020,Meghalaya,12,11,0.0,1.0
4138,4139,23-04-2020,Meghalaya,12,11,0.0,1.0
4139,4140,24-04-2020,Meghalaya,12,11,0.0,1.0
4140,4141,25-04-2020,Meghalaya,12,11,0.0,1.0
4141,4142,26-04-2020,Meghalaya,12,11,0.0,1.0
4142,4143,27-04-2020,Meghalaya,12,11,0.0,1.0
4143,4144,28-04-2020,Meghalaya,12,11,0.0,1.0
4144,4145,29-04-2020,Meghalaya,12,11,0.0,1.0
4145,4146,30-04-2020,Meghalaya,12,11,0.0,1.0
4146,4147,01-05-2020,Meghalaya,12,11,0.0,1.0
4147,4148,02-05-2020,Meghalaya,12,11,0.0,1.0
4148,4149,03-05-2020,Meghalaya,12,11,0.0,1.0
4149,4150,04-05-2020,Meghalaya,12,11,0.0,1.0
4150,4151,05-05-2020,Meghalaya,12,11,0.0,1.0
4151,4152,06-05-2020,Meghalaya,12,1,10.0,1.0
4152,4153,07-05-2020,Meghalaya,12,1,10.0,1.0
4153,4154,08-05-2020,Meghalaya,12,1,10.0,1.0
4154,4155,09-05-2020,Meghalaya,12,1,10.0,1.0
4155,4156,10-05-2020,Meghalaya,13,2,10.0,1.0
4156,4157,11-05-2020,Meghalaya,13,2,10.0,1.0
4157,4158,12-05-2020,Meghalaya,13,2,10.0,1.0
4158,4159,13-05-2020,Meghalaya,13,2,10.0,1.0
4159,4160,14-05-2020,Meghalaya,13,2,10.0,1.0
4160,4161,15-05-2020,Meghalaya,13,1,11.0,1.0
4161,4162,16-05-2020,Meghalaya,13,1,11.0,1.0
4162,4163,17-05-2020,Meghalaya,13,1,11.0,1.0
4163,4164,18-05-2020,Meghalaya,13,1,11.0,1.0
4164,4165,19-05-2020,Meghalaya,13,1,11.0,1.0
4165,4166,20-05-2020,Meghalaya,13,0,12.0,1.0
4166,4167,21-05-2020,Meghalaya,14,1,12.0,1.0
4167,4168,22-05-2020,Meghalaya,14,1,12.0,1.0
4168,4169,23-05-2020,Meghalaya,14,1,12.0,1.0
4169,4170,24-05-2020,Meghalaya,14,1,12.0,1.0
4170,4171,25-05-2020,Meghalaya,14,1,12.0,1.0
4171,4172,26-05-2020,Meghalaya,14,1,12.0,1.0
4172,4173,27-05-2020,Meghalaya,15,2,12.0,1.0
4173,4174,28-05-2020,Meghalaya,20,7,12.0,1.0
4174,4175,29-05-2020,Meghalaya,21,8,12.0,1.0
4175,4176,30-05-2020,Meghalaya,27,14,12.0,1.0
4176,4177,31-05-2020,Meghalaya,27,14,12.0,1.0
4177,4178,01-06-2020,Meghalaya,27,14,12.0,1.0
4178,4179,02-06-2020,Meghalaya,27,14,12.0,1.0
4179,4180,03-06-2020,Meghalaya,27,14,12.0,1.0
4180,4181,04-06-2020,Meghalaya,33,19,13.0,1.0
4181,4182,05-06-2020,Meghalaya,33,19,13.0,1.0
4182,4183,06-06-2020,Meghalaya,33,19,13.0,1.0
4183,4184,07-06-2020,Meghalaya,33,19,13.0,1.0
4184,4185,08-06-2020,Meghalaya,36,22,13.0,1.0
4185,4186,09-06-2020,Meghalaya,36,22,13.0,1.0
4186,4187,10-06-2020,Meghalaya,43,29,13.0,1.0
4187,4188,11-06-2020,Meghalaya,44,30,13.0,1.0
4188,4189,12-06-2020,Meghalaya,44,25,18.0,1.0
4189,4190,13-06-2020,Meghalaya,44,21,22.0,1.0
4190,4191,14-06-2020,Meghalaya,44,21,22.0,1.0
4191,4192,15-06-2020,Meghalaya,44,18,25.0,1.0
4192,4193,16-06-2020,Meghalaya,44,18,25.0,1.0
4193,4194,17-06-2020,Meghalaya,44,18,25.0,1.0
4194,4195,18-06-2020,Meghalaya,44,13,30.0,1.0
4195,4196,19-06-2020,Meghalaya,44,13,30.0,1.0
4196,4197,20-06-2020,Meghalaya,44,10,33.0,1.0
4197,4198,21-06-2020,Meghalaya,44,10,33.0,1.0
4198,4199,22-06-2020,Meghalaya,44,10,33.0,1.0
4199,4200,23-06-2020,Meghalaya,44,6,37.0,1.0
4200,4201,24-06-2020,Meghalaya,46,8,37.0,1.0
4201,4202,25-06-2020,Meghalaya,46,3,42.0,1.0
4202,4203,26-06-2020,Meghalaya,46,3,42.0,1.0
4203,4204,27-06-2020,Meghalaya,47,4,42.0,1.0
4204,4205,28-06-2020,Meghalaya,47,4,42.0,1.0
4205,4206,29-06-2020,Meghalaya,47,4,42.0,1.0
4206,4207,30-06-2020,Meghalaya,47,4,42.0,1.0
4207,4208,01-07-2020,Meghalaya,52,9,42.0,1.0
4208,4209,02-07-2020,Meghalaya,52,9,42.0,1.0
4209,4210,03-07-2020,Meghalaya,56,13,42.0,1.0
4210,4211,04-07-2020,Meghalaya,62,18,43.0,1.0
4211,4212,05-07-2020,Meghalaya,62,18,43.0,1.0
4212,4213,06-07-2020,Meghalaya,62,18,43.0,1.0
4213,4214,07-07-2020,Meghalaya,80,36,43.0,1.0
4214,4215,08-07-2020,Meghalaya,80,36,43.0,1.0
4215,4216,09-07-2020,Meghalaya,80,36,43.0,1.0
