,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4291,4292,26-03-2020,Mizoram,1,1,0.0,0.0
4292,4293,27-03-2020,Mizoram,1,1,0.0,0.0
4293,4294,28-03-2020,Mizoram,1,1,0.0,0.0
4294,4295,29-03-2020,Mizoram,1,1,0.0,0.0
4295,4296,30-03-2020,Mizoram,1,1,0.0,0.0
4296,4297,31-03-2020,Mizoram,1,1,0.0,0.0
4297,4298,01-04-2020,Mizoram,1,1,0.0,0.0
4298,4299,02-04-2020,Mizoram,1,1,0.0,0.0
4299,4300,03-04-2020,Mizoram,1,1,0.0,0.0
4300,4301,04-04-2020,Mizoram,1,1,0.0,0.0
4301,4302,05-04-2020,Mizoram,1,1,0.0,0.0
4302,4303,06-04-2020,Mizoram,1,1,0.0,0.0
4303,4304,07-04-2020,Mizoram,1,1,0.0,0.0
4304,4305,08-04-2020,Mizoram,1,1,0.0,0.0
4305,4306,09-04-2020,Mizoram,1,1,0.0,0.0
4306,4307,10-04-2020,Mizoram,1,1,0.0,0.0
4307,4308,11-04-2020,Mizoram,1,1,0.0,0.0
4308,4309,12-04-2020,Mizoram,1,1,0.0,0.0
4309,4310,13-04-2020,Mizoram,1,1,0.0,0.0
4310,4311,14-04-2020,Mizoram,1,1,0.0,0.0
4311,4312,15-04-2020,Mizoram,1,1,0.0,0.0
4312,4313,16-04-2020,Mizoram,1,1,0.0,0.0
4313,4314,17-04-2020,Mizoram,1,1,0.0,0.0
4314,4315,18-04-2020,Mizoram,1,1,0.0,0.0
4315,4316,19-04-2020,Mizoram,1,1,0.0,0.0
4316,4317,20-04-2020,Mizoram,1,1,0.0,0.0
4317,4318,21-04-2020,Mizoram,1,1,0.0,0.0
4318,4319,22-04-2020,Mizoram,1,1,0.0,0.0
4319,4320,23-04-2020,Mizoram,1,1,0.0,0.0
4320,4321,24-04-2020,Mizoram,1,1,0.0,0.0
4321,4322,25-04-2020,Mizoram,1,1,0.0,0.0
4322,4323,26-04-2020,Mizoram,1,1,0.0,0.0
4323,4324,27-04-2020,Mizoram,1,1,0.0,0.0
4324,4325,28-04-2020,Mizoram,1,1,0.0,0.0
4325,4326,29-04-2020,Mizoram,1,1,0.0,0.0
4326,4327,30-04-2020,Mizoram,1,1,0.0,0.0
4327,4328,01-05-2020,Mizoram,1,1,0.0,0.0
4328,4329,02-05-2020,Mizoram,1,1,0.0,0.0
4329,4330,03-05-2020,Mizoram,1,1,0.0,0.0
4330,4331,04-05-2020,Mizoram,1,1,0.0,0.0
4331,4332,05-05-2020,Mizoram,1,1,0.0,0.0
4332,4333,06-05-2020,Mizoram,1,1,0.0,0.0
4333,4334,07-05-2020,Mizoram,1,1,0.0,0.0
4334,4335,08-05-2020,Mizoram,1,1,0.0,0.0
4335,4336,09-05-2020,Mizoram,1,1,0.0,0.0
4336,4337,10-05-2020,Mizoram,1,0,1.0,0.0
4337,4338,11-05-2020,Mizoram,1,0,1.0,0.0
4338,4339,12-05-2020,Mizoram,1,0,1.0,0.0
4339,4340,13-05-2020,Mizoram,1,0,1.0,0.0
4340,4341,14-05-2020,Mizoram,1,0,1.0,0.0
4341,4342,15-05-2020,Mizoram,1,0,1.0,0.0
4342,4343,16-05-2020,Mizoram,1,0,1.0,0.0
4343,4344,17-05-2020,Mizoram,1,0,1.0,0.0
4344,4345,18-05-2020,Mizoram,1,0,1.0,0.0
4345,4346,19-05-2020,Mizoram,1,0,1.0,0.0
4346,4347,20-05-2020,Mizoram,1,0,1.0,0.0
4347,4348,21-05-2020,Mizoram,1,0,1.0,0.0
4348,4349,22-05-2020,Mizoram,1,0,1.0,0.0
4349,4350,23-05-2020,Mizoram,1,0,1.0,0.0
4350,4351,24-05-2020,Mizoram,1,0,1.0,0.0
4351,4352,25-05-2020,Mizoram,1,0,1.0,0.0
4352,4353,26-05-2020,Mizoram,1,0,1.0,0.0
4353,4354,27-05-2020,Mizoram,1,0,1.0,0.0
4354,4355,28-05-2020,Mizoram,1,0,1.0,0.0
4355,4356,29-05-2020,Mizoram,1,0,1.0,0.0
4356,4357,30-05-2020,Mizoram,1,0,1.0,0.0
4357,4358,31-05-2020,Mizoram,1,0,1.0,0.0
4358,4359,01-06-2020,Mizoram,1,0,1.0,0.0
4359,4360,02-06-2020,Mizoram,1,0,1.0,0.0
4360,4361,03-06-2020,Mizoram,13,12,1.0,0.0
4361,4362,04-06-2020,Mizoram,14,13,1.0,0.0
4362,4363,05-06-2020,Mizoram,17,16,1.0,0.0
4363,4364,06-06-2020,Mizoram,22,21,1.0,0.0
4364,4365,07-06-2020,Mizoram,24,23,1.0,0.0
4365,4366,08-06-2020,Mizoram,34,33,1.0,0.0
4366,4367,09-06-2020,Mizoram,42,41,1.0,0.0
4367,4368,10-06-2020,Mizoram,88,87,1.0,0.0
4368,4369,11-06-2020,Mizoram,93,92,1.0,0.0
4369,4370,12-06-2020,Mizoram,102,101,1.0,0.0
4370,4371,13-06-2020,Mizoram,104,103,1.0,0.0
4371,4372,14-06-2020,Mizoram,107,106,1.0,0.0
4372,4373,15-06-2020,Mizoram,112,111,1.0,0.0
4373,4374,16-06-2020,Mizoram,117,116,1.0,0.0
4374,4375,17-06-2020,Mizoram,121,120,1.0,0.0
4375,4376,18-06-2020,Mizoram,121,120,1.0,0.0
4376,4377,19-06-2020,Mizoram,130,129,1.0,0.0
4377,4378,20-06-2020,Mizoram,130,129,1.0,0.0
4378,4379,21-06-2020,Mizoram,140,131,9.0,0.0
4379,4380,22-06-2020,Mizoram,141,132,9.0,0.0
4380,4381,23-06-2020,Mizoram,141,132,9.0,0.0
4381,4382,24-06-2020,Mizoram,142,133,9.0,0.0
4382,4383,25-06-2020,Mizoram,142,123,19.0,0.0
4383,4384,26-06-2020,Mizoram,145,115,30.0,0.0
4384,4385,27-06-2020,Mizoram,145,115,30.0,0.0
4385,4386,28-06-2020,Mizoram,148,93,55.0,0.0
4386,4387,29-06-2020,Mizoram,148,93,55.0,0.0
4387,4388,30-06-2020,Mizoram,148,93,55.0,0.0
4388,4389,01-07-2020,Mizoram,160,38,122.0,0.0
4389,4390,02-07-2020,Mizoram,160,37,123.0,0.0
4390,4391,03-07-2020,Mizoram,162,36,126.0,0.0
4391,4392,04-07-2020,Mizoram,162,36,126.0,0.0
4392,4393,05-07-2020,Mizoram,164,34,130.0,0.0
4393,4394,06-07-2020,Mizoram,186,56,130.0,0.0
4394,4395,07-07-2020,Mizoram,197,64,133.0,0.0
4395,4396,08-07-2020,Mizoram,197,64,133.0,0.0
4396,4397,09-07-2020,Mizoram,197,64,133.0,0.0
4397,4398,10-07-2020,Mizoram,197,64,133.0,0.0
4398,4399,11-07-2020,Mizoram,226,83,143.0,0.0
4399,4400,12-07-2020,Mizoram,227,77,150.0,0.0
4400,4401,13-07-2020,Mizoram,231,81,150.0,0.0
4401,4402,14-07-2020,Mizoram,233,82,151.0,0.0
4402,4403,15-07-2020,Mizoram,238,79,159.0,0.0
4403,4404,16-07-2020,Mizoram,238,79,159.0,0.0
