,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4472,4473,14-04-2020,Nagaland,1,1,0.0,0.0
4473,4474,15-04-2020,Nagaland,0,0,0.0,0.0
4474,4475,16-04-2020,Nagaland,0,0,0.0,0.0
4475,4476,17-04-2020,Nagaland,0,0,0.0,0.0
4476,4477,18-04-2020,Nagaland,0,0,0.0,0.0
4477,4478,19-04-2020,Nagaland,0,0,0.0,0.0
4478,4479,20-04-2020,Nagaland,0,0,0.0,0.0
4479,4480,21-04-2020,Nagaland,0,0,0.0,0.0
4480,4481,26-05-2020,Nagaland,3,3,0.0,0.0
4481,4482,27-05-2020,Nagaland,4,4,0.0,0.0
4482,4483,28-05-2020,Nagaland,4,4,0.0,0.0
4483,4484,29-05-2020,Nagaland,18,18,0.0,0.0
4484,4485,30-05-2020,Nagaland,25,25,0.0,0.0
4485,4486,31-05-2020,Nagaland,36,36,0.0,0.0
4486,4487,01-06-2020,Nagaland,43,43,0.0,0.0
4487,4488,02-06-2020,Nagaland,43,43,0.0,0.0
4488,4489,03-06-2020,Nagaland,49,49,0.0,0.0
4489,4490,04-06-2020,Nagaland,58,58,0.0,0.0
4490,4491,05-06-2020,Nagaland,80,80,0.0,0.0
4491,4492,06-06-2020,Nagaland,94,94,0.0,0.0
4492,4493,07-06-2020,Nagaland,107,107,0.0,0.0
4493,4494,08-06-2020,Nagaland,118,110,8.0,0.0
4494,4495,09-06-2020,Nagaland,123,115,8.0,0.0
4495,4496,10-06-2020,Nagaland,127,117,10.0,0.0
4496,4497,11-06-2020,Nagaland,128,106,22.0,0.0
4497,4498,12-06-2020,Nagaland,128,106,22.0,0.0
4498,4499,13-06-2020,Nagaland,156,107,49.0,0.0
4499,4500,14-06-2020,Nagaland,163,87,76.0,0.0
4500,4501,15-06-2020,Nagaland,168,80,88.0,0.0
4501,4502,16-06-2020,Nagaland,177,85,92.0,0.0
4502,4503,17-06-2020,Nagaland,179,87,92.0,0.0
4503,4504,18-06-2020,Nagaland,193,90,103.0,0.0
4504,4505,19-06-2020,Nagaland,193,90,103.0,0.0
4505,4506,20-06-2020,Nagaland,198,73,125.0,0.0
4506,4507,21-06-2020,Nagaland,201,63,138.0,0.0
4507,4508,22-06-2020,Nagaland,211,70,141.0,0.0
4508,4509,23-06-2020,Nagaland,280,139,141.0,0.0
4509,4510,24-06-2020,Nagaland,330,189,141.0,0.0
4510,4511,25-06-2020,Nagaland,347,199,148.0,0.0
4511,4512,26-06-2020,Nagaland,355,195,160.0,0.0
4512,4513,27-06-2020,Nagaland,371,209,162.0,0.0
4513,4514,28-06-2020,Nagaland,387,223,164.0,0.0
4514,4515,29-06-2020,Nagaland,415,251,164.0,0.0
4515,4516,30-06-2020,Nagaland,434,266,168.0,0.0
4516,4517,01-07-2020,Nagaland,459,291,168.0,0.0
4517,4518,02-07-2020,Nagaland,459,291,168.0,0.0
4518,4519,03-07-2020,Nagaland,501,319,182.0,0.0
4519,4520,04-07-2020,Nagaland,539,311,228.0,0.0
4520,4521,05-07-2020,Nagaland,563,335,228.0,0.0
4521,4522,06-07-2020,Nagaland,590,359,231.0,0.0
4522,4523,07-07-2020,Nagaland,625,382,243.0,0.0
4523,4524,08-07-2020,Nagaland,625,382,243.0,0.0
4524,4525,09-07-2020,Nagaland,657,353,304.0,0.0
4525,4526,10-07-2020,Nagaland,673,369,304.0,0.0
4526,4527,11-07-2020,Nagaland,732,428,304.0,0.0
4527,4528,12-07-2020,Nagaland,748,435,313.0,0.0
4528,4529,13-07-2020,Nagaland,774,447,327.0,0.0
4529,4530,14-07-2020,Nagaland,845,505,340.0,0.0
4530,4531,15-07-2020,Nagaland,896,550,346.0,0.0
4531,4532,16-07-2020,Nagaland,902,554,348.0,0.0
4532,4533,17-07-2020,Nagaland,916,525,391.0,0.0
4533,4534,18-07-2020,Nagaland,956,551,405.0,0.0
4534,4535,19-07-2020,Nagaland,978,546,432.0,0.0
4535,4536,20-07-2020,Nagaland,988,543,445.0,0.0
4536,4537,21-07-2020,Nagaland,1021,537,484.0,0.0
4537,4538,22-07-2020,Nagaland,1030,545,485.0,0.0
