,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4600,4601,16-03-2020,Odisha,1,1,0.0,0.0
4601,4602,17-03-2020,Odisha,1,1,0.0,0.0
4602,4603,18-03-2020,Odisha,1,1,0.0,0.0
4603,4604,19-03-2020,Odisha,1,1,0.0,0.0
4604,4605,20-03-2020,Odisha,1,1,0.0,0.0
4605,4606,21-03-2020,Odisha,2,2,0.0,0.0
4606,4607,22-03-2020,Odisha,2,2,0.0,0.0
4607,4608,23-03-2020,Odisha,2,2,0.0,0.0
4608,4609,24-03-2020,Odisha,2,2,0.0,0.0
4609,4610,25-03-2020,Odisha,2,2,0.0,0.0
4610,4611,26-03-2020,Odisha,2,2,0.0,0.0
4611,4612,27-03-2020,Odisha,2,2,0.0,0.0
4612,4613,28-03-2020,Odisha,3,3,0.0,0.0
4613,4614,29-03-2020,Odisha,3,3,0.0,0.0
4614,4615,30-03-2020,Odisha,3,3,0.0,0.0
4615,4616,31-03-2020,Odisha,3,3,0.0,0.0
4616,4617,01-04-2020,Odisha,4,4,0.0,0.0
4617,4618,02-04-2020,Odisha,4,4,0.0,0.0
4618,4619,03-04-2020,Odisha,5,5,0.0,0.0
4619,4620,04-04-2020,Odisha,5,5,0.0,0.0
4620,4621,05-04-2020,Odisha,20,20,0.0,0.0
4621,4622,06-04-2020,Odisha,21,19,2.0,0.0
4622,4623,07-04-2020,Odisha,21,19,2.0,0.0
4623,4624,08-04-2020,Odisha,42,39,2.0,1.0
4624,4625,09-04-2020,Odisha,42,39,2.0,1.0
4625,4626,10-04-2020,Odisha,44,41,2.0,1.0
4626,4627,11-04-2020,Odisha,48,45,2.0,1.0
4627,4628,12-04-2020,Odisha,50,47,2.0,1.0
4628,4629,13-04-2020,Odisha,54,41,12.0,1.0
4629,4630,14-04-2020,Odisha,54,41,12.0,1.0
4630,4631,15-04-2020,Odisha,60,41,18.0,1.0
4631,4632,16-04-2020,Odisha,60,41,18.0,1.0
4632,4633,17-04-2020,Odisha,60,40,19.0,1.0
4633,4634,18-04-2020,Odisha,60,40,19.0,1.0
4634,4635,19-04-2020,Odisha,61,36,24.0,1.0
4635,4636,20-04-2020,Odisha,68,43,24.0,1.0
4636,4637,21-04-2020,Odisha,74,49,24.0,1.0
4637,4638,22-04-2020,Odisha,79,54,24.0,1.0
4638,4639,23-04-2020,Odisha,83,50,32.0,1.0
4639,4640,24-04-2020,Odisha,90,56,33.0,1.0
4640,4641,25-04-2020,Odisha,94,60,33.0,1.0
4641,4642,26-04-2020,Odisha,94,60,33.0,1.0
4642,4643,27-04-2020,Odisha,103,67,35.0,1.0
4643,4644,28-04-2020,Odisha,118,80,37.0,1.0
4644,4645,29-04-2020,Odisha,118,79,38.0,1.0
4645,4646,30-04-2020,Odisha,125,85,39.0,1.0
4646,4647,01-05-2020,Odisha,142,102,39.0,1.0
4647,4648,02-05-2020,Odisha,149,93,55.0,1.0
4648,4649,03-05-2020,Odisha,157,100,56.0,1.0
4649,4650,04-05-2020,Odisha,162,105,56.0,1.0
4650,4651,05-05-2020,Odisha,169,108,60.0,1.0
4651,4652,06-05-2020,Odisha,175,114,60.0,1.0
