,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4791,4792,19-03-2020,Puducherry,1,1,0.0,0.0
4792,4793,20-03-2020,Puducherry,1,1,0.0,0.0
4793,4794,21-03-2020,Puducherry,1,1,0.0,0.0
4794,4795,22-03-2020,Puducherry,1,1,0.0,0.0
4795,4796,23-03-2020,Puducherry,1,1,0.0,0.0
4796,4797,24-03-2020,Puducherry,1,1,0.0,0.0
4797,4798,25-03-2020,Puducherry,1,1,0.0,0.0
4798,4799,26-03-2020,Puducherry,1,1,0.0,0.0
4799,4800,27-03-2020,Puducherry,1,1,0.0,0.0
4800,4801,28-03-2020,Puducherry,1,1,0.0,0.0
4801,4802,29-03-2020,Puducherry,1,1,0.0,0.0
4802,4803,30-03-2020,Puducherry,1,1,0.0,0.0
4803,4804,31-03-2020,Puducherry,1,1,0.0,0.0
4804,4805,01-04-2020,Puducherry,1,1,0.0,0.0
4805,4806,02-04-2020,Puducherry,3,2,1.0,0.0
4806,4807,03-04-2020,Puducherry,3,2,1.0,0.0
4807,4808,04-04-2020,Puducherry,5,4,1.0,0.0
4808,4809,05-04-2020,Puducherry,5,4,1.0,0.0
4809,4810,06-04-2020,Puducherry,5,4,1.0,0.0
4810,4811,07-04-2020,Puducherry,5,4,1.0,0.0
4811,4812,08-04-2020,Puducherry,5,4,1.0,0.0
4812,4813,09-04-2020,Puducherry,5,4,1.0,0.0
4813,4814,10-04-2020,Puducherry,5,4,1.0,0.0
4814,4815,11-04-2020,Puducherry,5,4,1.0,0.0
4815,4816,12-04-2020,Puducherry,7,6,1.0,0.0
4816,4817,13-04-2020,Puducherry,7,6,1.0,0.0
4817,4818,14-04-2020,Puducherry,7,6,1.0,0.0
4818,4819,15-04-2020,Puducherry,7,6,1.0,0.0
4819,4820,16-04-2020,Puducherry,7,6,1.0,0.0
4820,4821,17-04-2020,Puducherry,7,6,1.0,0.0
4821,4822,18-04-2020,Puducherry,7,6,1.0,0.0
4822,4823,19-04-2020,Puducherry,7,4,3.0,0.0
4823,4824,20-04-2020,Puducherry,7,4,3.0,0.0
4824,4825,21-04-2020,Puducherry,7,4,3.0,0.0
4825,4826,22-04-2020,Puducherry,7,4,3.0,0.0
4826,4827,23-04-2020,Puducherry,7,4,3.0,0.0
4827,4828,24-04-2020,Puducherry,7,4,3.0,0.0
4828,4829,25-04-2020,Puducherry,7,4,3.0,0.0
4829,4830,26-04-2020,Puducherry,7,4,3.0,0.0
4830,4831,27-04-2020,Puducherry,7,4,3.0,0.0
4831,4832,28-04-2020,Puducherry,8,5,3.0,0.0
4832,4833,29-04-2020,Puducherry,8,5,3.0,0.0
4833,4834,30-04-2020,Puducherry,8,5,3.0,0.0
4834,4835,01-05-2020,Puducherry,8,3,5.0,0.0
4835,4836,02-05-2020,Puducherry,8,3,5.0,0.0
4836,4837,03-05-2020,Puducherry,8,3,5.0,0.0
4837,4838,04-05-2020,Puducherry,8,3,5.0,0.0
4838,4839,05-05-2020,Puducherry,8,3,5.0,0.0
4839,4840,06-05-2020,Puducherry,9,3,6.0,0.0
4840,4841,07-05-2020,Puducherry,9,3,6.0,0.0
4841,4842,08-05-2020,Puducherry,9,3,6.0,0.0
4842,4843,09-05-2020,Puducherry,9,3,6.0,0.0
4843,4844,10-05-2020,Puducherry,9,3,6.0,0.0
4844,4845,11-05-2020,Puducherry,9,3,6.0,0.0
4845,4846,12-05-2020,Puducherry,12,6,6.0,0.0
4846,4847,13-05-2020,Puducherry,13,3,9.0,1.0
4847,4848,14-05-2020,Puducherry,13,3,9.0,1.0
4848,4849,15-05-2020,Puducherry,13,3,9.0,1.0
4849,4850,16-05-2020,Puducherry,13,3,9.0,1.0
4850,4851,17-05-2020,Puducherry,13,3,9.0,1.0
4851,4852,18-05-2020,Puducherry,13,3,9.0,1.0
4852,4853,19-05-2020,Puducherry,18,8,9.0,1.0
4853,4854,20-05-2020,Puducherry,18,8,9.0,1.0
