,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
4979,4980,12-03-2020,Punjab,1,1,0.0,0.0
4980,4981,13-03-2020,Punjab,1,1,0.0,0.0
4981,4982,14-03-2020,Punjab,1,1,0.0,0.0
4982,4983,15-03-2020,Punjab,1,1,0.0,0.0
4983,4984,16-03-2020,Punjab,1,1,0.0,0.0
4984,4985,17-03-2020,Punjab,1,1,0.0,0.0
4985,4986,18-03-2020,Punjab,1,1,0.0,0.0
4986,4987,19-03-2020,Punjab,1,1,0.0,0.0
4987,4988,20-03-2020,Punjab,2,1,0.0,1.0
4988,4989,21-03-2020,Punjab,2,1,0.0,1.0
4989,4990,22-03-2020,Punjab,21,20,0.0,1.0
4990,4991,23-03-2020,Punjab,21,20,0.0,1.0
4991,4992,24-03-2020,Punjab,21,20,0.0,1.0
4992,4993,25-03-2020,Punjab,29,28,0.0,1.0
4993,4994,26-03-2020,Punjab,33,32,0.0,1.0
4994,4995,27-03-2020,Punjab,33,32,0.0,1.0
4995,4996,28-03-2020,Punjab,38,36,1.0,1.0
4996,4997,29-03-2020,Punjab,38,36,1.0,1.0
4997,4998,30-03-2020,Punjab,38,36,1.0,1.0
4998,4999,31-03-2020,Punjab,41,37,1.0,3.0
4999,5000,01-04-2020,Punjab,41,37,1.0,3.0
5000,5001,02-04-2020,Punjab,46,41,1.0,4.0
5001,5002,03-04-2020,Punjab,46,41,1.0,4.0
5002,5003,04-04-2020,Punjab,53,47,1.0,5.0
5003,5004,05-04-2020,Punjab,57,51,1.0,5.0
5004,5005,06-04-2020,Punjab,68,58,4.0,6.0
5005,5006,07-04-2020,Punjab,76,66,4.0,6.0
5006,5007,08-04-2020,Punjab,91,80,4.0,7.0
5007,5008,09-04-2020,Punjab,101,89,4.0,8.0
5008,5009,10-04-2020,Punjab,101,89,4.0,8.0
5009,5010,11-04-2020,Punjab,132,116,5.0,11.0
5010,5011,12-04-2020,Punjab,151,135,5.0,11.0
5011,5012,13-04-2020,Punjab,151,135,5.0,11.0
5012,5013,14-04-2020,Punjab,167,142,14.0,11.0
5013,5014,15-04-2020,Punjab,176,150,14.0,12.0
5014,5015,16-04-2020,Punjab,186,146,27.0,13.0
5015,5016,17-04-2020,Punjab,186,146,27.0,13.0
5016,5017,18-04-2020,Punjab,202,162,27.0,13.0
5017,5018,19-04-2020,Punjab,202,162,27.0,13.0
5018,5019,20-04-2020,Punjab,219,172,31.0,16.0
5019,5020,21-04-2020,Punjab,245,191,38.0,16.0
5020,5021,22-04-2020,Punjab,245,190,39.0,16.0
5021,5022,23-04-2020,Punjab,251,186,49.0,16.0
5022,5023,24-04-2020,Punjab,277,196,65.0,16.0
5023,5024,25-04-2020,Punjab,298,214,67.0,17.0
5024,5025,26-04-2020,Punjab,298,214,67.0,17.0
5025,5026,27-04-2020,Punjab,313,224,71.0,18.0
5026,5027,28-04-2020,Punjab,313,224,71.0,18.0
5027,5028,29-04-2020,Punjab,322,232,71.0,19.0
5028,5029,30-04-2020,Punjab,357,248,90.0,19.0
5029,5030,01-05-2020,Punjab,357,248,90.0,19.0
5030,5031,02-05-2020,Punjab,480,371,90.0,19.0
5031,5032,03-05-2020,Punjab,772,640,112.0,20.0
5032,5033,04-05-2020,Punjab,1102,964,117.0,21.0
5033,5034,05-05-2020,Punjab,1233,1089,121.0,23.0
5034,5035,06-05-2020,Punjab,1451,1293,133.0,25.0
5035,5036,07-05-2020,Punjab,1516,1354,135.0,27.0
5036,5037,08-05-2020,Punjab,1644,1467,149.0,28.0
5037,5038,09-05-2020,Punjab,1731,1550,152.0,29.0
5038,5039,10-05-2020,Punjab,1762,1574,157.0,31.0
5039,5040,11-05-2020,Punjab,1823,1626,166.0,31.0
5040,5041,12-05-2020,Punjab,1877,1678,168.0,31.0
5041,5042,13-05-2020,Punjab,1914,1711,171.0,32.0
5042,5043,14-05-2020,Punjab,1924,1692,200.0,32.0
5043,5044,15-05-2020,Punjab,1935,1680,223.0,32.0
5044,5045,16-05-2020,Punjab,1935,1598,305.0,32.0
5045,5046,17-05-2020,Punjab,1946,657,1257.0,32.0
5046,5047,18-05-2020,Punjab,1964,563,1366.0,35.0
5047,5048,19-05-2020,Punjab,1980,396,1547.0,37.0
5048,5049,20-05-2020,Punjab,2002,322,1642.0,38.0
5049,5050,21-05-2020,Punjab,2005,173,1794.0,38.0
5050,5051,22-05-2020,Punjab,2028,170,1819.0,39.0
5051,5052,23-05-2020,Punjab,2029,143,1847.0,39.0
5052,5053,24-05-2020,Punjab,2045,136,1870.0,39.0
5053,5054,25-05-2020,Punjab,2060,122,1898.0,40.0
5054,5055,26-05-2020,Punjab,2060,122,1898.0,40.0
5055,5056,27-05-2020,Punjab,2106,148,1918.0,40.0
5056,5057,28-05-2020,Punjab,2139,181,1918.0,40.0
5057,5058,29-05-2020,Punjab,2158,172,1946.0,40.0
5058,5059,30-05-2020,Punjab,2197,206,1949.0,42.0
5059,5060,31-05-2020,Punjab,2233,222,1967.0,44.0
5060,5061,01-06-2020,Punjab,2263,231,1987.0,45.0
5061,5062,02-06-2020,Punjab,2301,256,2000.0,45.0
5062,5063,03-06-2020,Punjab,2342,279,2017.0,46.0
5063,5064,04-06-2020,Punjab,2376,300,2029.0,47.0
5064,5065,05-06-2020,Punjab,2415,325,2043.0,47.0
5065,5066,06-06-2020,Punjab,2461,344,2069.0,48.0
5066,5067,07-06-2020,Punjab,2515,373,2092.0,50.0
5067,5068,08-06-2020,Punjab,2608,451,2106.0,51.0
5068,5069,09-06-2020,Punjab,2663,482,2128.0,53.0
5069,5070,10-06-2020,Punjab,2719,497,2167.0,55.0
5070,5071,11-06-2020,Punjab,2805,518,2232.0,55.0
5071,5072,12-06-2020,Punjab,2887,569,2259.0,59.0
5072,5073,13-06-2020,Punjab,2986,641,2282.0,63.0
5073,5074,14-06-2020,Punjab,3063,671,2327.0,65.0
5074,5075,15-06-2020,Punjab,3140,717,2356.0,67.0
5075,5076,16-06-2020,Punjab,3267,753,2443.0,71.0
5076,5077,17-06-2020,Punjab,3371,838,2461.0,72.0
5077,5078,18-06-2020,Punjab,3497,881,2538.0,78.0
5078,5079,19-06-2020,Punjab,3615,962,2570.0,83.0
5079,5080,20-06-2020,Punjab,3832,1104,2636.0,92.0
5080,5081,21-06-2020,Punjab,3952,1176,2678.0,98.0
5081,5082,22-06-2020,Punjab,4074,1275,2700.0,99.0
5082,5083,23-06-2020,Punjab,4235,1309,2825.0,101.0
5083,5084,24-06-2020,Punjab,4397,1245,3047.0,105.0
5084,5085,25-06-2020,Punjab,4627,1415,3099.0,113.0
5085,5086,26-06-2020,Punjab,4769,1457,3192.0,120.0
5086,5087,27-06-2020,Punjab,4957,1634,3201.0,122.0
5087,5088,28-06-2020,Punjab,5056,1608,3320.0,128.0
5088,5089,29-06-2020,Punjab,5216,1557,3526.0,133.0
5089,5090,30-06-2020,Punjab,5418,1516,3764.0,138.0
5090,5091,01-07-2020,Punjab,5568,1557,3867.0,144.0
5091,5092,02-07-2020,Punjab,5668,1652,3867.0,149.0
5092,5093,03-07-2020,Punjab,5784,1488,4144.0,152.0
5093,5094,04-07-2020,Punjab,5937,1514,4266.0,157.0
5094,5095,05-07-2020,Punjab,6109,1641,4306.0,162.0
5095,5096,06-07-2020,Punjab,6283,1711,4408.0,164.0
5096,5097,07-07-2020,Punjab,6491,1828,4494.0,169.0
5097,5098,08-07-2020,Punjab,6749,2020,4554.0,175.0
5098,5099,09-07-2020,Punjab,6907,1901,4828.0,178.0
5099,5100,10-07-2020,Punjab,7140,2012,4945.0,183.0
5100,5101,11-07-2020,Punjab,7357,2153,5017.0,187.0
5101,5102,12-07-2020,Punjab,7587,2352,5040.0,195.0
5102,5103,13-07-2020,Punjab,7821,2230,5392.0,199.0
5103,5104,14-07-2020,Punjab,8178,2388,5586.0,204.0
5104,5105,15-07-2020,Punjab,8511,2635,5663.0,213.0
5105,5106,16-07-2020,Punjab,8799,2711,5867.0,221.0
5106,5107,17-07-2020,Punjab,9094,2587,6277.0,230.0
5107,5108,18-07-2020,Punjab,9442,2830,6373.0,239.0
5108,5109,19-07-2020,Punjab,9792,3092,6454.0,246.0
5109,5110,20-07-2020,Punjab,10100,3311,6535.0,254.0
5110,5111,21-07-2020,Punjab,10510,3130,7118.0,262.0
5111,5112,22-07-2020,Punjab,10889,3237,7389.0,263.0
5112,5113,23-07-2020,Punjab,11301,3391,7641.0,269.0
5113,5114,24-07-2020,Punjab,11739,3721,7741.0,277.0
5114,5115,25-07-2020,Punjab,12216,3838,8096.0,282.0
5115,5116,26-07-2020,Punjab,12684,4096,8297.0,291.0
5116,5117,27-07-2020,Punjab,13218,4102,8810.0,306.0
5117,5118,28-07-2020,Punjab,13769,4387,9064.0,318.0
5118,5119,29-07-2020,Punjab,14378,4290,9752.0,336.0
5119,5120,30-07-2020,Punjab,14946,4372,10213.0,361.0
5120,5121,31-07-2020,Punjab,15456,4577,10509.0,370.0
5121,5122,01-08-2020,Punjab,16119,4999,10734.0,386.0
5122,5123,02-08-2020,Punjab,17063,5583,11075.0,405.0
5123,5124,03-08-2020,Punjab,17853,5964,11466.0,423.0
5124,5125,04-08-2020,Punjab,18527,6203,11882.0,442.0
