,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5174,5175,12-03-2020,Rajasthan,3,3,0.0,0.0
5175,5176,13-03-2020,Rajasthan,3,3,0.0,0.0
5176,5177,14-03-2020,Rajasthan,3,2,1.0,0.0
5177,5178,15-03-2020,Rajasthan,4,4,0.0,0.0
5178,5179,16-03-2020,Rajasthan,4,1,3.0,0.0
5179,5180,17-03-2020,Rajasthan,4,1,3.0,0.0
5180,5181,18-03-2020,Rajasthan,4,1,3.0,0.0
5181,5182,19-03-2020,Rajasthan,7,4,3.0,0.0
5182,5183,20-03-2020,Rajasthan,7,4,3.0,0.0
5183,5184,21-03-2020,Rajasthan,17,14,3.0,0.0
5184,5185,22-03-2020,Rajasthan,24,21,3.0,0.0
5185,5186,23-03-2020,Rajasthan,28,25,3.0,0.0
5186,5187,24-03-2020,Rajasthan,33,30,3.0,0.0
5187,5188,25-03-2020,Rajasthan,32,29,3.0,0.0
5188,5189,26-03-2020,Rajasthan,38,35,3.0,0.0
5189,5190,27-03-2020,Rajasthan,41,38,3.0,0.0
5190,5191,28-03-2020,Rajasthan,54,51,3.0,0.0
5191,5192,29-03-2020,Rajasthan,54,51,3.0,0.0
5192,5193,30-03-2020,Rajasthan,57,54,3.0,0.0
5193,5194,31-03-2020,Rajasthan,74,71,3.0,0.0
5194,5195,01-04-2020,Rajasthan,93,90,3.0,0.0
5195,5196,02-04-2020,Rajasthan,108,105,3.0,0.0
5196,5197,03-04-2020,Rajasthan,133,130,3.0,0.0
5197,5198,04-04-2020,Rajasthan,179,176,3.0,0.0
5198,5199,05-04-2020,Rajasthan,200,179,21.0,0.0
5199,5200,06-04-2020,Rajasthan,253,232,21.0,0.0
5200,5201,07-04-2020,Rajasthan,288,264,21.0,3.0
5201,5202,08-04-2020,Rajasthan,328,304,21.0,3.0
5202,5203,09-04-2020,Rajasthan,381,357,21.0,3.0
5203,5204,10-04-2020,Rajasthan,463,439,21.0,3.0
5204,5205,11-04-2020,Rajasthan,553,529,21.0,3.0
5205,5206,12-04-2020,Rajasthan,700,676,21.0,3.0
5206,5207,13-04-2020,Rajasthan,772,748,21.0,3.0
5207,5208,14-04-2020,Rajasthan,873,849,21.0,3.0
5208,5209,15-04-2020,Rajasthan,969,819,147.0,3.0
5209,5210,16-04-2020,Rajasthan,1023,873,147.0,3.0
5210,5211,17-04-2020,Rajasthan,1131,964,164.0,3.0
5211,5212,18-04-2020,Rajasthan,1229,1035,183.0,11.0
5212,5213,19-04-2020,Rajasthan,1351,1157,183.0,11.0
5213,5214,20-04-2020,Rajasthan,1478,1281,183.0,14.0
5214,5215,21-04-2020,Rajasthan,1576,1346,205.0,25.0
5215,5216,22-04-2020,Rajasthan,1659,1404,230.0,25.0
5216,5217,23-04-2020,Rajasthan,1890,1633,230.0,27.0
5217,5218,24-04-2020,Rajasthan,1964,1707,230.0,27.0
5218,5219,25-04-2020,Rajasthan,2034,1777,230.0,27.0
5219,5220,26-04-2020,Rajasthan,2083,1557,493.0,33.0
5220,5221,27-04-2020,Rajasthan,2185,1634,518.0,33.0
5221,5222,28-04-2020,Rajasthan,2262,1547,669.0,46.0
5222,5223,29-04-2020,Rajasthan,2364,1545,768.0,51.0
5223,5224,30-04-2020,Rajasthan,2438,1619,768.0,51.0
5224,5225,01-05-2020,Rajasthan,2584,1690,836.0,58.0
5225,5226,02-05-2020,Rajasthan,2666,1488,1116.0,62.0
5226,5227,03-05-2020,Rajasthan,2770,1584,1121.0,65.0
5227,5228,04-05-2020,Rajasthan,2886,1459,1356.0,71.0
5228,5229,05-05-2020,Rajasthan,3061,1590,1394.0,77.0
5229,5230,06-05-2020,Rajasthan,3158,1544,1525.0,89.0
5230,5231,07-05-2020,Rajasthan,3317,1629,1596.0,92.0
5231,5232,08-05-2020,Rajasthan,3427,1734,1596.0,97.0
5232,5233,09-05-2020,Rajasthan,3579,1562,1916.0,101.0
5233,5234,10-05-2020,Rajasthan,3708,1576,2026.0,106.0
5234,5235,11-05-2020,Rajasthan,3814,1531,2176.0,107.0
5235,5236,12-05-2020,Rajasthan,3988,1611,2264.0,113.0
5236,5237,13-05-2020,Rajasthan,4126,1631,2378.0,117.0
5237,5238,14-05-2020,Rajasthan,4328,1748,2459.0,121.0
5238,5239,15-05-2020,Rajasthan,4534,1829,2580.0,125.0
5239,5240,16-05-2020,Rajasthan,4727,1925,2677.0,125.0
5240,5241,17-05-2020,Rajasthan,4960,1995,2839.0,126.0
5241,5242,18-05-2020,Rajasthan,5202,2079,2992.0,131.0
5242,5243,19-05-2020,Rajasthan,5507,2151,3218.0,138.0
5243,5244,20-05-2020,Rajasthan,5845,2365,3337.0,143.0
5244,5245,21-05-2020,Rajasthan,6015,2464,3404.0,147.0
