,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5369,5370,24-05-2020,Sikkim,1,1,0.0,0.0
5370,5371,25-05-2020,Sikkim,1,1,0.0,0.0
5371,5372,26-05-2020,Sikkim,1,1,0.0,0.0
5372,5373,27-05-2020,Sikkim,1,1,0.0,0.0
5373,5374,28-05-2020,Sikkim,1,1,0.0,0.0
5374,5375,29-05-2020,Sikkim,1,1,0.0,0.0
5375,5376,30-05-2020,Sikkim,1,1,0.0,0.0
5376,5377,31-05-2020,Sikkim,1,1,0.0,0.0
5377,5378,01-06-2020,Sikkim,1,1,0.0,0.0
5378,5379,02-06-2020,Sikkim,1,1,0.0,0.0
5379,5380,03-06-2020,Sikkim,1,1,0.0,0.0
5380,5381,04-06-2020,Sikkim,2,2,0.0,0.0
5381,5382,05-06-2020,Sikkim,2,2,0.0,0.0
5382,5383,06-06-2020,Sikkim,3,3,0.0,0.0
5383,5384,07-06-2020,Sikkim,7,7,0.0,0.0
5384,5385,08-06-2020,Sikkim,7,7,0.0,0.0
5385,5386,09-06-2020,Sikkim,7,7,0.0,0.0
5386,5387,10-06-2020,Sikkim,13,13,0.0,0.0
5387,5388,11-06-2020,Sikkim,13,13,0.0,0.0
5388,5389,12-06-2020,Sikkim,14,12,2.0,0.0
5389,5390,13-06-2020,Sikkim,63,61,2.0,0.0
5390,5391,14-06-2020,Sikkim,63,59,4.0,0.0
5391,5392,15-06-2020,Sikkim,68,64,4.0,0.0
5392,5393,16-06-2020,Sikkim,68,64,4.0,0.0
5393,5394,17-06-2020,Sikkim,70,66,4.0,0.0
5394,5395,18-06-2020,Sikkim,70,66,4.0,0.0
5395,5396,19-06-2020,Sikkim,70,65,5.0,0.0
5396,5397,20-06-2020,Sikkim,70,65,5.0,0.0
5397,5398,21-06-2020,Sikkim,70,45,25.0,0.0
5398,5399,22-06-2020,Sikkim,78,53,25.0,0.0
5399,5400,23-06-2020,Sikkim,78,49,29.0,0.0
5400,5401,24-06-2020,Sikkim,79,50,29.0,0.0
5401,5402,25-06-2020,Sikkim,84,45,39.0,0.0
5402,5403,26-06-2020,Sikkim,85,46,39.0,0.0
5403,5404,27-06-2020,Sikkim,86,47,39.0,0.0
5404,5405,28-06-2020,Sikkim,87,41,46.0,0.0
5405,5406,29-06-2020,Sikkim,88,39,49.0,0.0
5406,5407,30-06-2020,Sikkim,88,38,50.0,0.0
5407,5408,01-07-2020,Sikkim,89,37,52.0,0.0
5408,5409,02-07-2020,Sikkim,101,48,53.0,0.0
5409,5410,03-07-2020,Sikkim,102,49,53.0,0.0
5410,5411,04-07-2020,Sikkim,102,49,53.0,0.0
5411,5412,05-07-2020,Sikkim,103,45,58.0,0.0
5412,5413,06-07-2020,Sikkim,123,62,61.0,0.0
5413,5414,07-07-2020,Sikkim,125,60,65.0,0.0
5414,5415,08-07-2020,Sikkim,125,55,70.0,0.0
5415,5416,09-07-2020,Sikkim,133,62,71.0,0.0
5416,5417,10-07-2020,Sikkim,134,62,72.0,0.0
5417,5418,11-07-2020,Sikkim,134,54,80.0,0.0
5418,5419,12-07-2020,Sikkim,151,71,80.0,0.0
5419,5420,13-07-2020,Sikkim,153,72,81.0,0.0
5420,5421,14-07-2020,Sikkim,192,106,86.0,0.0
5421,5422,15-07-2020,Sikkim,209,122,87.0,0.0
5422,5423,16-07-2020,Sikkim,220,133,87.0,0.0
5423,5424,17-07-2020,Sikkim,243,155,88.0,0.0
5424,5425,18-07-2020,Sikkim,266,176,90.0,0.0
5425,5426,19-07-2020,Sikkim,275,185,90.0,0.0
5426,5427,20-07-2020,Sikkim,283,191,92.0,0.0
5427,5428,21-07-2020,Sikkim,305,213,92.0,0.0
5428,5429,22-07-2020,Sikkim,330,222,108.0,0.0
5429,5430,23-07-2020,Sikkim,438,326,112.0,0.0
5430,5431,24-07-2020,Sikkim,460,338,122.0,0.0
5431,5432,25-07-2020,Sikkim,477,335,142.0,0.0
5432,5433,26-07-2020,Sikkim,499,357,142.0,0.0
5433,5434,27-07-2020,Sikkim,545,397,148.0,0.0
5434,5435,28-07-2020,Sikkim,555,380,174.0,1.0
5435,5436,29-07-2020,Sikkim,579,392,186.0,1.0
5436,5437,30-07-2020,Sikkim,596,397,198.0,1.0
5437,5438,31-07-2020,Sikkim,610,395,214.0,1.0
5438,5439,01-08-2020,Sikkim,639,407,231.0,1.0
5439,5440,02-08-2020,Sikkim,650,380,269.0,1.0
5440,5441,03-08-2020,Sikkim,658,368,289.0,1.0
5441,5442,04-08-2020,Sikkim,688,390,297.0,1.0
5442,5443,05-08-2020,Sikkim,783,483,299.0,1.0
5443,5444,06-08-2020,Sikkim,800,496,303.0,1.0
5444,5445,07-08-2020,Sikkim,829,475,353.0,1.0
5445,5446,08-08-2020,Sikkim,854,447,406.0,1.0
5446,5447,09-08-2020,Sikkim,860,389,470.0,1.0
5447,5448,10-08-2020,Sikkim,866,371,494.0,1.0
5448,5449,11-08-2020,Sikkim,910,399,510.0,1.0
5449,5450,12-08-2020,Sikkim,913,378,534.0,1.0
5450,5451,13-08-2020,Sikkim,930,379,550.0,1.0
5451,5452,14-08-2020,Sikkim,931,349,581.0,1.0
5452,5453,15-08-2020,Sikkim,1080,456,623.0,1.0
5453,5454,16-08-2020,Sikkim,1148,486,661.0,1.0
5454,5455,17-08-2020,Sikkim,1167,493,673.0,1.0
5455,5456,18-08-2020,Sikkim,1187,485,701.0,1.0
5456,5457,19-08-2020,Sikkim,1207,450,755.0,2.0
5457,5458,20-08-2020,Sikkim,1232,440,789.0,3.0
5458,5459,21-08-2020,Sikkim,1290,460,827.0,3.0
5459,5460,22-08-2020,Sikkim,1336,499,834.0,3.0
5460,5461,23-08-2020,Sikkim,1381,507,871.0,3.0
5461,5462,24-08-2020,Sikkim,1403,529,871.0,3.0
5462,5463,25-08-2020,Sikkim,1446,509,934.0,3.0
5463,5464,26-08-2020,Sikkim,1475,418,1054.0,3.0
5464,5465,27-08-2020,Sikkim,1486,407,1076.0,3.0
5465,5466,28-08-2020,Sikkim,1542,388,1151.0,3.0
5466,5467,29-08-2020,Sikkim,1576,389,1184.0,3.0
5467,5468,30-08-2020,Sikkim,1602,404,1195.0,3.0
5468,5469,31-08-2020,Sikkim,1627,404,1220.0,3.0
5469,5470,01-09-2020,Sikkim,1652,424,1225.0,3.0
5470,5471,02-09-2020,Sikkim,1670,429,1237.0,4.0
5471,5472,03-09-2020,Sikkim,1704,431,1269.0,4.0
5472,5473,04-09-2020,Sikkim,1738,430,1304.0,4.0
5473,5474,05-09-2020,Sikkim,1843,509,1329.0,5.0
5474,5475,06-09-2020,Sikkim,1901,549,1347.0,5.0
5475,5476,07-09-2020,Sikkim,1910,534,1371.0,5.0
5476,5477,08-09-2020,Sikkim,1939,538,1396.0,5.0
5477,5478,09-09-2020,Sikkim,1958,538,1413.0,7.0
5478,5479,10-09-2020,Sikkim,1989,553,1429.0,7.0
5479,5480,11-09-2020,Sikkim,2009,532,1470.0,7.0
5480,5481,12-09-2020,Sikkim,2026,532,1486.0,8.0
5481,5482,13-09-2020,Sikkim,2055,541,1503.0,11.0
5482,5483,14-09-2020,Sikkim,2086,567,1505.0,14.0
5483,5484,15-09-2020,Sikkim,2119,582,1521.0,16.0
5484,5485,16-09-2020,Sikkim,2173,464,1690.0,19.0
5485,5486,17-09-2020,Sikkim,2221,480,1722.0,19.0
5486,5487,18-09-2020,Sikkim,2274,463,1789.0,22.0
5487,5488,19-09-2020,Sikkim,2303,422,1857.0,24.0
5488,5489,20-09-2020,Sikkim,2423,426,1972.0,25.0
5489,5490,21-09-2020,Sikkim,2472,469,1975.0,28.0
5490,5491,22-09-2020,Sikkim,2528,513,1986.0,29.0
