,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5491,5492,12-03-2020,State assignment pending,0,0,0.0,0.0
5492,5493,13-03-2020,State assignment pending,0,0,0.0,0.0
5493,5494,14-03-2020,State assignment pending,0,0,0.0,0.0
5494,5495,15-03-2020,State assignment pending,0,0,0.0,0.0
5495,5496,16-03-2020,State assignment pending,0,0,0.0,0.0
5496,5497,17-03-2020,State assignment pending,0,0,0.0,0.0
5497,5498,18-03-2020,State assignment pending,0,0,0.0,0.0
5498,5499,19-03-2020,State assignment pending,0,0,0.0,0.0
5499,5500,20-03-2020,State assignment pending,0,0,0.0,0.0
5500,5501,21-03-2020,State assignment pending,0,0,0.0,0.0
5501,5502,22-03-2020,State assignment pending,0,0,0.0,0.0
5502,5503,23-03-2020,State assignment pending,0,0,0.0,0.0
5503,5504,24-03-2020,State assignment pending,0,0,0.0,0.0
5504,5505,25-03-2020,State assignment pending,0,0,0.0,0.0
5505,5506,26-03-2020,State assignment pending,0,0,0.0,0.0
5506,5507,27-03-2020,State assignment pending,0,0,0.0,0.0
5507,5508,28-03-2020,State assignment pending,0,0,0.0,0.0
5508,5509,29-03-2020,State assignment pending,0,0,0.0,0.0
5509,5510,30-03-2020,State assignment pending,0,0,0.0,0.0
5510,5511,31-03-2020,State assignment pending,38,38,0.0,0.0
5511,5512,03-04-2020,State assignment pending,18,18,,
5512,5513,01-05-2020,State assignment pending,291,291,0.0,0.0
5513,5514,02-05-2020,State assignment pending,179,179,0.0,0.0
5514,5515,03-05-2020,State assignment pending,124,124,0.0,0.0
5515,5516,16-05-2020,State assignment pending,230,230,0.0,0.0
5516,5517,17-05-2020,State assignment pending,290,290,0.0,0.0
5517,5518,18-05-2020,State assignment pending,410,410,0.0,0.0
5518,5519,19-05-2020,State assignment pending,814,814,0.0,0.0
5519,5520,20-05-2020,State assignment pending,1096,1096,0.0,0.0
5520,5521,21-05-2020,State assignment pending,1403,1403,0.0,0.0
5521,5522,22-05-2020,State assignment pending,1620,1620,0.0,0.0
5522,5523,23-05-2020,State assignment pending,1899,1899,0.0,0.0
5523,5524,24-05-2020,State assignment pending,2338,2338,0.0,0.0
5524,5525,25-05-2020,State assignment pending,2642,2642,0.0,0.0
5525,5526,26-05-2020,State assignment pending,2970,2970,0.0,0.0
5526,5527,27-05-2020,State assignment pending,4013,4013,0.0,0.0
5527,5528,28-05-2020,State assignment pending,4332,4332,0.0,0.0
5528,5529,29-05-2020,State assignment pending,4673,4673,0.0,0.0
5529,5530,30-05-2020,State assignment pending,5043,5043,0.0,0.0
5530,5531,31-05-2020,State assignment pending,5491,5491,0.0,0.0
5531,5532,01-06-2020,State assignment pending,5630,5630,0.0,0.0
5532,5533,02-06-2020,State assignment pending,6414,6414,0.0,0.0
5533,5534,03-06-2020,State assignment pending,7123,7123,0.0,0.0
5534,5535,04-06-2020,State assignment pending,7483,7483,0.0,0.0
5535,5536,05-06-2020,State assignment pending,7610,7610,0.0,0.0
5536,5537,06-06-2020,State assignment pending,8192,8192,0.0,0.0
5537,5538,07-06-2020,State assignment pending,8605,8605,0.0,0.0
5538,5539,08-06-2020,State assignment pending,9189,9189,0.0,0.0
5539,5540,09-06-2020,State assignment pending,8803,8803,0.0,0.0
5540,5541,10-06-2020,State assignment pending,9227,9227,0.0,0.0
5541,5542,11-06-2020,State assignment pending,8931,8931,0.0,0.0
5542,5543,12-06-2020,State assignment pending,8315,8315,0.0,0.0
5543,5544,13-06-2020,State assignment pending,7984,7984,0.0,0.0
5544,5545,14-06-2020,State assignment pending,7436,7436,0.0,0.0
5545,5546,15-06-2020,State assignment pending,6972,6972,0.0,0.0
5546,5547,16-06-2020,State assignment pending,7684,7684,0.0,0.0
5547,5548,17-06-2020,State assignment pending,8273,8273,0.0,0.0
5548,5549,18-06-2020,State assignment pending,8703,8703,0.0,0.0
5549,5550,19-06-2020,State assignment pending,8927,8927,0.0,0.0
5550,5551,20-06-2020,State assignment pending,9265,9265,0.0,0.0
5551,5552,21-06-2020,State assignment pending,9127,9127,0.0,0.0
5552,5553,22-06-2020,State assignment pending,7832,7832,0.0,0.0
5553,5554,23-06-2020,State assignment pending,8015,8015,0.0,0.0
5554,5555,24-06-2020,State assignment pending,8141,8141,0.0,0.0
5555,5556,25-06-2020,State assignment pending,8493,8493,0.0,0.0
5556,5557,26-06-2020,State assignment pending,8123,8123,0.0,0.0
5557,5558,27-06-2020,State assignment pending,8023,8023,0.0,0.0
5558,5559,28-06-2020,State assignment pending,7839,7839,0.0,0.0
5559,5560,29-06-2020,State assignment pending,7285,7285,0.0,0.0
5560,5561,30-06-2020,State assignment pending,7004,7004,0.0,0.0
5561,5562,01-07-2020,State assignment pending,6915,6915,0.0,0.0
5562,5563,02-07-2020,State assignment pending,6832,6832,0.0,0.0
5563,5564,03-07-2020,State assignment pending,6031,6031,0.0,0.0
5564,5565,04-07-2020,State assignment pending,4999,4999,0.0,0.0
5565,5566,05-07-2020,State assignment pending,4629,4629,0.0,0.0
5566,5567,06-07-2020,State assignment pending,4913,4913,0.0,0.0
5567,5568,07-07-2020,State assignment pending,5034,5034,0.0,0.0
5568,5569,08-07-2020,State assignment pending,5018,5018,0.0,0.0
5569,5570,09-07-2020,State assignment pending,4385,4385,0.0,0.0
5570,5571,10-07-2020,State assignment pending,4161,4161,0.0,0.0
5571,5572,11-07-2020,State assignment pending,3416,3416,0.0,0.0
5572,5573,12-07-2020,State assignment pending,3024,3024,0.0,0.0
5573,5574,13-07-2020,State assignment pending,2358,2358,0.0,0.0
5574,5575,14-07-2020,State assignment pending,2179,2179,0.0,0.0
5575,5576,15-07-2020,State assignment pending,1524,1524,0.0,0.0
5576,5577,16-07-2020,State assignment pending,1285,1285,0.0,0.0
5577,5578,17-07-2020,State assignment pending,531,531,0.0,0.0
5578,5579,18-07-2020,State assignment pending,163,163,0.0,0.0
