,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5579,5580,12-03-2020,Tamil Nadu,1,1,0.0,0.0
5580,5581,13-03-2020,Tamil Nadu,1,1,0.0,0.0
5581,5582,14-03-2020,Tamil Nadu,1,1,0.0,0.0
5582,5583,15-03-2020,Tamil Nadu,1,1,0.0,0.0
5583,5584,16-03-2020,Tamil Nadu,1,1,0.0,0.0
5584,5585,17-03-2020,Tamil Nadu,1,1,0.0,0.0
5585,5586,18-03-2020,Tamil Nadu,1,1,0.0,0.0
5586,5587,19-03-2020,Tamil Nadu,2,1,1.0,0.0
5587,5588,20-03-2020,Tamil Nadu,3,2,1.0,0.0
5588,5589,21-03-2020,Tamil Nadu,3,2,1.0,0.0
5589,5590,22-03-2020,Tamil Nadu,7,6,1.0,0.0
5590,5591,23-03-2020,Tamil Nadu,9,8,1.0,0.0
5591,5592,24-03-2020,Tamil Nadu,12,11,1.0,0.0
5592,5593,25-03-2020,Tamil Nadu,15,14,1.0,0.0
5593,5594,26-03-2020,Tamil Nadu,26,24,1.0,1.0
5594,5595,27-03-2020,Tamil Nadu,29,27,1.0,1.0
5595,5596,28-03-2020,Tamil Nadu,40,37,2.0,1.0
5596,5597,29-03-2020,Tamil Nadu,42,39,2.0,1.0
5597,5598,30-03-2020,Tamil Nadu,50,45,4.0,1.0
5598,5599,31-03-2020,Tamil Nadu,74,69,4.0,1.0
5599,5600,01-04-2020,Tamil Nadu,124,119,4.0,1.0
5600,5601,02-04-2020,Tamil Nadu,234,227,6.0,1.0
5601,5602,03-04-2020,Tamil Nadu,309,302,6.0,1.0
5602,5603,04-04-2020,Tamil Nadu,411,404,6.0,1.0
5603,5604,05-04-2020,Tamil Nadu,485,476,6.0,3.0
5604,5605,06-04-2020,Tamil Nadu,571,558,8.0,5.0
5605,5606,07-04-2020,Tamil Nadu,621,608,8.0,5.0
5606,5607,08-04-2020,Tamil Nadu,690,664,19.0,7.0
5607,5608,09-04-2020,Tamil Nadu,738,709,21.0,8.0
5608,5609,10-04-2020,Tamil Nadu,834,805,21.0,8.0
5609,5610,11-04-2020,Tamil Nadu,911,859,44.0,8.0
5610,5611,12-04-2020,Tamil Nadu,969,915,44.0,10.0
5611,5612,13-04-2020,Tamil Nadu,1075,1014,50.0,11.0
5612,5613,14-04-2020,Tamil Nadu,1173,1104,58.0,11.0
5613,5614,15-04-2020,Tamil Nadu,1204,1111,81.0,12.0
5614,5615,16-04-2020,Tamil Nadu,1242,1110,118.0,14.0
5615,5616,17-04-2020,Tamil Nadu,1267,1072,180.0,15.0
5616,5617,18-04-2020,Tamil Nadu,1323,1025,283.0,15.0
5617,5618,19-04-2020,Tamil Nadu,1372,992,365.0,15.0
5618,5619,20-04-2020,Tamil Nadu,1477,1051,411.0,15.0
5619,5620,21-04-2020,Tamil Nadu,1520,1046,457.0,17.0
5620,5621,22-04-2020,Tamil Nadu,1596,943,635.0,18.0
5621,5622,23-04-2020,Tamil Nadu,1629,949,662.0,18.0
5622,5623,24-04-2020,Tamil Nadu,1683,911,752.0,20.0
5623,5624,25-04-2020,Tamil Nadu,1755,867,866.0,22.0
5624,5625,26-04-2020,Tamil Nadu,1821,838,960.0,23.0
5625,5626,27-04-2020,Tamil Nadu,1885,841,1020.0,24.0
5626,5627,28-04-2020,Tamil Nadu,1937,812,1101.0,24.0
5627,5628,29-04-2020,Tamil Nadu,2058,865,1168.0,25.0
5628,5629,30-04-2020,Tamil Nadu,2162,925,1210.0,27.0
5629,5630,01-05-2020,Tamil Nadu,2323,1038,1258.0,27.0
5630,5631,02-05-2020,Tamil Nadu,2526,1186,1312.0,28.0
5631,5632,03-05-2020,Tamil Nadu,2757,1387,1341.0,29.0
5632,5633,04-05-2020,Tamil Nadu,3023,1614,1379.0,30.0
5633,5634,05-05-2020,Tamil Nadu,3550,2110,1409.0,31.0
5634,5635,06-05-2020,Tamil Nadu,4058,2540,1485.0,33.0
5635,5636,07-05-2020,Tamil Nadu,4829,3278,1516.0,35.0
5636,5637,08-05-2020,Tamil Nadu,5409,3825,1547.0,37.0
5637,5638,09-05-2020,Tamil Nadu,6009,4364,1605.0,40.0
5638,5639,10-05-2020,Tamil Nadu,6535,4667,1824.0,44.0
5639,5640,11-05-2020,Tamil Nadu,7204,5198,1959.0,47.0
5640,5641,12-05-2020,Tamil Nadu,8002,5898,2051.0,53.0
5641,5642,13-05-2020,Tamil Nadu,8718,6523,2134.0,61.0
5642,5643,14-05-2020,Tamil Nadu,9227,6987,2176.0,64.0
5643,5644,15-05-2020,Tamil Nadu,9674,7368,2240.0,66.0
5644,5645,16-05-2020,Tamil Nadu,10108,7438,2599.0,71.0
5645,5646,17-05-2020,Tamil Nadu,10585,6973,3538.0,74.0
5646,5647,18-05-2020,Tamil Nadu,11224,6974,4172.0,78.0
5647,5648,19-05-2020,Tamil Nadu,11760,7273,4406.0,81.0
5648,5649,20-05-2020,Tamil Nadu,12448,7469,4895.0,84.0
5649,5650,21-05-2020,Tamil Nadu,13191,7222,5882.0,87.0
5650,5651,22-05-2020,Tamil Nadu,13967,7591,6282.0,94.0
5651,5652,23-05-2020,Tamil Nadu,14753,7527,7128.0,98.0
5652,5653,24-05-2020,Tamil Nadu,15512,7918,7491.0,103.0
5653,5654,25-05-2020,Tamil Nadu,16277,7842,8324.0,111.0
5654,5655,26-05-2020,Tamil Nadu,17082,8233,8731.0,118.0
5655,5656,27-05-2020,Tamil Nadu,17728,8259,9342.0,127.0
5656,5657,28-05-2020,Tamil Nadu,18545,8503,9909.0,133.0
5657,5658,29-05-2020,Tamil Nadu,19372,8679,10548.0,145.0
5658,5659,30-05-2020,Tamil Nadu,20246,8779,11313.0,154.0
5659,5660,31-05-2020,Tamil Nadu,21184,9024,12000.0,160.0
5660,5661,01-06-2020,Tamil Nadu,22333,9403,12757.0,173.0
5661,5662,02-06-2020,Tamil Nadu,23495,10141,13170.0,184.0
5662,5663,03-06-2020,Tamil Nadu,24586,10683,13706.0,197.0
5663,5664,04-06-2020,Tamil Nadu,25872,11348,14316.0,208.0
5664,5665,05-06-2020,Tamil Nadu,27256,12134,14902.0,220.0
5665,5666,06-06-2020,Tamil Nadu,28694,12700,15762.0,232.0
5666,5667,07-06-2020,Tamil Nadu,30152,13506,16395.0,251.0
5667,5668,08-06-2020,Tamil Nadu,31667,14399,16999.0,269.0
5668,5669,09-06-2020,Tamil Nadu,33229,15416,17527.0,286.0
5669,5670,10-06-2020,Tamil Nadu,34914,16282,18325.0,307.0
5670,5671,11-06-2020,Tamil Nadu,36841,17182,19333.0,326.0
5671,5672,12-06-2020,Tamil Nadu,38716,17662,20705.0,349.0
5672,5673,13-06-2020,Tamil Nadu,40698,18284,22047.0,367.0
5673,5674,14-06-2020,Tamil Nadu,42687,18881,23409.0,397.0
5674,5675,15-06-2020,Tamil Nadu,44661,19679,24547.0,435.0
