,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5774,5775,12-03-2020,Telangana,1,1,0.0,0.0
5775,5776,13-03-2020,Telangana,1,1,0.0,0.0
5776,5777,14-03-2020,Telangana,1,1,0.0,0.0
5777,5778,15-03-2020,Telangana,3,2,1.0,0.0
5778,5779,16-03-2020,Telangana,3,2,1.0,0.0
5779,5780,17-03-2020,Telangana,5,4,1.0,0.0
5780,5781,18-03-2020,Telangana,5,4,1.0,0.0
5781,5782,19-03-2020,Telangana,6,5,1.0,0.0
5782,5783,20-03-2020,Telangana,16,15,1.0,0.0
5783,5784,21-03-2020,Telangana,19,18,1.0,0.0
5784,5785,22-03-2020,Telangana,22,21,1.0,0.0
5785,5786,23-03-2020,Telangana,32,31,1.0,0.0
5786,5787,24-03-2020,Telangana,32,31,1.0,0.0
5787,5788,25-03-2020,Telangana,35,34,1.0,0.0
5788,5789,26-03-2020,Telangana,41,40,1.0,0.0
5789,5790,27-03-2020,Telangana,45,44,1.0,0.0
5790,5791,28-03-2020,Telangana,56,55,1.0,0.0
5791,5792,29-03-2020,Telangana,66,64,1.0,1.0
5792,5793,30-03-2020,Telangana,69,67,1.0,1.0
5793,5794,31-03-2020,Telangana,79,77,1.0,1.0
5794,5795,01-04-2020,Telangana,94,90,1.0,3.0
5795,5796,02-04-2020,Telangana,96,92,1.0,3.0
5796,5797,03-04-2020,Telangana,107,103,1.0,3.0
5797,5798,04-04-2020,Telangana,158,150,1.0,7.0
5798,5799,05-04-2020,Telangana,269,230,32.0,7.0
5799,5800,06-04-2020,Telangana,321,280,34.0,7.0
5800,5801,07-04-2020,Telangana,321,280,34.0,7.0
5801,5802,08-04-2020,Telangana,364,322,35.0,7.0
5802,5803,09-04-2020,Telangana,427,385,35.0,7.0
5803,5804,10-04-2020,Telangana,442,400,35.0,7.0
5804,5805,11-04-2020,Telangana,473,423,43.0,7.0
5805,5806,12-04-2020,Telangana,504,452,43.0,9.0
5806,5807,13-04-2020,Telangana,504,452,43.0,9.0
5807,5808,14-04-2020,Telangana,562,446,100.0,16.0
5808,5809,15-04-2020,Telangana,624,507,100.0,17.0
5809,5810,16-04-2020,Telangana,647,509,120.0,18.0
5810,5811,17-04-2020,Telangana,700,496,186.0,18.0
5811,5812,18-04-2020,Telangana,766,562,186.0,18.0
5812,5813,19-04-2020,Telangana,809,605,186.0,18.0
5813,5814,20-04-2020,Telangana,844,640,186.0,18.0
5814,5815,21-04-2020,Telangana,873,660,190.0,23.0
5815,5816,22-04-2020,Telangana,928,711,194.0,23.0
5816,5817,23-04-2020,Telangana,945,728,194.0,23.0
5817,5818,24-04-2020,Telangana,960,739,197.0,24.0
5818,5819,25-04-2020,Telangana,984,705,253.0,26.0
5819,5820,26-04-2020,Telangana,991,685,280.0,26.0
5820,5821,27-04-2020,Telangana,1002,696,280.0,26.0
5821,5822,28-04-2020,Telangana,1004,657,321.0,26.0
5822,5823,29-04-2020,Telangana,1004,657,321.0,26.0
5823,5824,30-04-2020,Telangana,1012,619,367.0,26.0
5824,5825,01-05-2020,Telangana,1038,615,397.0,26.0
5825,5826,02-05-2020,Telangana,1039,572,441.0,26.0
5826,5827,03-05-2020,Telangana,1063,577,458.0,28.0
5827,5828,04-05-2020,Telangana,1082,563,490.0,29.0
5828,5829,05-05-2020,Telangana,1085,471,585.0,29.0
5829,5830,06-05-2020,Telangana,1096,482,585.0,29.0
5830,5831,07-05-2020,Telangana,1107,450,628.0,29.0
5831,5832,08-05-2020,Telangana,1123,444,650.0,29.0
5832,5833,09-05-2020,Telangana,1133,404,700.0,29.0
5833,5834,10-05-2020,Telangana,1163,383,750.0,30.0
5834,5835,11-05-2020,Telangana,1196,416,750.0,30.0
5835,5836,12-05-2020,Telangana,1275,445,800.0,30.0
5836,5837,13-05-2020,Telangana,1326,464,830.0,32.0
5837,5838,14-05-2020,Telangana,1367,393,940.0,34.0
5838,5839,15-05-2020,Telangana,1414,430,950.0,34.0
5839,5840,16-05-2020,Telangana,1454,461,959.0,34.0
5840,5841,17-05-2020,Telangana,1509,504,971.0,34.0
5841,5842,18-05-2020,Telangana,1551,525,992.0,34.0
5842,5843,19-05-2020,Telangana,1597,562,1000.0,35.0
5843,5844,20-05-2020,Telangana,1634,586,1010.0,38.0
5844,5845,21-05-2020,Telangana,1661,606,1015.0,40.0
5845,5846,22-05-2020,Telangana,1699,619,1035.0,45.0
5846,5847,23-05-2020,Telangana,1761,673,1043.0,45.0
5847,5848,24-05-2020,Telangana,1813,699,1065.0,49.0
5848,5849,25-05-2020,Telangana,1854,711,1090.0,53.0
5849,5850,26-05-2020,Telangana,1920,700,1164.0,56.0
5850,5851,27-05-2020,Telangana,1991,650,1284.0,57.0
5851,5852,28-05-2020,Telangana,2098,751,1284.0,63.0
5852,5853,29-05-2020,Telangana,2256,844,1345.0,67.0
5853,5854,30-05-2020,Telangana,2425,973,1381.0,71.0
5854,5855,31-05-2020,Telangana,2499,1010,1412.0,77.0
5855,5856,01-06-2020,Telangana,2698,1188,1428.0,82.0
5856,5857,02-06-2020,Telangana,2792,1213,1491.0,88.0
5857,5858,03-06-2020,Telangana,2891,1273,1526.0,92.0
5858,5859,04-06-2020,Telangana,3020,1365,1556.0,99.0
5859,5860,05-06-2020,Telangana,3147,1455,1587.0,105.0
5860,5861,06-06-2020,Telangana,3290,1550,1627.0,113.0
5861,5862,07-06-2020,Telangana,3496,1663,1710.0,123.0
5862,5863,08-06-2020,Telangana,3580,1747,1710.0,123.0
5863,5864,09-06-2020,Telangana,3650,1803,1710.0,137.0
5864,5865,10-06-2020,Telangana,3920,1963,1809.0,148.0
5865,5866,11-06-2020,Telangana,4111,2138,1817.0,156.0
5866,5867,12-06-2020,Telangana,4320,2162,1993.0,165.0
5867,5868,13-06-2020,Telangana,4484,2032,2278.0,174.0
5868,5869,14-06-2020,Telangana,4737,2203,2352.0,182.0
5869,5870,15-06-2020,Telangana,4974,2412,2377.0,185.0
5870,5871,16-06-2020,Telangana,5193,2240,2766.0,187.0
5871,5872,17-06-2020,Telangana,5406,2188,3027.0,191.0
5872,5873,18-06-2020,Telangana,5675,2412,3071.0,192.0
5873,5874,19-06-2020,Telangana,6027,2531,3301.0,195.0
5874,5875,20-06-2020,Telangana,6526,2975,3353.0,198.0
5875,5876,21-06-2020,Telangana,7072,3363,3506.0,203.0
5876,5877,22-06-2020,Telangana,7802,3861,3731.0,210.0
5877,5878,23-06-2020,Telangana,8674,4452,4005.0,217.0
5878,5879,24-06-2020,Telangana,9553,5109,4224.0,220.0
5879,5880,25-06-2020,Telangana,10444,5858,4361.0,225.0
5880,5881,26-06-2020,Telangana,11364,6446,4688.0,230.0
5881,5882,27-06-2020,Telangana,12349,7346,4766.0,237.0
5882,5883,28-06-2020,Telangana,13436,8265,4928.0,243.0
5883,5884,29-06-2020,Telangana,14419,9000,5172.0,247.0
5884,5885,30-06-2020,Telangana,15394,9559,5582.0,253.0
5885,5886,01-07-2020,Telangana,16339,8785,7294.0,260.0
5886,5887,02-07-2020,Telangana,17357,9008,8082.0,267.0
5887,5888,03-07-2020,Telangana,18570,9226,9069.0,275.0
5888,5889,04-07-2020,Telangana,20462,9984,10195.0,283.0
5889,5890,05-07-2020,Telangana,22312,10487,11537.0,288.0
5890,5891,06-07-2020,Telangana,23902,10904,12703.0,295.0
5891,5892,07-07-2020,Telangana,25733,10646,14781.0,306.0
5892,5893,08-07-2020,Telangana,27612,11012,16287.0,313.0
5893,5894,09-07-2020,Telangana,29536,11933,17279.0,324.0
5894,5895,10-07-2020,Telangana,30946,12423,18192.0,331.0
5895,5896,11-07-2020,Telangana,32224,12680,19205.0,339.0
5896,5897,12-07-2020,Telangana,33402,12135,20919.0,348.0
5897,5898,13-07-2020,Telangana,34671,11833,22482.0,356.0
5898,5899,14-07-2020,Telangana,36221,12177,23679.0,365.0
5899,5900,15-07-2020,Telangana,37745,12530,24840.0,375.0
5900,5901,16-07-2020,Telangana,39342,12957,25999.0,386.0
5901,5902,17-07-2020,Telangana,41018,13327,27295.0,396.0
5902,5903,18-07-2020,Telangana,42496,13388,28705.0,403.0
5903,5904,19-07-2020,Telangana,43780,12764,30607.0,409.0
5904,5905,20-07-2020,Telangana,45076,12223,32438.0,415.0
5905,5906,21-07-2020,Telangana,46274,11529,34323.0,422.0
5906,5907,22-07-2020,Telangana,47705,9891,37385.0,429.0
5907,5908,23-07-2020,Telangana,49259,11155,37666.0,438.0
5908,5909,24-07-2020,Telangana,50826,11052,39327.0,447.0
5909,5910,25-07-2020,Telangana,52466,11677,40334.0,455.0
5910,5911,26-07-2020,Telangana,52466,11677,40334.0,455.0
5911,5912,27-07-2020,Telangana,54059,12264,41332.0,463.0
5912,5913,28-07-2020,Telangana,57142,13753,42909.0,480.0
5913,5914,29-07-2020,Telangana,57142,13753,42909.0,480.0
5914,5915,30-07-2020,Telangana,58906,14663,43751.0,492.0
5915,5916,31-07-2020,Telangana,60717,15640,44572.0,505.0
5916,5917,01-08-2020,Telangana,62703,16796,45388.0,519.0
5917,5918,02-08-2020,Telangana,64786,17754,46502.0,530.0
5918,5919,03-08-2020,Telangana,66677,18547,47590.0,540.0
5919,5920,04-08-2020,Telangana,68946,18708,49675.0,563.0
