,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
5969,5970,07-04-2020,Tripura,1,1,0.0,0.0
5970,5971,08-04-2020,Tripura,1,1,0.0,0.0
5971,5972,09-04-2020,Tripura,1,1,0.0,0.0
5972,5973,10-04-2020,Tripura,1,1,0.0,0.0
5973,5974,11-04-2020,Tripura,1,1,0.0,0.0
5974,5975,12-04-2020,Tripura,2,2,0.0,0.0
5975,5976,13-04-2020,Tripura,2,2,0.0,0.0
5976,5977,14-04-2020,Tripura,2,2,0.0,0.0
5977,5978,15-04-2020,Tripura,2,2,0.0,0.0
5978,5979,16-04-2020,Tripura,2,1,1.0,0.0
5979,5980,17-04-2020,Tripura,2,1,1.0,0.0
5980,5981,18-04-2020,Tripura,2,1,1.0,0.0
5981,5982,19-04-2020,Tripura,2,1,1.0,0.0
5982,5983,20-04-2020,Tripura,2,1,1.0,0.0
5983,5984,21-04-2020,Tripura,2,1,1.0,0.0
5984,5985,22-04-2020,Tripura,2,1,1.0,0.0
5985,5986,23-04-2020,Tripura,2,1,1.0,0.0
5986,5987,24-04-2020,Tripura,2,1,1.0,0.0
5987,5988,25-04-2020,Tripura,2,1,1.0,0.0
5988,5989,26-04-2020,Tripura,2,0,2.0,0.0
5989,5990,27-04-2020,Tripura,2,0,2.0,0.0
5990,5991,28-04-2020,Tripura,2,0,2.0,0.0
5991,5992,29-04-2020,Tripura,2,0,2.0,0.0
5992,5993,30-04-2020,Tripura,2,0,2.0,0.0
5993,5994,01-05-2020,Tripura,2,0,2.0,0.0
5994,5995,02-05-2020,Tripura,2,0,2.0,0.0
5995,5996,03-05-2020,Tripura,4,2,2.0,0.0
5996,5997,04-05-2020,Tripura,16,14,2.0,0.0
5997,5998,05-05-2020,Tripura,29,27,2.0,0.0
5998,5999,06-05-2020,Tripura,43,41,2.0,0.0
5999,6000,07-05-2020,Tripura,43,41,2.0,0.0
6000,6001,08-05-2020,Tripura,65,63,2.0,0.0
6001,6002,09-05-2020,Tripura,118,116,2.0,0.0
6002,6003,10-05-2020,Tripura,134,132,2.0,0.0
6003,6004,11-05-2020,Tripura,150,148,2.0,0.0
6004,6005,12-05-2020,Tripura,152,150,2.0,0.0
6005,6006,13-05-2020,Tripura,154,152,2.0,0.0
6006,6007,14-05-2020,Tripura,155,139,16.0,0.0
6007,6008,15-05-2020,Tripura,156,127,29.0,0.0
6008,6009,16-05-2020,Tripura,156,114,42.0,0.0
6009,6010,17-05-2020,Tripura,167,103,64.0,0.0
6010,6011,18-05-2020,Tripura,167,82,85.0,0.0
6011,6012,19-05-2020,Tripura,167,82,85.0,0.0
6012,6013,20-05-2020,Tripura,173,57,116.0,0.0
6013,6014,21-05-2020,Tripura,173,40,133.0,0.0
6014,6015,22-05-2020,Tripura,173,25,148.0,0.0
6015,6016,23-05-2020,Tripura,175,23,152.0,0.0
6016,6017,24-05-2020,Tripura,189,36,153.0,0.0
6017,6018,25-05-2020,Tripura,191,26,165.0,0.0
6018,6019,26-05-2020,Tripura,194,29,165.0,0.0
6019,6020,27-05-2020,Tripura,207,42,165.0,0.0
6020,6021,28-05-2020,Tripura,230,65,165.0,0.0
6021,6022,29-05-2020,Tripura,242,75,167.0,0.0
6022,6023,30-05-2020,Tripura,251,80,171.0,0.0
6023,6024,31-05-2020,Tripura,268,96,172.0,0.0
6024,6025,01-06-2020,Tripura,313,140,173.0,0.0
6025,6026,02-06-2020,Tripura,420,247,173.0,0.0
6026,6027,03-06-2020,Tripura,468,295,173.0,0.0
6027,6028,04-06-2020,Tripura,468,295,173.0,0.0
6028,6029,05-06-2020,Tripura,644,471,173.0,0.0
6029,6030,06-06-2020,Tripura,692,519,173.0,0.0
6030,6031,07-06-2020,Tripura,747,574,173.0,0.0
6031,6032,08-06-2020,Tripura,800,608,192.0,0.0
6032,6033,09-06-2020,Tripura,838,646,192.0,0.0
6033,6034,10-06-2020,Tripura,864,671,192.0,1.0
6034,6035,11-06-2020,Tripura,895,655,239.0,1.0
6035,6036,12-06-2020,Tripura,913,634,278.0,1.0
6036,6037,13-06-2020,Tripura,961,682,278.0,1.0
6037,6038,14-06-2020,Tripura,1046,730,315.0,1.0
6038,6039,15-06-2020,Tripura,1076,760,315.0,1.0
6039,6040,16-06-2020,Tripura,1086,652,433.0,1.0
6040,6041,17-06-2020,Tripura,1092,658,433.0,1.0
6041,6042,18-06-2020,Tripura,1135,578,556.0,1.0
6042,6043,19-06-2020,Tripura,1155,515,639.0,1.0
6043,6044,20-06-2020,Tripura,1178,520,657.0,1.0
6044,6045,21-06-2020,Tripura,1186,505,680.0,1.0
6045,6046,22-06-2020,Tripura,1221,461,759.0,1.0
6046,6047,23-06-2020,Tripura,1237,454,782.0,1.0
6047,6048,24-06-2020,Tripura,1259,451,807.0,1.0
6048,6049,25-06-2020,Tripura,1259,361,897.0,1.0
6049,6050,26-06-2020,Tripura,1290,270,1019.0,1.0
6050,6051,27-06-2020,Tripura,1325,269,1055.0,1.0
6051,6052,28-06-2020,Tripura,1334,262,1071.0,1.0
6052,6053,29-06-2020,Tripura,1346,266,1079.0,1.0
6053,6054,30-06-2020,Tripura,1380,294,1085.0,1.0
6054,6055,01-07-2020,Tripura,1388,301,1086.0,1.0
6055,6056,02-07-2020,Tripura,1396,302,1093.0,1.0
6056,6057,03-07-2020,Tripura,1435,288,1146.0,1.0
6057,6058,04-07-2020,Tripura,1525,325,1199.0,1.0
6058,6059,05-07-2020,Tripura,1546,343,1202.0,1.0
6059,6060,06-07-2020,Tripura,1568,365,1202.0,1.0
6060,6061,07-07-2020,Tripura,1680,460,1219.0,1.0
6061,6062,08-07-2020,Tripura,1704,455,1248.0,1.0
6062,6063,09-07-2020,Tripura,1761,436,1324.0,1.0
6063,6064,10-07-2020,Tripura,1776,437,1338.0,1.0
6064,6065,11-07-2020,Tripura,1918,545,1372.0,1.0
