,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
6138,6139,12-03-2020,Uttar Pradesh,11,11,0.0,0.0
6139,6140,13-03-2020,Uttar Pradesh,11,11,0.0,0.0
6140,6141,14-03-2020,Uttar Pradesh,12,7,5.0,0.0
6141,6142,15-03-2020,Uttar Pradesh,12,8,4.0,0.0
6142,6143,16-03-2020,Uttar Pradesh,13,9,4.0,0.0
6143,6144,17-03-2020,Uttar Pradesh,15,10,5.0,0.0
6144,6145,18-03-2020,Uttar Pradesh,16,11,5.0,0.0
6145,6146,19-03-2020,Uttar Pradesh,17,12,5.0,0.0
6146,6147,20-03-2020,Uttar Pradesh,19,10,9.0,0.0
6147,6148,21-03-2020,Uttar Pradesh,24,15,9.0,0.0
6148,6149,22-03-2020,Uttar Pradesh,27,18,9.0,0.0
6149,6150,23-03-2020,Uttar Pradesh,31,22,9.0,0.0
6150,6151,24-03-2020,Uttar Pradesh,33,24,9.0,0.0
6151,6152,25-03-2020,Uttar Pradesh,33,22,11.0,0.0
6152,6153,26-03-2020,Uttar Pradesh,37,26,11.0,0.0
6153,6154,27-03-2020,Uttar Pradesh,41,30,11.0,0.0
6154,6155,28-03-2020,Uttar Pradesh,55,44,11.0,0.0
6155,6156,29-03-2020,Uttar Pradesh,55,44,11.0,0.0
6156,6157,30-03-2020,Uttar Pradesh,75,64,11.0,0.0
6157,6158,31-03-2020,Uttar Pradesh,101,87,14.0,0.0
6158,6159,01-04-2020,Uttar Pradesh,103,89,14.0,0.0
6159,6160,02-04-2020,Uttar Pradesh,113,97,14.0,2.0
6160,6161,03-04-2020,Uttar Pradesh,113,97,14.0,2.0
6161,6162,04-04-2020,Uttar Pradesh,174,153,19.0,2.0
6162,6163,05-04-2020,Uttar Pradesh,227,206,19.0,2.0
6163,6164,06-04-2020,Uttar Pradesh,227,206,19.0,2.0
6164,6165,07-04-2020,Uttar Pradesh,305,281,21.0,3.0
6165,6166,08-04-2020,Uttar Pradesh,326,302,21.0,3.0
6166,6167,09-04-2020,Uttar Pradesh,361,330,27.0,4.0
6167,6168,10-04-2020,Uttar Pradesh,410,375,31.0,4.0
6168,6169,11-04-2020,Uttar Pradesh,431,395,32.0,4.0
6169,6170,12-04-2020,Uttar Pradesh,452,402,45.0,5.0
6170,6171,13-04-2020,Uttar Pradesh,483,432,46.0,5.0
6171,6172,14-04-2020,Uttar Pradesh,558,504,49.0,5.0
6172,6173,15-04-2020,Uttar Pradesh,660,605,50.0,5.0
6173,6174,16-04-2020,Uttar Pradesh,735,673,51.0,11.0
6174,6175,17-04-2020,Uttar Pradesh,805,718,74.0,13.0
6175,6176,18-04-2020,Uttar Pradesh,849,753,82.0,14.0
6176,6177,19-04-2020,Uttar Pradesh,969,869,86.0,14.0
6177,6178,20-04-2020,Uttar Pradesh,1084,959,108.0,17.0
6178,6179,21-04-2020,Uttar Pradesh,1184,1026,140.0,18.0
6179,6180,22-04-2020,Uttar Pradesh,1294,1134,140.0,20.0
6180,6181,23-04-2020,Uttar Pradesh,1449,1255,173.0,21.0
6181,6182,24-04-2020,Uttar Pradesh,1510,1280,206.0,24.0
6182,6183,25-04-2020,Uttar Pradesh,1621,1349,247.0,25.0
6183,6184,26-04-2020,Uttar Pradesh,1793,1505,261.0,27.0
6184,6185,27-04-2020,Uttar Pradesh,1868,1550,289.0,29.0
6185,6186,28-04-2020,Uttar Pradesh,1955,1589,335.0,31.0
6186,6187,29-04-2020,Uttar Pradesh,2053,1557,462.0,34.0
6187,6188,30-04-2020,Uttar Pradesh,2134,1585,510.0,39.0
6188,6189,01-05-2020,Uttar Pradesh,2203,1651,513.0,39.0
6189,6190,02-05-2020,Uttar Pradesh,2328,1632,654.0,42.0
6190,6191,03-05-2020,Uttar Pradesh,2487,1755,689.0,43.0
6191,6192,04-05-2020,Uttar Pradesh,2645,1848,754.0,43.0
6192,6193,05-05-2020,Uttar Pradesh,2766,1914,802.0,50.0
6193,6194,06-05-2020,Uttar Pradesh,2880,1837,987.0,56.0
6194,6195,07-05-2020,Uttar Pradesh,2998,1808,1130.0,60.0
6195,6196,08-05-2020,Uttar Pradesh,3071,1759,1250.0,62.0
6196,6197,09-05-2020,Uttar Pradesh,3214,1761,1387.0,66.0
6197,6198,10-05-2020,Uttar Pradesh,3373,1800,1499.0,74.0
6198,6199,11-05-2020,Uttar Pradesh,3467,1740,1653.0,74.0
6199,6200,12-05-2020,Uttar Pradesh,3573,1735,1758.0,80.0
6200,6201,13-05-2020,Uttar Pradesh,3664,1709,1873.0,82.0
6201,6202,14-05-2020,Uttar Pradesh,3729,1744,1902.0,83.0
6202,6203,15-05-2020,Uttar Pradesh,3902,1742,2072.0,88.0
6203,6204,16-05-2020,Uttar Pradesh,4057,1797,2165.0,95.0
6204,6205,17-05-2020,Uttar Pradesh,4258,1713,2441.0,104.0
6205,6206,18-05-2020,Uttar Pradesh,4259,1714,2441.0,104.0
6206,6207,19-05-2020,Uttar Pradesh,4605,1704,2783.0,118.0
6207,6208,20-05-2020,Uttar Pradesh,4926,1885,2918.0,123.0
6208,6209,21-05-2020,Uttar Pradesh,5175,1982,3066.0,127.0
6209,6210,22-05-2020,Uttar Pradesh,5515,2173,3204.0,138.0
6210,6211,23-05-2020,Uttar Pradesh,5735,2345,3238.0,152.0
6211,6212,24-05-2020,Uttar Pradesh,6017,2456,3406.0,155.0
6212,6213,25-05-2020,Uttar Pradesh,6268,2569,3538.0,161.0
6213,6214,26-05-2020,Uttar Pradesh,6532,2786,3581.0,165.0
6214,6215,27-05-2020,Uttar Pradesh,6548,2680,3698.0,170.0
6215,6216,28-05-2020,Uttar Pradesh,6991,2818,3991.0,182.0
6216,6217,29-05-2020,Uttar Pradesh,7170,2758,4215.0,197.0
6217,6218,30-05-2020,Uttar Pradesh,7284,2842,4244.0,198.0
6218,6219,31-05-2020,Uttar Pradesh,7445,2834,4410.0,201.0
6219,6220,01-06-2020,Uttar Pradesh,7823,2901,4709.0,213.0
6220,6221,02-06-2020,Uttar Pradesh,8075,3015,4843.0,217.0
6221,6222,03-06-2020,Uttar Pradesh,8361,3109,5030.0,222.0
6222,6223,04-06-2020,Uttar Pradesh,8729,3324,5176.0,229.0
6223,6224,05-06-2020,Uttar Pradesh,9237,3553,5439.0,245.0
6224,6225,06-06-2020,Uttar Pradesh,9733,3828,5648.0,257.0
6225,6226,07-06-2020,Uttar Pradesh,9733,3828,5648.0,257.0
6226,6227,08-06-2020,Uttar Pradesh,10536,4076,6185.0,275.0
6227,6228,09-06-2020,Uttar Pradesh,10947,4320,6344.0,283.0
6228,6229,10-06-2020,Uttar Pradesh,11335,4365,6669.0,301.0
6229,6230,11-06-2020,Uttar Pradesh,11610,4418,6871.0,321.0
6230,6231,12-06-2020,Uttar Pradesh,12088,4451,7292.0,345.0
6231,6232,13-06-2020,Uttar Pradesh,12616,4642,7609.0,365.0
6232,6233,14-06-2020,Uttar Pradesh,13118,4858,7875.0,385.0
6233,6234,15-06-2020,Uttar Pradesh,13615,4948,8268.0,399.0
6234,6235,16-06-2020,Uttar Pradesh,13615,4948,8268.0,399.0
6235,6236,17-06-2020,Uttar Pradesh,14091,5064,8610.0,417.0
6236,6237,18-06-2020,Uttar Pradesh,14598,5259,8904.0,435.0
6237,6238,19-06-2020,Uttar Pradesh,15181,5477,9239.0,465.0
6238,6239,20-06-2020,Uttar Pradesh,15785,5659,9638.0,488.0
6239,6240,21-06-2020,Uttar Pradesh,16594,6092,9995.0,507.0
6240,6241,22-06-2020,Uttar Pradesh,17731,6186,10995.0,550.0
6241,6242,23-06-2020,Uttar Pradesh,18322,6152,11601.0,569.0
6242,6243,24-06-2020,Uttar Pradesh,18893,6189,12116.0,588.0
6243,6244,25-06-2020,Uttar Pradesh,19557,6375,12586.0,596.0
6244,6245,26-06-2020,Uttar Pradesh,20193,6463,13119.0,611.0
6245,6246,27-06-2020,Uttar Pradesh,20943,6730,13583.0,630.0
6246,6247,28-06-2020,Uttar Pradesh,21549,6685,14215.0,649.0
6247,6248,29-06-2020,Uttar Pradesh,22147,6679,14808.0,660.0
6248,6249,30-06-2020,Uttar Pradesh,22828,6650,15506.0,672.0
6249,6250,01-07-2020,Uttar Pradesh,23492,6711,16084.0,697.0
6250,6251,02-07-2020,Uttar Pradesh,24056,6709,16629.0,718.0
6251,6252,03-07-2020,Uttar Pradesh,24825,6869,17221.0,735.0
6252,6253,04-07-2020,Uttar Pradesh,25797,7451,17597.0,749.0
6253,6254,05-07-2020,Uttar Pradesh,26554,7627,18154.0,773.0
6254,6255,06-07-2020,Uttar Pradesh,27707,8161,18761.0,785.0
6255,6256,07-07-2020,Uttar Pradesh,28636,8718,19109.0,809.0
6256,6257,08-07-2020,Uttar Pradesh,29968,9514,19627.0,827.0
6257,6258,09-07-2020,Uttar Pradesh,31156,9980,20331.0,845.0
6258,6259,10-07-2020,Uttar Pradesh,32362,10373,21127.0,862.0
6259,6260,11-07-2020,Uttar Pradesh,33700,11024,21787.0,889.0
6260,6261,12-07-2020,Uttar Pradesh,35092,11490,22689.0,913.0
6261,6262,13-07-2020,Uttar Pradesh,36476,12208,23334.0,934.0
6262,6263,14-07-2020,Uttar Pradesh,38130,12972,24203.0,955.0
6263,6264,15-07-2020,Uttar Pradesh,39724,13758,24983.0,983.0
6264,6265,16-07-2020,Uttar Pradesh,41383,14628,25743.0,1012.0
6265,6266,17-07-2020,Uttar Pradesh,43441,15720,26675.0,1046.0
6266,6267,18-07-2020,Uttar Pradesh,45163,16445,27634.0,1084.0
6267,6268,19-07-2020,Uttar Pradesh,47036,17264,28664.0,1108.0
6268,6269,20-07-2020,Uttar Pradesh,49247,18256,29845.0,1146.0
6269,6270,21-07-2020,Uttar Pradesh,51160,19137,30831.0,1192.0
6270,6271,22-07-2020,Uttar Pradesh,53288,20204,31855.0,1229.0
6271,6272,23-07-2020,Uttar Pradesh,55588,20825,33500.0,1263.0
6272,6273,24-07-2020,Uttar Pradesh,58104,21012,35803.0,1289.0
6273,6274,25-07-2020,Uttar Pradesh,60771,21711,37712.0,1348.0
6274,6275,26-07-2020,Uttar Pradesh,63742,22452,39903.0,1387.0
6275,6276,27-07-2020,Uttar Pradesh,66988,23921,41641.0,1426.0
6276,6277,28-07-2020,Uttar Pradesh,70493,26204,42833.0,1456.0
6277,6278,29-07-2020,Uttar Pradesh,73951,27934,44520.0,1497.0
6278,6279,30-07-2020,Uttar Pradesh,77334,29997,45807.0,1530.0
6279,6280,31-07-2020,Uttar Pradesh,81039,32649,46803.0,1587.0
6280,6281,01-08-2020,Uttar Pradesh,85461,34968,48863.0,1630.0
6281,6282,02-08-2020,Uttar Pradesh,89048,36037,51334.0,1677.0
6282,6283,03-08-2020,Uttar Pradesh,92921,38023,53168.0,1730.0
6283,6284,04-08-2020,Uttar Pradesh,97362,40191,55393.0,1778.0
6284,6285,05-08-2020,Uttar Pradesh,100310,41222,57271.0,1817.0
6285,6286,06-08-2020,Uttar Pradesh,104388,41973,60558.0,1857.0
6286,6287,07-08-2020,Uttar Pradesh,108974,43654,63402.0,1918.0
6287,6288,08-08-2020,Uttar Pradesh,113378,44563,66834.0,1981.0
6288,6289,09-08-2020,Uttar Pradesh,118038,46177,69833.0,2028.0
6289,6290,10-08-2020,Uttar Pradesh,122609,47890,72650.0,2069.0
6290,6291,11-08-2020,Uttar Pradesh,126722,47878,76724.0,2120.0
6291,6292,12-08-2020,Uttar Pradesh,131763,48998,80589.0,2176.0
6292,6293,13-08-2020,Uttar Pradesh,136238,49347,84661.0,2230.0
6293,6294,14-08-2020,Uttar Pradesh,140775,49709,88786.0,2280.0
6294,6295,15-08-2020,Uttar Pradesh,145287,50426,92526.0,2335.0
6295,6296,16-08-2020,Uttar Pradesh,150061,51437,96231.0,2393.0
6296,6297,17-08-2020,Uttar Pradesh,154418,51537,100432.0,2449.0
6297,6298,18-08-2020,Uttar Pradesh,158216,50893,104808.0,2515.0
6298,6299,19-08-2020,Uttar Pradesh,162434,50242,109607.0,2585.0
6299,6300,20-08-2020,Uttar Pradesh,167510,49645,115227.0,2638.0
6300,6301,21-08-2020,Uttar Pradesh,172334,48511,121090.0,2733.0
6301,6302,22-08-2020,Uttar Pradesh,177239,47785,126657.0,2797.0
6302,6303,23-08-2020,Uttar Pradesh,182453,48291,131295.0,2867.0
6303,6304,24-08-2020,Uttar Pradesh,187781,49242,135613.0,2926.0
6304,6305,25-08-2020,Uttar Pradesh,192382,49288,140107.0,2987.0
6305,6306,26-08-2020,Uttar Pradesh,197388,49575,144754.0,3059.0
