,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
6333,6334,16-03-2020,Uttarakhand,1,1,0.0,0.0
6334,6335,17-03-2020,Uttarakhand,1,1,0.0,0.0
6335,6336,18-03-2020,Uttarakhand,1,1,0.0,0.0
6336,6337,19-03-2020,Uttarakhand,1,1,0.0,0.0
6337,6338,20-03-2020,Uttarakhand,1,1,0.0,0.0
6338,6339,21-03-2020,Uttarakhand,3,3,0.0,0.0
6339,6340,22-03-2020,Uttarakhand,3,3,0.0,0.0
6340,6341,23-03-2020,Uttarakhand,3,3,0.0,0.0
6341,6342,24-03-2020,Uttarakhand,3,3,0.0,0.0
6342,6343,25-03-2020,Uttarakhand,4,4,0.0,0.0
6343,6344,26-03-2020,Uttarakhand,5,5,0.0,0.0
6344,6345,27-03-2020,Uttarakhand,5,5,0.0,0.0
6345,6346,28-03-2020,Uttarakhand,5,5,0.0,0.0
6346,6347,29-03-2020,Uttarakhand,6,5,1.0,0.0
6347,6348,30-03-2020,Uttarakhand,7,5,2.0,0.0
6348,6349,31-03-2020,Uttarakhand,7,5,2.0,0.0
6349,6350,01-04-2020,Uttarakhand,7,5,2.0,0.0
6350,6351,02-04-2020,Uttarakhand,7,5,2.0,0.0
6351,6352,03-04-2020,Uttarakhand,10,8,2.0,0.0
6352,6353,04-04-2020,Uttarakhand,16,14,2.0,0.0
6353,6354,05-04-2020,Uttarakhand,22,20,2.0,0.0
6354,6355,06-04-2020,Uttarakhand,26,22,4.0,0.0
6355,6356,07-04-2020,Uttarakhand,31,26,5.0,0.0
6356,6357,08-04-2020,Uttarakhand,31,26,5.0,0.0
6357,6358,09-04-2020,Uttarakhand,33,28,5.0,0.0
6358,6359,10-04-2020,Uttarakhand,35,30,5.0,0.0
6359,6360,11-04-2020,Uttarakhand,35,30,5.0,0.0
6360,6361,12-04-2020,Uttarakhand,35,30,5.0,0.0
6361,6362,13-04-2020,Uttarakhand,35,30,5.0,0.0
6362,6363,14-04-2020,Uttarakhand,35,30,5.0,0.0
6363,6364,15-04-2020,Uttarakhand,37,28,9.0,0.0
6364,6365,16-04-2020,Uttarakhand,37,28,9.0,0.0
6365,6366,17-04-2020,Uttarakhand,37,28,9.0,0.0
6366,6367,18-04-2020,Uttarakhand,40,31,9.0,0.0
6367,6368,19-04-2020,Uttarakhand,42,33,9.0,0.0
6368,6369,20-04-2020,Uttarakhand,44,33,11.0,0.0
6369,6370,21-04-2020,Uttarakhand,46,28,18.0,0.0
6370,6371,22-04-2020,Uttarakhand,46,27,19.0,0.0
6371,6372,23-04-2020,Uttarakhand,46,23,23.0,0.0
6372,6373,24-04-2020,Uttarakhand,47,23,24.0,0.0
6373,6374,25-04-2020,Uttarakhand,48,23,25.0,0.0
6374,6375,26-04-2020,Uttarakhand,48,22,26.0,0.0
6375,6376,27-04-2020,Uttarakhand,50,22,28.0,0.0
6376,6377,28-04-2020,Uttarakhand,51,18,33.0,0.0
6377,6378,29-04-2020,Uttarakhand,54,21,33.0,0.0
6378,6379,30-04-2020,Uttarakhand,55,19,36.0,0.0
