,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
6524,6525,19-03-2020,West Bengal,1,1,0.0,0.0
6525,6526,20-03-2020,West Bengal,1,1,0.0,0.0
6526,6527,21-03-2020,West Bengal,2,2,0.0,0.0
6527,6528,22-03-2020,West Bengal,4,4,0.0,0.0
6528,6529,23-03-2020,West Bengal,7,7,0.0,0.0
6529,6530,24-03-2020,West Bengal,7,6,0.0,1.0
6530,6531,25-03-2020,West Bengal,9,8,0.0,1.0
6531,6532,26-03-2020,West Bengal,9,8,0.0,1.0
6532,6533,27-03-2020,West Bengal,10,9,0.0,1.0
6533,6534,28-03-2020,West Bengal,15,14,0.0,1.0
6534,6535,29-03-2020,West Bengal,17,16,0.0,1.0
6535,6536,30-03-2020,West Bengal,19,18,0.0,1.0
6536,6537,31-03-2020,West Bengal,26,24,0.0,2.0
6537,6538,01-04-2020,West Bengal,26,24,0.0,2.0
6538,6539,02-04-2020,West Bengal,37,28,6.0,3.0
6539,6540,03-04-2020,West Bengal,53,47,3.0,3.0
6540,6541,04-04-2020,West Bengal,63,57,3.0,3.0
6541,6542,05-04-2020,West Bengal,69,56,10.0,3.0
6542,6543,06-04-2020,West Bengal,80,67,10.0,3.0
6543,6544,07-04-2020,West Bengal,91,75,13.0,3.0
6544,6545,08-04-2020,West Bengal,99,81,13.0,5.0
6545,6546,09-04-2020,West Bengal,103,82,16.0,5.0
6546,6547,10-04-2020,West Bengal,116,95,16.0,5.0
6547,6548,11-04-2020,West Bengal,116,95,16.0,5.0
6548,6549,12-04-2020,West Bengal,134,110,19.0,5.0
6549,6550,13-04-2020,West Bengal,152,116,29.0,7.0
6550,6551,14-04-2020,West Bengal,190,147,36.0,7.0
6551,6552,15-04-2020,West Bengal,213,169,37.0,7.0
6552,6553,16-04-2020,West Bengal,231,182,42.0,7.0
6553,6554,17-04-2020,West Bengal,255,194,51.0,10.0
6554,6555,18-04-2020,West Bengal,287,222,55.0,10.0
6555,6556,19-04-2020,West Bengal,310,236,62.0,12.0
6556,6557,20-04-2020,West Bengal,339,261,66.0,12.0
6557,6558,21-04-2020,West Bengal,392,307,73.0,12.0
6558,6559,22-04-2020,West Bengal,423,335,73.0,15.0
6559,6560,23-04-2020,West Bengal,456,362,79.0,15.0
6560,6561,24-04-2020,West Bengal,514,396,103.0,15.0
6561,6562,25-04-2020,West Bengal,571,450,103.0,18.0
6562,6563,26-04-2020,West Bengal,611,488,105.0,18.0
6563,6564,27-04-2020,West Bengal,649,524,105.0,20.0
6564,6565,28-04-2020,West Bengal,697,568,109.0,20.0
6565,6566,29-04-2020,West Bengal,725,584,119.0,22.0
6566,6567,30-04-2020,West Bengal,758,612,124.0,22.0
6567,6568,01-05-2020,West Bengal,795,623,139.0,33.0
6568,6569,02-05-2020,West Bengal,795,623,139.0,33.0
6569,6570,03-05-2020,West Bengal,922,738,151.0,33.0
6570,6571,04-05-2020,West Bengal,963,777,151.0,35.0
6571,6572,05-05-2020,West Bengal,1259,908,218.0,133.0
6572,6573,06-05-2020,West Bengal,1344,840,364.0,140.0
6573,6574,07-05-2020,West Bengal,1456,948,364.0,144.0
6574,6575,08-05-2020,West Bengal,1548,1033,364.0,151.0
6575,6576,09-05-2020,West Bengal,1678,1154,364.0,160.0
6576,6577,10-05-2020,West Bengal,1786,1243,372.0,171.0
6577,6578,11-05-2020,West Bengal,1939,1337,417.0,185.0
6578,6579,12-05-2020,West Bengal,2063,1374,499.0,190.0
6579,6580,13-05-2020,West Bengal,2173,1363,612.0,198.0
6580,6581,14-05-2020,West Bengal,2290,1381,702.0,207.0
6581,6582,15-05-2020,West Bengal,2377,1394,768.0,215.0
6582,6583,16-05-2020,West Bengal,2461,1407,829.0,225.0
6583,6584,17-05-2020,West Bengal,2576,1472,872.0,232.0
6584,6585,18-05-2020,West Bengal,2677,1480,959.0,238.0
6585,6586,19-05-2020,West Bengal,2825,1575,1006.0,244.0
6586,6587,20-05-2020,West Bengal,2961,1637,1074.0,250.0
6587,6588,21-05-2020,West Bengal,3103,1714,1136.0,253.0
6588,6589,22-05-2020,West Bengal,3197,1745,1193.0,259.0
6589,6590,23-05-2020,West Bengal,3332,1846,1221.0,265.0
6590,6591,24-05-2020,West Bengal,3459,1909,1281.0,269.0
6591,6592,25-05-2020,West Bengal,3667,2056,1339.0,272.0
6592,6593,26-05-2020,West Bengal,3816,2124,1414.0,278.0
6593,6594,27-05-2020,West Bengal,4009,2240,1486.0,283.0
6594,6595,28-05-2020,West Bengal,4192,2325,1578.0,289.0
6595,6596,29-05-2020,West Bengal,4536,2573,1668.0,295.0
6596,6597,30-05-2020,West Bengal,4813,2736,1775.0,302.0
