,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
6712,6713,12-03-2020,World,125260,120647,,4613.0
6713,6714,13-03-2020,World,132758,127803,,4955.0
6714,6715,14-03-2020,World,142534,137142,,5392.0
6715,6716,15-03-2020,World,153517,147782,,5735.0
6716,6717,16-03-2020,World,167616,161010,,6606.0
6717,6718,17-03-2020,World,179111,171685,,7426.0
6718,6719,18-03-2020,World,191127,183320,,7807.0
6719,6720,19-03-2020,World,209839,201061,,8778.0
6720,6721,20-03-2020,World,234073,224233,,9840.0
6721,6722,21-03-2020,World,266073,254890,,11183.0
6722,6723,22-03-2020,World,292142,279359,,12783.0
6723,6724,23-03-2020,World,332930,318421,,14509.0
6724,6725,24-03-2020,World,372755,356524,,16231.0
6725,6726,25-03-2020,World,413467,395034,,18433.0
6726,6727,26-03-2020,World,462684,441850,,20834.0
6727,6728,27-03-2020,World,509164,485829,,23335.0
6728,6729,28-03-2020,World,571678,545184,,26494.0
6729,6730,29-03-2020,World,634835,604878,,29957.0
6730,6731,30-03-2020,World,693224,660118,,33106.0
6731,6732,31-03-2020,World,750890,714485,,36405.0
6732,6733,01-04-2020,World,823626,783028,,40598.0
6733,6734,02-04-2020,World,896450,850924,,45526.0
6734,6735,03-04-2020,World,972303,921982,,50321.0
6735,6736,04-04-2020,World,1051635,994650,,56985.0
6736,6737,05-04-2020,World,1133758,1070974,,62784.0
6737,6738,06-04-2020,World,1210956,1143362,,67594.0
6738,6739,07-04-2020,World,1279722,1207108,,72614.0
6739,6740,08-04-2020,World,1353361,1274126,,79235.0
6740,6741,09-04-2020,World,1436198,1350676,,85522.0
6741,6742,10-04-2020,World,1521252,1428454,,92798.0
6742,6743,11-04-2020,World,1610909,1511219,,99690.0
6743,6744,12-04-2020,World,1696588,1590636,,105952.0
6744,6745,13-04-2020,World,1773084,1661432,,111652.0
6745,6746,14-04-2020,World,1844863,1727842,,117021.0
6746,6747,15-04-2020,World,1914916,1791906,,123010.0
6747,6748,16-04-2020,World,1991562,1860677,,130885.0
6748,6749,17-04-2020,World,2074529,1935151,,139378.0
